combo_index,branch_indices,branches,pattern_mask,patterns,formal_NI_5pp_both_pass,internal_sens_loss,internal_upper95,internal_spec_gain,internal_acc_gain,internal_tp_lost,internal_fp_removed,internal_deesc_n,internal_event_rate,external_sens_loss,external_upper95,external_spec_gain,external_acc_gain,external_tp_lost,external_fp_removed,external_deesc_n,external_event_rate
2132,24|7|15|21,R1_045_056__endpoint_delta__sign-1__w0.50__lam0.25 | R2_057_080__curv_mean__sign-1__w0.70__lam0.55 | R3_097_128__abs_slope_max__sign+1__w0.70__lam0.70 | R4_117_128__level_mean__sign+1__w0.70__lam0.70,17986,"+---,-++-,+--+,-+-+,-+++",True,0.015503875968992248,0.047998304847133924,0.055150884495317375,0.046788990825688076,2,53,55,0.03636363636363636,0.014184397163120567,0.0439756763419416,0.07388535031847134,0.06047516198704104,2,58,60,0.03333333333333333
2132,24|7|15|21,R1_045_056__endpoint_delta__sign-1__w0.50__lam0.25 | R2_057_080__curv_mean__sign-1__w0.70__lam0.55 | R3_097_128__abs_slope_max__sign+1__w0.70__lam0.70 | R4_117_128__level_mean__sign+1__w0.70__lam0.70,17482,"+---,++--,-++-,-+-+,-+++",True,0.015503875968992248,0.047998304847133924,0.053069719042663895,0.044954128440366975,2,51,53,0.03773584905660377,0.014184397163120567,0.0439756763419416,0.07388535031847134,0.06047516198704104,2,58,60,0.03333333333333333
2184,24|8|15|27,R1_045_056__endpoint_delta__sign-1__w0.50__lam0.25 | R2_057_080__curv_mean__sign-1__w0.50__lam0.70 | R3_097_128__abs_slope_max__sign+1__w0.70__lam0.70 | R4_117_128__endpoint_delta__sign-1__w0.50__lam0.25,19522,"+---,-++-,-+-+,++-+,-+++",True,0.007751937984496124,0.03624479660541807,0.04994797086368366,0.043119266055045874,1,48,49,0.02040816326530612,0.014184397163120567,0.0439756763419416,0.07388535031847134,0.06047516198704104,2,58,60,0.03333333333333333
2384,24|25|16|21,R1_045_056__endpoint_delta__sign-1__w0.50__lam0.25 | R2_057_080__level_mean__sign-1__w0.70__lam0.25 | R3_097_128__curv_sd__sign+1__w0.50__lam0.70 | R4_117_128__level_mean__sign+1__w0.70__lam0.70,8250,"+---,++--,--+-,+-+-,+-++",True,0.015503875968992248,0.047998304847133924,0.05098855359001041,0.043119266055045874,2,49,51,0.0392156862745098,0.014184397163120567,0.0439756763419416,0.07388535031847134,0.06047516198704104,2,58,60,0.03333333333333333
2150,24|7|26|18,R1_045_056__endpoint_delta__sign-1__w0.50__lam0.25 | R2_057_080__curv_mean__sign-1__w0.70__lam0.55 | R3_097_128__linear_slope__sign+1__w0.35__lam0.25 | R4_117_128__abs_slope_max__sign+1__w0.70__lam0.70,9314,"+---,+-+-,-++-,-+-+,+-++",True,0.015503875968992248,0.047998304847133924,0.04994797086368366,0.04220183486238532,2,48,50,0.04,0.014184397163120567,0.0439756763419416,0.07388535031847134,0.06047516198704104,2,58,60,0.03333333333333333
2129,24|7|15|18,R1_045_056__endpoint_delta__sign-1__w0.50__lam0.25 | R2_057_080__curv_mean__sign-1__w0.70__lam0.55 | R3_097_128__abs_slope_max__sign+1__w0.70__lam0.70 | R4_117_128__abs_slope_max__sign+1__w0.70__lam0.70,16474,"+---,++--,--+-,-++-,-+++",True,0.015503875968992248,0.047998304847133924,0.04890738813735692,0.04128440366972477,2,47,49,0.04081632653061224,0.014184397163120567,0.0439756763419416,0.07388535031847134,0.06047516198704104,2,58,60,0.03333333333333333
2178,24|8|15|18,R1_045_056__endpoint_delta__sign-1__w0.50__lam0.25 | R2_057_080__curv_mean__sign-1__w0.50__lam0.70 | R3_097_128__abs_slope_max__sign+1__w0.70__lam0.70 | R4_117_128__abs_slope_max__sign+1__w0.70__lam0.70,18458,"+---,++--,--+-,++-+,-+++",True,0.015503875968992248,0.047998304847133924,0.04890738813735692,0.04128440366972477,2,47,49,0.04081632653061224,0.014184397163120567,0.0439756763419416,0.07388535031847134,0.06047516198704104,2,58,60,0.03333333333333333
2129,24|7|15|18,R1_045_056__endpoint_delta__sign-1__w0.50__lam0.25 | R2_057_080__curv_mean__sign-1__w0.70__lam0.55 | R3_097_128__abs_slope_max__sign+1__w0.70__lam0.70 | R4_117_128__abs_slope_max__sign+1__w0.70__lam0.70,17434,"+---,++--,--+-,-+-+,-+++",True,0.015503875968992248,0.047998304847133924,0.047866805411030174,0.04036697247706422,2,46,48,0.041666666666666664,0.014184397163120567,0.0439756763419416,0.07388535031847134,0.06047516198704104,2,58,60,0.03333333333333333
2135,24|7|15|27,R1_045_056__endpoint_delta__sign-1__w0.50__lam0.25 | R2_057_080__curv_mean__sign-1__w0.70__lam0.55 | R3_097_128__abs_slope_max__sign+1__w0.70__lam0.70 | R4_117_128__endpoint_delta__sign-1__w0.50__lam0.25,17986,"+---,-++-,+--+,-+-+,-+++",True,0.015503875968992248,0.047998304847133924,0.046826222684703434,0.03944954128440367,2,45,47,0.0425531914893617,0.014184397163120567,0.0439756763419416,0.07388535031847134,0.06047516198704104,2,58,60,0.03333333333333333
2135,24|7|15|27,R1_045_056__endpoint_delta__sign-1__w0.50__lam0.25 | R2_057_080__curv_mean__sign-1__w0.70__lam0.55 | R3_097_128__abs_slope_max__sign+1__w0.70__lam0.70 | R4_117_128__endpoint_delta__sign-1__w0.50__lam0.25,16714,"+---,++--,-++-,---+,-+++",True,0.015503875968992248,0.047998304847133924,0.045785639958376693,0.03853211009174312,2,44,46,0.043478260869565216,0.014184397163120567,0.0439756763419416,0.07388535031847134,0.06047516198704104,2,58,60,0.03333333333333333
