region_key,region,feature,descriptor,sign,width,lambda,internal_score,internal_mean_specificity_gain,internal_min_specificity_gain,internal_mean_accuracy_gain,internal_min_accuracy_gain,internal_max_sensitivity_loss,internal_min_deesc_n,external_mean_specificity_gain,external_min_specificity_gain,external_mean_accuracy_gain,external_min_accuracy_gain,external_max_sensitivity_loss,external_min_deesc_n
R4_117_128,R4,R4_117_128__level_mean,level_mean,-1,0.7,0.55,0.039369039877607745,0.05064169268123483,0.04162330905306972,0.0385321100917431,0.028440366972477094,0.06976744186046512,49,0.11677282377919322,0.11337579617834395,0.08567314614830816,0.07991360691144711,0.10638297872340426,103
R4_117_128,R4,R4_117_128__linear_slope,linear_slope,1,0.5,0.55,0.03935440985135305,0.05757891085674644,0.04890738813735692,0.04159021406727829,0.032110091743119296,0.09302325581395349,59,0.010615711252653927,0.005095541401273885,0.007919366450683992,0.003239740820734416,0.014184397163120567,5
R4_117_128,R4,R4_117_128__abs_slope_mean,abs_slope_mean,-1,0.5,0.55,0.039213406118620474,0.05757891085674644,0.046826222684703434,0.04250764525993881,0.03027522935779814,0.09302325581395349,57,0.011889596602972398,0.003821656050955414,0.009359251259899226,0.002159827213822907,0.0070921985815602835,4
R4_117_128,R4,R4_117_128__abs_slope_max,abs_slope_max,1,0.7,0.25,0.03913714926216016,0.03711411723898717,0.03329864724245578,0.03027522935779814,0.028440366972477094,0.031007751937984496,33,0.06496815286624204,0.06496815286624204,0.0500359971202304,0.04751619870410373,0.04964539007092199,54
R4_117_128,R4,R4_117_128__abs_slope_mean,abs_slope_mean,-1,0.35,0.7,0.03902600835174756,0.05411030176899064,0.046826222684703434,0.04006116207951068,0.031192660550458662,0.08527131782945736,56,0.012314225053078555,0.005095541401273885,0.0100791936645069,0.003239740820734416,0.0070921985815602835,5
R4_117_128,R4,R4_117_128__level_mean,level_mean,-1,0.7,0.4,0.038890461739436014,0.04231703087062088,0.03433922996878252,0.032721712538226276,0.025688073394495414,0.03875968992248062,38,0.09511677282377919,0.09044585987261146,0.07127429805615552,0.06695464362850978,0.07092198581560284,79
R4_117_128,R4,R4_117_128__level_mean,level_mean,-1,0.5,0.55,0.03879464021080735,0.046826222684703434,0.036420395421436005,0.03608562691131497,0.025688073394495414,0.05426356589147287,42,0.10445859872611467,0.10063694267515924,0.07811375089992804,0.0755939524838013,0.07801418439716312,87
R4_117_128,R4,R4_117_128__slope_sd,slope_sd,1,0.7,0.25,0.03872565507461498,0.03988900450919181,0.036420395421436005,0.03149847094801217,0.02752293577981646,0.03875968992248062,38,0.04628450106157112,0.044585987261146494,0.03563714902807776,0.03347732181425489,0.028368794326241134,38
R4_117_128,R4,R4_117_128__linear_slope,linear_slope,1,0.35,0.7,0.03866038572383548,0.05549774540409296,0.04994797086368366,0.04036697247706419,0.03302752293577982,0.09302325581395349,60,0.010615711252653927,0.005095541401273885,0.008279337652987792,0.003239740820734416,0.0070921985815602835,5
R4_117_128,R4,R4_117_128__abs_slope_max,abs_slope_max,-1,0.5,0.55,0.03834115713006383,0.062088102670829,0.05098855359001041,0.044036697247706424,0.032110091743119296,0.10852713178294573,63,0.01910828025477707,0.012738853503184714,0.01403887688984884,0.009719222462203025,0.02127659574468085,11
R4_117_128,R4,R4_117_128__curv_sd,curv_sd,1,0.5,0.25,0.038340003023839664,0.03815469996531391,0.03433922996878252,0.030886850152905154,0.029357798165137616,0.03875968992248062,34,0.04118895966029724,0.03949044585987261,0.032037437005039616,0.029157667386609076,0.028368794326241134,32
R4_117_128,R4,R4_117_128__level_mean,level_mean,-1,0.35,0.7,0.037877209018146826,0.045438779049601107,0.036420395421436005,0.03516819571865445,0.025688073394495414,0.05426356589147287,42,0.09978768577494691,0.0929936305732484,0.0752339812814975,0.07343412526997839,0.07801418439716312,78
R4_117_128,R4,R4_117_128__slope_mean,slope_mean,-1,0.5,0.4,0.03782538672549168,0.044745057232049947,0.037460978147762745,0.033944954128440376,0.028440366972477094,0.05426356589147287,41,0.09596602972399153,0.09044585987261146,0.0748740100791937,0.06803455723542118,0.05673758865248227,79
R4_117_128,R4,R4_117_128__abs_slope_mean,abs_slope_mean,1,0.7,0.25,0.037690500606803026,0.036073534512660425,0.03225806451612903,0.029357798165137578,0.02752293577981646,0.031007751937984496,32,0.07261146496815286,0.07133757961783439,0.05543556515478765,0.05399568034557245,0.05673758865248227,61
R4_117_128,R4,R4_117_128__level_mean,level_mean,1,0.35,0.25,0.03758481681681147,0.039542143600416226,0.03537981269510926,0.030886850152905192,0.026605504587155937,0.03875968992248062,39,0.016985138004246284,0.012738853503184714,0.01367890568754504,0.009719222462203025,0.0070921985815602835,11
R4_117_128,R4,R4_117_128__slope_sd,slope_sd,-1,0.7,0.55,0.03744631703945518,0.062434963579604576,0.053069719042663895,0.04434250764525993,0.03302752293577982,0.11627906976744186,66,0.027600849256900217,0.0267515923566879,0.021958243340532795,0.02051835853131756,0.02127659574468085,22
R4_117_128,R4,R4_117_128__abs_slope_mean,abs_slope_mean,-1,0.7,0.4,0.037378543733299394,0.054457162677766215,0.046826222684703434,0.04067278287461773,0.03027522935779814,0.09302325581395349,57,0.010615711252653927,0.003821656050955414,0.007919366450683954,0.002159827213822907,0.0070921985815602835,4
R4_117_128,R4,R4_117_128__curv_mean,curv_mean,-1,0.7,0.25,0.03736939968937184,0.036420395421436005,0.03225806451612903,0.029357798165137578,0.026605504587155937,0.031007751937984496,33,0.04246284501061571,0.04076433121019108,0.03419726421886252,0.03347732181425489,0.02127659574468085,32
R4_117_128,R4,R4_117_128__level_sd,level_sd,-1,0.5,0.55,0.03715513666815637,0.05688518903919528,0.045785639958376693,0.04097859327217124,0.029357798165137616,0.09302325581395349,56,0.009766454352441613,0.005095541401273885,0.0071994240460763565,0.003239740820734416,0.014184397163120567,5
R4_117_128,R4,R4_117_128__abs_slope_max,abs_slope_max,1,0.5,0.25,0.03707887981169601,0.03537981269510926,0.03225806451612903,0.028746177370030563,0.02752293577981646,0.031007751937984496,32,0.06157112526539279,0.05987261146496815,0.047156227501799854,0.04535637149028082,0.04964539007092199,51
R4_117_128,R4,R4_117_128__endpoint_delta,endpoint_delta,-1,0.7,0.4,0.0370282404871712,0.04613250086715227,0.03850156087408949,0.03455657492354739,0.029357798165137616,0.06201550387596899,42,0.10530785562632698,0.09426751592356689,0.08135349172066238,0.06911447084233269,0.07092198581560284,84
R4_117_128,R4,R4_117_128__linear_slope,linear_slope,-1,0.7,0.4,0.0370282404871712,0.046479361775927854,0.03850156087408949,0.03455657492354739,0.029357798165137616,0.06201550387596899,42,0.10488322717622083,0.0980891719745223,0.08135349172066238,0.07235421166306699,0.07092198581560284,87
R4_117_128,R4,R4_117_128__abs_curv_mean,abs_curv_mean,1,0.5,0.25,0.036973196021704416,0.037460978147762745,0.03537981269510926,0.03027522935779814,0.026605504587155937,0.03875968992248062,36,0.04373673036093418,0.04331210191082802,0.03383729301655869,0.03131749460043198,0.03546099290780142,34
R4_117_128,R4,R4_117_128__abs_curv_max,abs_curv_max,-1,0.5,0.7,0.03655147694884654,0.0638224072147069,0.055150884495317375,0.04464831804281344,0.03394495412844034,0.12403100775193798,69,0.03991507430997877,0.03821656050955414,0.032037437005039616,0.030237580993520474,0.02127659574468085,32
R4_117_128,R4,R4_117_128__abs_curv_max,abs_curv_max,-1,0.7,0.55,0.03652888584679463,0.062088102670829,0.053069719042663895,0.043425076452599375,0.03302752293577982,0.11627906976744186,66,0.03949044585987261,0.03821656050955414,0.03131749460043198,0.02807775377969768,0.028368794326241134,32
R4_117_128,R4,R4_117_128__slope_sd,slope_sd,1,0.5,0.25,0.036443978559007884,0.038501560874089485,0.03433922996878252,0.03027522935779814,0.025688073394495414,0.03875968992248062,37,0.04543524416135881,0.044585987261146494,0.034917206623470164,0.03347732181425489,0.028368794326241134,37
R4_117_128,R4,R4_117_128__abs_curv_mean,abs_curv_mean,-1,0.7,0.55,0.03643306431816595,0.06625043357613597,0.055150884495317375,0.04678899082568807,0.03302752293577982,0.13178294573643412,70,0.035668789808917196,0.03184713375796178,0.028437724982001478,0.024838012958963374,0.02127659574468085,26
R4_117_128,R4,R4_117_128__slope_mean,slope_mean,1,0.35,0.55,0.03619131144135547,0.05029483177245925,0.047866805411030174,0.03669724770642202,0.032110091743119296,0.08527131782945736,52,0.011889596602972398,0.007643312101910828,0.009719222462203025,0.005399568034557212,0.0070921985815602835,7
R4_117_128,R4,R4_117_128__level_sd,level_sd,-1,0.35,0.7,0.03615530214308533,0.05411030176899063,0.046826222684703434,0.039449541284403665,0.03027522935779814,0.09302325581395349,57,0.009766454352441613,0.003821656050955414,0.007559395248380156,0.002159827213822907,0.0070921985815602835,4
R4_117_128,R4,R4_117_128__abs_slope_max,abs_slope_max,1,0.35,0.25,0.03614615809915778,0.034686090877558105,0.03225806451612903,0.028134556574923513,0.026605504587155937,0.031007751937984496,32,0.057749469214437375,0.05605095541401274,0.04391648668106555,0.04211663066954652,0.04964539007092199,48
