exp,feature,model,cohort,base_r2,base_ci,new_r2,new_ci,delta,dir,ci_overlap,significant
mean,NAMA_SUM,clinic4_aec_mean2,internal,0.591,"[0.535,0.636]",0.612,"[0.558,0.656]",0.02,up,True,False
mean,NAMA_SUM,clinic4_aec_mean2,external,0.568,"[0.511,0.614]",0.39,"[0.313,0.459]",-0.177,down,False,True
mean,NAMA_SUM,clinic4_aec_mean4,internal,0.591,"[0.535,0.636]",0.61,"[0.557,0.655]",0.019,up,True,False
mean,NAMA_SUM,clinic4_aec_mean4,external,0.568,"[0.511,0.614]",0.393,"[0.316,0.461]",-0.175,down,False,True
mean,NAMA_SUM,clinic4_aec_mean8,internal,0.591,"[0.535,0.636]",0.612,"[0.558,0.657]",0.02,up,True,False
mean,NAMA_SUM,clinic4_aec_mean8,external,0.568,"[0.511,0.614]",0.425,"[0.354,0.487]",-0.143,down,False,True
mean,NAMA_SUM,clinic4_aec_mean16,internal,0.591,"[0.535,0.636]",0.604,"[0.546,0.652]",0.013,up,True,False
mean,NAMA_SUM,clinic4_aec_mean16,external,0.568,"[0.511,0.614]",0.429,"[0.359,0.491]",-0.139,down,False,True
mean,NAMA_SUM,clinic4_aec_mean32,internal,0.591,"[0.535,0.636]",0.603,"[0.544,0.652]",0.012,up,True,False
mean,NAMA_SUM,clinic4_aec_mean32,external,0.568,"[0.511,0.614]",0.415,"[0.341,0.480]",-0.153,down,False,True
mean,NAMA_SUM,clinic4_aec_mean64,internal,0.591,"[0.535,0.636]",0.597,"[0.541,0.646]",0.006,up,True,False
mean,NAMA_SUM,clinic4_aec_mean64,external,0.568,"[0.511,0.614]",0.346,"[0.257,0.422]",-0.222,down,False,True
mean,NAMA_SUM,clinic4_aec_mean128,internal,0.591,"[0.535,0.636]",0.561,"[0.503,0.612]",-0.031,down,True,False
mean,NAMA_SUM,clinic4_aec_mean128,external,0.568,"[0.511,0.614]",0.306,"[0.212,0.388]",-0.262,down,False,True
mean,LAMA_SUM,clinic4_aec_mean,internal,0.419,"[0.373,0.468]",0.425,"[0.380,0.473]",0.006,up,True,False
mean,LAMA_SUM,clinic4_aec_mean,external,-0.035,"[-0.130,0.045]",-0.182,"[-0.287,-0.090]",-0.147,down,True,False
mean,LAMA_SUM,clinic4_aec_mean2,internal,0.419,"[0.373,0.468]",0.461,"[0.416,0.508]",0.041,up,True,False
mean,LAMA_SUM,clinic4_aec_mean2,external,-0.035,"[-0.130,0.045]",-0.043,"[-0.131,0.035]",-0.007,down,True,False
mean,LAMA_SUM,clinic4_aec_mean4,internal,0.419,"[0.373,0.468]",0.463,"[0.419,0.512]",0.043,up,True,False
mean,LAMA_SUM,clinic4_aec_mean4,external,-0.035,"[-0.130,0.045]",-0.051,"[-0.142,0.026]",-0.016,down,True,False
mean,LAMA_SUM,clinic4_aec_mean8,internal,0.419,"[0.373,0.468]",0.466,"[0.423,0.514]",0.047,up,True,False
mean,LAMA_SUM,clinic4_aec_mean8,external,-0.035,"[-0.130,0.045]",0.004,"[-0.083,0.082]",0.039,up,True,False
mean,LAMA_SUM,clinic4_aec_mean16,internal,0.419,"[0.373,0.468]",0.473,"[0.429,0.517]",0.053,up,True,False
mean,LAMA_SUM,clinic4_aec_mean16,external,-0.035,"[-0.130,0.045]",0.002,"[-0.086,0.080]",0.037,up,True,False
mean,LAMA_SUM,clinic4_aec_mean32,internal,0.419,"[0.373,0.468]",0.467,"[0.421,0.512]",0.047,up,True,False
mean,LAMA_SUM,clinic4_aec_mean32,external,-0.035,"[-0.130,0.045]",0.001,"[-0.091,0.079]",0.036,up,True,False
mean,LAMA_SUM,clinic4_aec_mean64,internal,0.419,"[0.373,0.468]",0.448,"[0.386,0.502]",0.029,up,True,False
mean,LAMA_SUM,clinic4_aec_mean64,external,-0.035,"[-0.130,0.045]",0.003,"[-0.088,0.084]",0.039,up,True,False
mean,LAMA_SUM,clinic4_aec_mean128,internal,0.419,"[0.373,0.468]",0.366,"[0.288,0.435]",-0.054,down,True,False
mean,LAMA_SUM,clinic4_aec_mean128,external,-0.035,"[-0.130,0.045]",-0.045,"[-0.141,0.040]",-0.009,down,True,False
mean,TAMA_SUM,clinic4_aec_mean,internal,0.646,"[0.605,0.683]",0.65,"[0.607,0.688]",0.004,up,True,False
mean,TAMA_SUM,clinic4_aec_mean,external,0.711,"[0.673,0.743]",0.677,"[0.634,0.713]",-0.034,down,True,False
mean,TAMA_SUM,clinic4_aec_mean2,internal,0.646,"[0.605,0.683]",0.651,"[0.609,0.689]",0.005,up,True,False
mean,TAMA_SUM,clinic4_aec_mean2,external,0.711,"[0.673,0.743]",0.68,"[0.638,0.716]",-0.031,down,True,False
mean,TAMA_SUM,clinic4_aec_mean4,internal,0.646,"[0.605,0.683]",0.652,"[0.611,0.689]",0.006,up,True,False
mean,TAMA_SUM,clinic4_aec_mean4,external,0.711,"[0.673,0.743]",0.68,"[0.638,0.716]",-0.031,down,True,False
mean,TAMA_SUM,clinic4_aec_mean8,internal,0.646,"[0.605,0.683]",0.649,"[0.606,0.687]",0.003,up,True,False
mean,TAMA_SUM,clinic4_aec_mean8,external,0.711,"[0.673,0.743]",0.68,"[0.639,0.715]",-0.031,down,True,False
mean,TAMA_SUM,clinic4_aec_mean16,internal,0.646,"[0.605,0.683]",0.648,"[0.603,0.688]",0.002,up,True,False
mean,TAMA_SUM,clinic4_aec_mean16,external,0.711,"[0.673,0.743]",0.682,"[0.640,0.717]",-0.029,down,True,False
mean,TAMA_SUM,clinic4_aec_mean32,internal,0.646,"[0.605,0.683]",0.648,"[0.601,0.687]",0.002,up,True,False
mean,TAMA_SUM,clinic4_aec_mean32,external,0.711,"[0.673,0.743]",0.662,"[0.617,0.701]",-0.049,down,True,False
mean,TAMA_SUM,clinic4_aec_mean64,internal,0.646,"[0.605,0.683]",0.639,"[0.593,0.679]",-0.007,down,True,False
mean,TAMA_SUM,clinic4_aec_mean64,external,0.711,"[0.673,0.743]",0.633,"[0.584,0.678]",-0.078,down,True,False
mean,TAMA_SUM,clinic4_aec_mean128,internal,0.646,"[0.605,0.683]",0.596,"[0.549,0.639]",-0.05,down,True,False
mean,TAMA_SUM,clinic4_aec_mean128,external,0.711,"[0.673,0.743]",0.57,"[0.512,0.622]",-0.141,down,False,True
mean,SAT(피하지방)_SUM,clinic4_aec_mean,internal,0.528,"[0.478,0.573]",0.541,"[0.494,0.584]",0.013,up,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean,external,0.565,"[0.511,0.613]",0.536,"[0.481,0.585]",-0.029,down,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean2,internal,0.528,"[0.478,0.573]",0.542,"[0.496,0.584]",0.015,up,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean2,external,0.565,"[0.511,0.613]",0.548,"[0.494,0.595]",-0.017,down,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean4,internal,0.528,"[0.478,0.573]",0.569,"[0.524,0.607]",0.041,up,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean4,external,0.565,"[0.511,0.613]",0.535,"[0.482,0.583]",-0.03,down,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean8,internal,0.528,"[0.478,0.573]",0.57,"[0.526,0.610]",0.043,up,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean8,external,0.565,"[0.511,0.613]",0.568,"[0.519,0.612]",0.003,up,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean16,internal,0.528,"[0.478,0.573]",0.575,"[0.533,0.614]",0.048,up,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean16,external,0.565,"[0.511,0.613]",0.555,"[0.504,0.600]",-0.01,down,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean32,internal,0.528,"[0.478,0.573]",0.582,"[0.539,0.619]",0.054,up,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean32,external,0.565,"[0.511,0.613]",0.56,"[0.510,0.605]",-0.005,down,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean64,internal,0.528,"[0.478,0.573]",0.556,"[0.509,0.598]",0.029,up,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean64,external,0.565,"[0.511,0.613]",0.557,"[0.505,0.604]",-0.007,down,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean128,internal,0.528,"[0.478,0.573]",0.499,"[0.444,0.546]",-0.029,down,True,False
mean,SAT(피하지방)_SUM,clinic4_aec_mean128,external,0.565,"[0.511,0.613]",0.541,"[0.488,0.589]",-0.023,down,True,False
mean,VAT(내장지방)_SUM,clinic4_aec_mean,internal,0.523,"[0.483,0.562]",0.53,"[0.491,0.569]",0.007,up,True,False
mean,VAT(내장지방)_SUM,clinic4_aec_mean,external,0.418,"[0.359,0.471]",0.378,"[0.320,0.429]",-0.041,down,True,False
mean,VAT(내장지방)_SUM,clinic4_aec_mean2,internal,0.523,"[0.483,0.562]",0.588,"[0.548,0.626]",0.066,up,True,False
mean,VAT(내장지방)_SUM,clinic4_aec_mean2,external,0.418,"[0.359,0.471]",0.493,"[0.451,0.533]",0.074,up,True,False
mean,VAT(내장지방)_SUM,clinic4_aec_mean4,internal,0.523,"[0.483,0.562]",0.62,"[0.581,0.657]",0.097,up,False,True
mean,VAT(내장지방)_SUM,clinic4_aec_mean4,external,0.418,"[0.359,0.471]",0.494,"[0.451,0.535]",0.076,up,True,False
mean,VAT(내장지방)_SUM,clinic4_aec_mean8,internal,0.523,"[0.483,0.562]",0.619,"[0.580,0.655]",0.096,up,False,True
mean,VAT(내장지방)_SUM,clinic4_aec_mean8,external,0.418,"[0.359,0.471]",0.509,"[0.466,0.550]",0.09,up,True,False
mean,VAT(내장지방)_SUM,clinic4_aec_mean16,internal,0.523,"[0.483,0.562]",0.623,"[0.584,0.660]",0.1,up,False,True
mean,VAT(내장지방)_SUM,clinic4_aec_mean16,external,0.418,"[0.359,0.471]",0.48,"[0.432,0.525]",0.062,up,True,False
mean,VAT(내장지방)_SUM,clinic4_aec_mean32,internal,0.523,"[0.483,0.562]",0.621,"[0.580,0.658]",0.098,up,False,True
mean,VAT(내장지방)_SUM,clinic4_aec_mean32,external,0.418,"[0.359,0.471]",0.483,"[0.435,0.527]",0.064,up,True,False
mean,VAT(내장지방)_SUM,clinic4_aec_mean64,internal,0.523,"[0.483,0.562]",0.597,"[0.552,0.637]",0.074,up,True,False
mean,VAT(내장지방)_SUM,clinic4_aec_mean64,external,0.418,"[0.359,0.471]",0.488,"[0.442,0.532]",0.07,up,True,False
mean,VAT(내장지방)_SUM,clinic4_aec_mean128,internal,0.523,"[0.483,0.562]",0.545,"[0.496,0.589]",0.022,up,True,False
mean,VAT(내장지방)_SUM,clinic4_aec_mean128,external,0.418,"[0.359,0.471]",0.459,"[0.409,0.507]",0.041,up,True,False
mean,Total Fat_SUM,clinic4_aec_mean,internal,0.502,"[0.452,0.548]",0.518,"[0.469,0.561]",0.016,up,True,False
mean,Total Fat_SUM,clinic4_aec_mean,external,0.492,"[0.428,0.550]",0.447,"[0.380,0.505]",-0.045,down,True,False
mean,Total Fat_SUM,clinic4_aec_mean2,internal,0.502,"[0.452,0.548]",0.538,"[0.490,0.578]",0.036,up,True,False
mean,Total Fat_SUM,clinic4_aec_mean2,external,0.492,"[0.428,0.550]",0.502,"[0.444,0.553]",0.009,up,True,False
mean,Total Fat_SUM,clinic4_aec_mean4,internal,0.502,"[0.452,0.548]",0.575,"[0.531,0.614]",0.073,up,True,False
mean,Total Fat_SUM,clinic4_aec_mean4,external,0.492,"[0.428,0.550]",0.492,"[0.434,0.543]",-0.001,down,True,False
mean,Total Fat_SUM,clinic4_aec_mean8,internal,0.502,"[0.452,0.548]",0.574,"[0.528,0.613]",0.072,up,True,False
mean,Total Fat_SUM,clinic4_aec_mean8,external,0.492,"[0.428,0.550]",0.524,"[0.470,0.571]",0.032,up,True,False
mean,Total Fat_SUM,clinic4_aec_mean16,internal,0.502,"[0.452,0.548]",0.582,"[0.538,0.619]",0.08,up,True,False
mean,Total Fat_SUM,clinic4_aec_mean16,external,0.492,"[0.428,0.550]",0.499,"[0.443,0.548]",0.006,up,True,False
mean,Total Fat_SUM,clinic4_aec_mean32,internal,0.502,"[0.452,0.548]",0.589,"[0.546,0.627]",0.087,up,True,False
mean,Total Fat_SUM,clinic4_aec_mean32,external,0.492,"[0.428,0.550]",0.506,"[0.450,0.554]",0.014,up,True,False
mean,Total Fat_SUM,clinic4_aec_mean64,internal,0.502,"[0.452,0.548]",0.56,"[0.512,0.602]",0.058,up,True,False
mean,Total Fat_SUM,clinic4_aec_mean64,external,0.492,"[0.428,0.550]",0.513,"[0.457,0.562]",0.02,up,True,False
mean,Total Fat_SUM,clinic4_aec_mean128,internal,0.502,"[0.452,0.548]",0.503,"[0.447,0.553]",0.001,up,True,False
mean,Total Fat_SUM,clinic4_aec_mean128,external,0.492,"[0.428,0.550]",0.494,"[0.437,0.542]",0.002,up,True,False
