stage,feature,window_start,window_end,window_len,descriptor,sign,width,lambda,internal_pass,external_pass,internal_mean_accuracy,internal_mean_accuracy_gain,internal_min_accuracy_gain,internal_mean_specificity_gain,internal_min_specificity_gain,internal_max_sensitivity_loss,internal_min_sensitivity_loss_p,external_mean_accuracy,external_mean_accuracy_gain,external_min_accuracy_gain,external_mean_specificity_gain,external_min_specificity_gain,external_max_sensitivity_loss,external_min_sensitivity_loss_p,internal_selection_score
fine4,win_093_124__abs_curv_mean,93,124,32,abs_curv_mean,1,0.5,0.55,True,False,0.7076452599388379,0.0587155963302752,0.05596330275229355,0.07075962539021852,0.0655567117585848,0.03875968992248058,0.0625,0.6479481641468682,0.035997120230381596,0.02807775377969768,0.05095541401273884,0.04585987261146496,0.07092198581560283,0.001953125,0.7381881505445907
fine4,win_101_124__abs_curv_mean,101,124,24,abs_curv_mean,1,0.5,0.55,True,False,0.7073394495412844,0.05840978593272169,0.05596330275229355,0.07075962539021856,0.06659729448491158,0.03875968992248058,0.0625,0.6526277897768179,0.04067674586033121,0.030237580993520585,0.057749469214437354,0.05222929936305731,0.09219858156028371,0.000244140625,0.7380904566923026
fine4,win_105_124__abs_curv_mean,105,124,20,abs_curv_mean,1,0.5,0.55,True,False,0.7076452599388379,0.05871559633027523,0.05504587155963303,0.0714533472077697,0.06659729448491158,0.03875968992248058,0.0625,0.6562275017998561,0.04427645788336939,0.0345572354211664,0.061995753715498925,0.0573248407643312,0.09219858156028371,0.000244140625,0.7379834230531589
fine4,win_105_124__abs_curv_mean,105,124,20,abs_curv_mean,1,0.35,0.7,True,False,0.7082568807339449,0.05932721712538225,0.05412844036697251,0.07214706902532082,0.0655567117585848,0.03875968992248058,0.0625,0.6573074154067675,0.04535637149028079,0.036717062634989195,0.06284501061571124,0.05859872611464967,0.08510638297872342,0.00048828125,0.7379740832663033
fine4,win_093_104__level_sd,93,104,12,level_sd,1,0.5,0.55,True,False,0.7073394495412844,0.05840978593272169,0.05504587155963303,0.07110648629899408,0.06763787721123826,0.03875968992248058,0.0625,0.6447084233261339,0.03275737940964726,0.030237580993520585,0.047558386411889586,0.04458598726114649,0.04964539007092206,0.015625,0.7378857292008708
coarse8,win_097_128__abs_slope_max,97,128,32,abs_slope_max,1,0.7,0.55,True,False,0.7073394495412844,0.05840978593272169,0.05596330275229355,0.07041276448144292,0.0655567117585848,0.03875968992248058,0.0625,0.6886249100071994,0.07667386609071276,0.06479481641468687,0.10318471337579616,0.09426751592356686,0.099290780141844,0.0001220703125,0.7378823401470372
fine4,win_097_124__curv_sd,97,124,28,curv_sd,1,0.5,0.55,True,False,0.7073394495412844,0.05840978593272169,0.05596330275229355,0.07041276448144296,0.0655567117585848,0.03875968992248058,0.0625,0.650467962562995,0.03851691864650834,0.03239740820734349,0.054777070063694255,0.04713375796178343,0.08510638297872342,0.00048828125,0.7378823401470372
fine4,win_101_128__abs_slope_max,101,128,28,abs_slope_max,1,0.7,0.55,True,False,0.7073394495412844,0.05840978593272169,0.05596330275229355,0.07041276448144292,0.0655567117585848,0.03875968992248058,0.0625,0.6900647948164148,0.07811375089992804,0.06911447084233269,0.10445859872611463,0.09808917197452227,0.09219858156028371,0.000244140625,0.7378823401470372
coarse8,win_105_128__curv_sd,105,128,24,curv_sd,1,0.5,0.55,True,False,0.7079510703363914,0.05902140672782874,0.05504587155963303,0.07075962539021856,0.06451612903225812,0.03875968992248058,0.0625,0.6594672426205904,0.047516198704103695,0.04211663066954652,0.06539278131634818,0.06369426751592355,0.08510638297872342,0.00048828125,0.7378730003601818
fine4,win_105_124__curv_sd,105,124,20,curv_sd,1,0.5,0.55,True,False,0.7073394495412844,0.058409785932721725,0.05504587155963303,0.07041276448144296,0.0655567117585848,0.03875968992248058,0.0625,0.6555075593952484,0.043556515478761715,0.0356371490280778,0.0602972399150743,0.053503184713375784,0.08510638297872342,0.00048828125,0.7374694961103401
fine4,win_109_124__curv_sd,109,124,16,curv_sd,1,0.5,0.55,True,False,0.7079510703363914,0.05902140672782874,0.05412844036697251,0.07110648629899412,0.06451612903225812,0.03875968992248058,0.0625,0.6555075593952483,0.043556515478761715,0.036717062634989195,0.060721868365180454,0.054777070063694255,0.08510638297872342,0.00048828125,0.7374601563234845
fine4,win_105_124__curv_sd,105,124,20,curv_sd,1,0.35,0.7,True,False,0.7076452599388379,0.05871559633027523,0.05412844036697251,0.07145334720776968,0.0655567117585848,0.03875968992248058,0.0625,0.6547876169906407,0.04283657307415408,0.037796976241900704,0.05987261146496814,0.053503184713375784,0.07801418439716312,0.0009765625,0.7373624624711963
fine4,win_109_128__curv_sd,109,128,20,curv_sd,1,0.35,0.7,True,False,0.7079510703363914,0.05902140672782874,0.05412844036697251,0.07075962539021852,0.06347554630593133,0.03875968992248058,0.0625,0.6619870410367171,0.050035997120230435,0.04535637149028082,0.06836518046709128,0.0662420382165605,0.07801418439716312,0.0009765625,0.7372520397782191
fine4,win_109_124__abs_curv_max,109,124,16,abs_curv_max,1,0.5,0.55,True,False,0.7076452599388379,0.05871559633027523,0.05412844036697251,0.07075962539021852,0.06451612903225812,0.03875968992248058,0.0625,0.6612670986321095,0.0493160547156228,0.044276457883369424,0.06751592356687897,0.06496815286624202,0.07092198581560283,0.001953125,0.737154345925931
fine4,win_101_124__curv_sd,101,124,24,curv_sd,1,0.5,0.55,True,False,0.7070336391437309,0.05810397553516818,0.05412844036697251,0.07075962539021852,0.0655567117585848,0.03875968992248058,0.0625,0.6533477321814255,0.04139668826493884,0.0345572354211664,0.057749469214437354,0.053503184713375784,0.07801418439716312,0.0009765625,0.7367508416760893
fine4,win_109_124__curv_sd,109,124,16,curv_sd,1,0.35,0.7,True,False,0.7079510703363914,0.05902140672782874,0.05229357798165135,0.07110648629899408,0.06243496357960454,0.03875968992248058,0.0625,0.6558675305975522,0.043916486681065514,0.0388768898488121,0.060721868365180454,0.053503184713375784,0.07801418439716312,0.0009765625,0.7362182351595593
fine4,win_093_124__curv_sd,93,124,32,curv_sd,1,0.35,0.7,True,False,0.7076452599388379,0.0587155963302752,0.05229357798165135,0.07145334720776968,0.06347554630593133,0.03875968992248058,0.0625,0.6508279337652988,0.038876889848812136,0.03347732181425489,0.0543524416135881,0.04585987261146496,0.07801418439716312,0.0009765625,0.7361205413072711
fine4,win_093_104__abs_slope_mean,93,104,12,abs_slope_mean,1,0.7,0.55,True,False,0.7067278287461773,0.057798165137614634,0.053211009174311874,0.07006590357266736,0.0655567117585848,0.03875968992248058,0.0625,0.6461483081353492,0.03419726421886249,0.03131749460043198,0.04713375796178343,0.04458598726114649,0.04964539007092206,0.015625,0.7360321872418385
fine4,win_109_128__abs_curv_mean,109,128,20,abs_curv_mean,1,0.5,0.55,True,False,0.7067278287461773,0.057798165137614675,0.05412844036697251,0.06937218175511617,0.06347554630593133,0.03875968992248058,0.0625,0.6623470122390209,0.050395968322534235,0.04535637149028082,0.0692144373673036,0.06878980891719744,0.08510638297872342,0.00048828125,0.736028798188005
fine4,win_109_128__curv_sd,109,128,20,curv_sd,1,0.5,0.55,True,False,0.7073394495412844,0.05840978593272169,0.053211009174311874,0.07006590357266736,0.06243496357960454,0.03875968992248058,0.0625,0.6616270698344132,0.0496760259179266,0.044276457883369424,0.06709129511677281,0.0662420382165605,0.07801418439716312,0.0009765625,0.7360194584011495
coarse8,win_065_096__abs_curv_mean,65,96,32,abs_curv_mean,1,0.7,0.7,True,False,0.7082568807339449,0.05932721712538225,0.050458715596330306,0.07249392993409638,0.06243496357960454,0.03875968992248058,0.0625,0.6285097192224622,0.016558675305975584,0.015118790496760348,0.028025477707006363,0.026751592356687892,0.06382978723404253,0.00390625,0.7356983574837183
coarse8,win_113_128__curv_sd,113,128,16,curv_sd,1,0.5,0.55,True,False,0.7079510703363914,0.05902140672782874,0.05137614678899083,0.07145334720776968,0.06139438085327786,0.03875968992248058,0.0625,0.6645068394528436,0.052555795536357065,0.04643628509719222,0.07176220806794054,0.07006369426751591,0.08510638297872342,0.00048828125,0.7355972745775967
fine4,win_097_124__curv_sd,97,124,28,curv_sd,1,0.35,0.7,True,False,0.7067278287461773,0.057798165137614675,0.05229357798165135,0.07041276448144292,0.06347554630593133,0.03875968992248058,0.0625,0.6511879049676026,0.039236861051115936,0.0345572354211664,0.05562632696390657,0.0484076433121019,0.07801418439716312,0.0009765625,0.7352031101146106
fine4,win_101_124__curv_sd,101,124,24,curv_sd,1,0.35,0.7,True,False,0.7067278287461773,0.057798165137614675,0.05229357798165135,0.07041276448144292,0.06347554630593133,0.03875968992248058,0.0625,0.6540676745860331,0.04211663066954644,0.036717062634989195,0.059023354564755826,0.053503184713375784,0.07801418439716312,0.0009765625,0.7352031101146106
fine4,win_093_124__abs_curv_max,93,124,32,abs_curv_max,1,0.35,0.7,True,False,0.7073394495412844,0.05840978593272169,0.05137614678899083,0.07041276448144296,0.06139438085327786,0.03875968992248058,0.0625,0.6591072714182865,0.047156227501799854,0.04535637149028082,0.06411889596602971,0.05859872611464967,0.07092198581560283,0.001953125,0.7349856537824897
fine4,win_101_124__abs_curv_mean,101,124,24,abs_curv_mean,1,0.35,0.7,True,False,0.7064220183486238,0.05749235474006117,0.05229357798165135,0.07006590357266736,0.06347554630593133,0.03875968992248058,0.0625,0.6526277897768179,0.04067674586033121,0.03239740820734349,0.0573248407643312,0.053503184713375784,0.08510638297872342,0.00048828125,0.7348972997170571
fine4,win_077_100__curv_sd,77,100,24,curv_sd,1,0.5,0.7,True,False,0.7073394495412844,0.05840978593272169,0.050458715596330306,0.07075962539021852,0.06243496357960454,0.03875968992248058,0.0625,0.6303095752339812,0.018358531317494615,0.016198704103671746,0.026326963906581735,0.02547770700636942,0.042553191489361764,0.03125,0.7347809262910577
fine4,win_109_124__abs_curv_max,109,124,16,abs_curv_max,1,0.35,0.7,True,False,0.7070336391437309,0.05810397553516818,0.05137614678899083,0.07041276448144292,0.06139438085327786,0.03875968992248058,0.0625,0.661987041036717,0.0500359971202304,0.044276457883369424,0.0692144373673036,0.06751592356687897,0.08510638297872342,0.00048828125,0.7346798433849362
fine4,win_077_100__abs_curv_mean,77,100,24,abs_curv_mean,1,0.5,0.7,True,False,0.7058103975535168,0.056880733944954076,0.05229357798165135,0.06937218175511621,0.06451612903225812,0.03875968992248058,0.0625,0.634629229661627,0.02267818574514043,0.022678185745140356,0.03142250530785562,0.028025477707006363,0.042553191489361764,0.03125,0.7344937954672155
fine4,win_097_124__abs_curv_max,97,124,28,abs_curv_max,1,0.35,0.7,True,False,0.7067278287461773,0.057798165137614675,0.05137614678899083,0.06971904266389177,0.06139438085327786,0.03875968992248058,0.0625,0.6605471562275018,0.04859611231101513,0.04643628509719222,0.0662420382165605,0.06114649681528661,0.07092198581560283,0.001953125,0.7343740329873827
fine4,win_101_124__abs_curv_max,101,124,24,abs_curv_max,1,0.35,0.7,True,False,0.7067278287461773,0.057798165137614675,0.05137614678899083,0.06971904266389177,0.06139438085327786,0.03875968992248058,0.0625,0.6616270698344132,0.0496760259179266,0.04751619870410373,0.06751592356687897,0.06369426751592355,0.07092198581560283,0.001953125,0.7343740329873827
fine4,win_069_100__abs_curv_max,69,100,32,abs_curv_max,1,0.5,0.7,True,False,0.7058103975535168,0.05688073394495411,0.05229357798165135,0.06902532084634061,0.06347554630593133,0.03875968992248058,0.0625,0.6270698344132469,0.015118790496760312,0.012958963282937441,0.023354564755838636,0.02292993630573248,0.042553191489361764,0.03125,0.7342856789219501
coarse8,win_097_128__abs_slope_mean,97,128,32,abs_slope_mean,1,0.7,0.55,True,False,0.7073394495412844,0.058409785932721725,0.050458715596330306,0.07041276448144296,0.0593132154006244,0.03875968992248058,0.0625,0.6911447084233262,0.07919366450683951,0.06695464362850978,0.11125265392781314,0.10063694267515921,0.12056737588652489,1.52587890625e-05,0.7341565766552617
coarse8,win_097_128__abs_curv_max,97,128,32,abs_curv_max,1,0.5,0.55,True,False,0.7073394495412844,0.058409785932721725,0.050458715596330306,0.07006590357266736,0.0593132154006244,0.03875968992248058,0.0625,0.6623470122390209,0.050395968322534235,0.044276457883369424,0.06794055201698512,0.0662420382165605,0.07801418439716312,0.0009765625,0.7341565766552617
coarse8,win_105_128__abs_curv_max,105,128,24,abs_curv_max,1,0.5,0.55,True,False,0.7073394495412844,0.058409785932721725,0.050458715596330306,0.07006590357266736,0.0593132154006244,0.03875968992248058,0.0625,0.6645068394528438,0.05255579553635711,0.04535637149028082,0.07091295116772822,0.06751592356687897,0.07801418439716312,0.0009765625,0.7341565766552617
fine4,win_101_128__abs_curv_max,101,128,28,abs_curv_max,1,0.5,0.55,True,False,0.7073394495412844,0.05840978593272169,0.050458715596330306,0.07006590357266736,0.0593132154006244,0.03875968992248058,0.0625,0.6634269258459323,0.05147588192944567,0.04535637149028082,0.0692144373673036,0.06751592356687897,0.07801418439716312,0.0009765625,0.7341565766552617
fine4,win_109_128__abs_curv_max,109,128,20,abs_curv_max,1,0.35,0.7,True,False,0.7073394495412844,0.058409785932721725,0.050458715596330306,0.07006590357266736,0.0593132154006244,0.03875968992248058,0.0625,0.6652267818574514,0.05327573794096474,0.04535637149028082,0.07261146496815285,0.07006369426751591,0.09219858156028371,0.000244140625,0.7341565766552617
fine4,win_105_124__abs_curv_max,105,124,20,abs_curv_max,1,0.5,0.55,True,False,0.7064220183486238,0.057492354740061126,0.05137614678899083,0.06937218175511621,0.06139438085327786,0.03875968992248058,0.0625,0.6612670986321095,0.0493160547156228,0.04535637149028082,0.06794055201698512,0.0662420382165605,0.07801418439716312,0.0009765625,0.7340682225898292
coarse8,win_097_128__abs_curv_max,97,128,32,abs_curv_max,1,0.35,0.7,True,False,0.7070336391437309,0.05810397553516818,0.050458715596330306,0.07006590357266736,0.0593132154006244,0.03875968992248058,0.0625,0.6627069834413247,0.05075593952483807,0.044276457883369424,0.06794055201698512,0.06496815286624202,0.07801418439716312,0.0009765625,0.7338507662577082
fine4,win_105_124__abs_curv_max,105,124,20,abs_curv_max,1,0.35,0.7,True,False,0.7067278287461773,0.057798165137614675,0.050458715596330306,0.06971904266389177,0.060353798126951075,0.03875968992248058,0.0625,0.6605471562275018,0.04859611231101513,0.04535637149028082,0.06751592356687897,0.0662420382165605,0.07801418439716312,0.0009765625,0.73375307240542
fine4,win_097_124__abs_curv_max,97,124,28,abs_curv_max,1,0.5,0.55,True,False,0.7058103975535168,0.05688073394495411,0.05137614678899083,0.06867845993756505,0.06139438085327786,0.03875968992248058,0.0625,0.6583873290136789,0.046436285097192255,0.04211663066954652,0.06454352441613587,0.06114649681528661,0.07801418439716312,0.0009765625,0.7334566017947222
fine4,win_101_124__abs_curv_max,101,124,24,abs_curv_max,1,0.5,0.55,True,False,0.7055045871559633,0.0565749235474006,0.05137614678899083,0.06833159902878945,0.06139438085327786,0.03875968992248058,0.0625,0.6598272138228941,0.04787616990640753,0.044276457883369424,0.06666666666666665,0.06496815286624202,0.07801418439716312,0.0009765625,0.7331507913971687
coarse8,win_113_128__curv_sd,113,128,16,curv_sd,1,0.35,0.7,True,False,0.7073394495412844,0.05840978593272169,0.04862385321100915,0.07075962539021852,0.05827263267429761,0.03875968992248058,0.0625,0.6645068394528437,0.05255579553635711,0.04643628509719222,0.07261146496815285,0.07006369426751591,0.08510638297872342,0.00048828125,0.7331227720366019
coarse8,win_105_128__abs_curv_max,105,128,24,abs_curv_max,1,0.35,0.7,True,False,0.7067278287461773,0.057798165137614634,0.04954128440366967,0.06971904266389177,0.05827263267429761,0.03875968992248058,0.0625,0.6641468682505399,0.05219582433405331,0.04535637149028082,0.07048832271762207,0.06751592356687897,0.07801418439716312,0.0009765625,0.7329239952781921
fine4,win_101_128__abs_curv_max,101,128,28,abs_curv_max,1,0.35,0.7,True,False,0.7067278287461773,0.057798165137614634,0.04954128440366967,0.06971904266389177,0.05827263267429761,0.03875968992248058,0.0625,0.6627069834413247,0.05075593952483807,0.04535637149028082,0.06836518046709128,0.06496815286624202,0.07801418439716312,0.0009765625,0.7329239952781921
fine4,win_037_056__curv_mean,37,56,20,curv_mean,1,0.35,0.7,True,False,0.7073394495412844,0.05840978593272169,0.047706422018348627,0.07041276448144296,0.0593132154006244,0.03875968992248058,0.0625,0.6673866090712742,0.05543556515478761,0.04427645788336931,0.07346072186836516,0.05987261146496814,0.04964539007092206,0.015625,0.73291804454517
fine4,win_093_124__abs_curv_max,93,124,32,abs_curv_max,1,0.5,0.55,True,False,0.7058103975535168,0.05688073394495411,0.050458715596330306,0.06867845993756501,0.060353798126951075,0.03875968992248058,0.0625,0.6565874730021598,0.04463642908567315,0.0388768898488121,0.06114649681528661,0.0573248407643312,0.07092198581560283,0.001953125,0.7328356412127595
fine4,win_101_128__abs_slope_mean,101,128,28,abs_slope_mean,1,0.7,0.55,True,False,0.7070336391437309,0.05810397553516818,0.04862385321100915,0.07041276448144292,0.05827263267429761,0.03875968992248058,0.0625,0.6940244780417566,0.08207343412526998,0.06803455723542118,0.11422505307855624,0.10191082802547768,0.12056737588652489,1.52587890625e-05,0.7328169616390484
coarse8,win_113_128__curv_mean,113,128,16,curv_mean,-1,0.5,0.7,True,False,0.7048929663608563,0.05596330275229355,0.05137614678899083,0.06833159902878942,0.06243496357960454,0.03875968992248058,0.0625,0.683585313174946,0.07163426925845935,0.06155507559395257,0.09171974522292992,0.08280254777070062,0.05673758865248235,0.0078125,0.732747287147327
coarse8,win_017_048__curv_mean,17,48,32,curv_mean,1,0.5,0.7,True,False,0.7061162079510703,0.05718654434250762,0.04954128440366967,0.06971904266389177,0.060353798126951075,0.03875968992248058,0.0625,0.6688264938804895,0.05687544996400288,0.05291576673866094,0.07515923566878979,0.07388535031847132,0.06382978723404253,0.00390625,0.7327286075736157
coarse8,win_089_112__curv_mean,89,112,24,curv_mean,1,0.7,0.7,True,False,0.7061162079510703,0.05718654434250762,0.04954128440366967,0.06937218175511621,0.060353798126951075,0.03875968992248058,0.0625,0.6565874730021598,0.04463642908567315,0.036717062634989195,0.05987261146496814,0.05222929936305731,0.04964539007092206,0.015625,0.7327286075736157
fine4,win_113_124__abs_curv_max,113,124,12,abs_curv_max,1,0.35,0.7,True,False,0.7067278287461773,0.057798165137614634,0.04862385321100915,0.07041276448144296,0.0593132154006244,0.03875968992248058,0.0625,0.6573074154067675,0.04535637149028082,0.04211663066954652,0.06369426751592355,0.06242038216560508,0.07801418439716312,0.0009765625,0.7327192677867602
fine4,win_109_128__abs_curv_max,109,128,20,abs_curv_max,1,0.5,0.55,True,False,0.7070336391437309,0.05810397553516818,0.04862385321100915,0.06971904266389177,0.05723204994797082,0.03875968992248058,0.0625,0.6648668106551476,0.05291576673866094,0.04535637149028082,0.07176220806794054,0.06878980891719744,0.08510638297872342,0.00048828125,0.732608845093783
fine4,win_113_124__curv_sd,113,124,12,curv_sd,1,0.5,0.55,True,False,0.7039755351681958,0.05504587155963303,0.05137614678899083,0.0672910163024627,0.06243496357960454,0.03875968992248058,0.0625,0.6562275017998561,0.04427645788336935,0.036717062634989195,0.060721868365180454,0.054777070063694255,0.07801418439716312,0.0009765625,0.7318298559546664
fine4,win_113_124__curv_sd,113,124,12,curv_sd,1,0.35,0.7,True,False,0.7051987767584098,0.05626911314984706,0.04954128440366967,0.06867845993756505,0.060353798126951075,0.03875968992248058,0.0625,0.6547876169906407,0.04283657307415408,0.037796976241900704,0.05987261146496814,0.054777070063694255,0.07801418439716312,0.0009765625,0.7318111763809552
fine4,win_093_104__slope_sd,93,104,12,slope_sd,1,0.5,0.55,True,False,0.7051987767584098,0.05626911314984706,0.04954128440366967,0.06833159902878949,0.0593132154006244,0.03875968992248058,0.0625,0.6396688264938805,0.02771778257739384,0.02591792656587477,0.03821656050955413,0.03312101910828025,0.05673758865248235,0.0078125,0.7316030598356899
fine4,win_109_128__abs_slope_max,109,128,20,abs_slope_max,1,0.35,0.7,True,False,0.7039755351681958,0.05504587155963303,0.05137614678899083,0.06659729448491154,0.060353798126951075,0.03875968992248058,0.0625,0.6868250539956803,0.0748740100791937,0.06371490280777548,0.0997876857749469,0.09044585987261144,0.08510638297872342,0.00048828125,0.7314136228641357
fine4,win_109_120__curv_sd,109,120,12,curv_sd,1,0.35,0.55,True,False,0.7045871559633028,0.05565749235474001,0.04954128440366967,0.0672910163024627,0.060353798126951075,0.03875968992248058,0.0625,0.6472282217422607,0.03527717782577396,0.03347732181425489,0.04883227176220806,0.04458598726114649,0.06382978723404253,0.00390625,0.7311995555858481
fine4,win_069_100__curv_sd,69,100,32,curv_sd,1,0.5,0.7,True,False,0.7058103975535168,0.05688073394495411,0.047706422018348627,0.06937218175511617,0.05827263267429761,0.03875968992248058,0.0625,0.6303095752339812,0.018358531317494615,0.015118790496760237,0.026751592356687892,0.02292993630573248,0.042553191489361764,0.03125,0.7311808760121371
coarse8,win_113_128__abs_slope_max,113,128,16,abs_slope_max,1,0.35,0.7,True,False,0.7042813455657493,0.05535168195718654,0.050458715596330306,0.06694415539368714,0.0593132154006244,0.03875968992248058,0.0625,0.6882649388048957,0.07631389488840894,0.06803455723542118,0.10148619957537153,0.09554140127388533,0.08510638297872342,0.00048828125,0.7310984726797266
fine4,win_037_056__curv_mean,37,56,20,curv_mean,1,0.5,0.55,True,False,0.7055045871559633,0.0565749235474006,0.047706422018348627,0.06798473812001389,0.0593132154006244,0.03875968992248058,0.0625,0.6706263498920086,0.05867530597552203,0.049676025917926636,0.07728237791932058,0.0662420382165605,0.04964539007092206,0.015625,0.7310831821598489
fine4,win_113_124__abs_curv_max,113,124,12,abs_curv_max,1,0.5,0.55,True,False,0.7058103975535168,0.05688073394495411,0.047706422018348627,0.06902532084634061,0.05723204994797082,0.03875968992248058,0.0625,0.6551475881929446,0.043196544276457916,0.037796976241900704,0.06157112526539277,0.05987261146496814,0.08510638297872342,0.00048828125,0.7309727594668717
fine4,win_101_128__curv_mean,101,128,28,curv_mean,-1,0.5,0.7,True,False,0.7036697247706423,0.05474006116207952,0.050458715596330306,0.06694415539368714,0.06139438085327786,0.03875968992248058,0.0625,0.6897048236141109,0.07775377969762425,0.06371490280777548,0.10318471337579616,0.09044585987261144,0.08510638297872342,0.00048828125,0.7309030849751503
fine4,win_093_104__abs_slope_mean,93,104,12,abs_slope_mean,1,0.5,0.55,True,False,0.7027522935779816,0.053822629969418924,0.05137614678899083,0.0655567117585848,0.06347554630593133,0.03875968992248058,0.0625,0.6429085673146148,0.030957523398128184,0.02807775377969768,0.04288747346072186,0.042038216560509545,0.04964539007092206,0.015625,0.7308147309097176
coarse8,win_097_128__abs_slope_max,97,128,32,abs_slope_max,1,0.35,0.7,True,False,0.7036697247706423,0.05474006116207949,0.050458715596330306,0.0659035726673604,0.0593132154006244,0.03875968992248058,0.0625,0.683585313174946,0.07163426925845935,0.06155507559395257,0.09554140127388533,0.0878980891719745,0.08510638297872342,0.00048828125,0.7304868518846196
coarse8,win_105_128__abs_slope_max,105,128,24,abs_slope_max,1,0.35,0.7,True,False,0.7033639143730888,0.05443425076452598,0.050458715596330306,0.0659035726673604,0.0593132154006244,0.03875968992248058,0.0625,0.6861051115910728,0.07415406767458606,0.06263498920086397,0.09851380042462843,0.08917197452229297,0.08510638297872342,0.00048828125,0.7301810414870661
fine4,win_101_128__abs_slope_max,101,128,28,abs_slope_max,1,0.35,0.7,True,False,0.7033639143730888,0.05443425076452598,0.050458715596330306,0.06555671175858484,0.0593132154006244,0.03875968992248058,0.0625,0.6843052555795537,0.07235421166306699,0.06263498920086397,0.09639065817409764,0.08917197452229297,0.08510638297872342,0.00048828125,0.7301810414870661
fine4,win_101_124__abs_slope_max,101,124,24,abs_slope_max,1,0.5,0.55,True,False,0.7045871559633028,0.055657492354740046,0.04862385321100915,0.0672910163024627,0.05723204994797082,0.03875968992248058,0.0625,0.677825773938085,0.06587473002159827,0.05291576673866094,0.09129511677282376,0.08152866242038215,0.1063829787234043,6.103515625e-05,0.7301623619133549
