feature,model,cohort,scanner,n,n_pos,auc,sensitivity,specificity,accuracy
HTN,clinic4,internal,Sensation 64,380,119,0.8229498696030138,0.7899159663865546,0.7471264367816092,0.7605263157894737
HTN,clinic4,internal,SOMATOM Definition AS+,180,79,0.7246522120566486,0.810126582278481,0.5148514851485149,0.6444444444444445
HTN,clinic4,internal,Ingenuity Core 128,202,66,0.7501114081996435,0.7424242424242424,0.6323529411764706,0.6683168316831684
HTN,clinic4_aec_best,external,Revolution EVO,149,88,0.7436661698956781,0.6818181818181818,0.7213114754098361,0.697986577181208
HTN,clinic4_aec_best,external,LightSpeed VCT,50,13,0.7297297297297297,0.5384615384615384,0.7027027027027027,0.66
HTN,clinic4_aec_best,external,SOMATOM Definition Flash,228,96,0.7445549242424243,0.5625,0.7575757575757576,0.6754385964912281
HTN,clinic4_aec_best,external,Sensation 64,48,29,0.6787658802177858,0.8275862068965517,0.47368421052631576,0.6875
HTN,clinic4_aec_best,external,SOMATOM Force,123,58,0.7275862068965518,0.5862068965517241,0.7384615384615385,0.6666666666666666
HTN,clinic4_aec_best,external,SOMATOM Definition AS+,165,76,0.7244234180958012,0.5789473684210527,0.7415730337078652,0.6666666666666666
HTN,clinic4_aec_best,external,iCT 256,135,47,0.6951160541586073,0.5531914893617021,0.6931818181818182,0.6444444444444445
HTN,clinic4_aec_best,internal,Revolution CT,317,60,0.856355382619974,0.75,0.8210116731517509,0.807570977917981
HTN,clinic4_aec_best,internal,Sensation 64,380,119,0.832415724910654,0.7899159663865546,0.7318007662835249,0.75
HTN,clinic4_aec_best,internal,SOMATOM Definition AS+,180,79,0.7413209675397919,0.8227848101265823,0.5445544554455446,0.6666666666666666
HTN,clinic4_aec_best,internal,Ingenuity Core 128,202,66,0.7730614973262032,0.6060606060606061,0.7426470588235294,0.698019801980198
