feature,model,cohort,variable,vif,is_added
HTN,clinic4_nama_uplow_ratio,external,weight,1.759465796100188,False
HTN,clinic4_nama_uplow_ratio,external,NAMA_uplow_ratio,1.3165609388262811,True
HTN,clinic4_lama_fpca_elbow,internal,sex_M,2.5958068932248533,False
HTN,clinic4_lama_fpca_elbow,internal,age,1.51929589580927,False
HTN,clinic4_lama_fpca_elbow,internal,height,2.8138217193454116,False
HTN,clinic4_lama_fpca_elbow,internal,weight,2.4054042482642743,False
HTN,clinic4_lama_fpca_elbow,internal,lama_fpca_pc1,1.7975739718545896,True
HTN,clinic4_lama_fpca_elbow,internal,lama_fpca_pc2,1.210170470808865,True
HTN,clinic4_lama_fpca_elbow,external,sex_M,2.623435861733145,False
HTN,clinic4_lama_fpca_elbow,external,age,1.353034246605993,False
HTN,clinic4_lama_fpca_elbow,external,height,3.0168189508764804,False
HTN,clinic4_lama_fpca_elbow,external,weight,2.202365765192386,False
HTN,clinic4_lama_fpca_elbow,external,lama_fpca_pc1,1.5644248512235495,True
HTN,clinic4_lama_fpca_elbow,external,lama_fpca_pc2,1.35324095171327,True
HTN,clinic4_lama_uplow_ratio,internal,sex_M,2.6220966536531165,False
HTN,clinic4_lama_uplow_ratio,internal,age,1.2543321333143147,False
HTN,clinic4_lama_uplow_ratio,internal,height,2.786157213980441,False
HTN,clinic4_lama_uplow_ratio,internal,weight,1.821106078563117,False
HTN,clinic4_lama_uplow_ratio,internal,LAMA_uplow_ratio,1.2015557855028993,True
HTN,clinic4_lama_uplow_ratio,external,sex_M,2.58994520715519,False
HTN,clinic4_lama_uplow_ratio,external,age,1.1684309315489019,False
HTN,clinic4_lama_uplow_ratio,external,height,2.9936717718172625,False
HTN,clinic4_lama_uplow_ratio,external,weight,1.7599687609640189,False
HTN,clinic4_lama_uplow_ratio,external,LAMA_uplow_ratio,1.1254360690472656,True
HTN,clinic4_tama_fpca_elbow,internal,sex_M,3.0629451164603396,False
HTN,clinic4_tama_fpca_elbow,internal,age,1.359356022789385,False
HTN,clinic4_tama_fpca_elbow,internal,height,2.8193427401701188,False
HTN,clinic4_tama_fpca_elbow,internal,weight,2.814748321447162,False
HTN,clinic4_tama_fpca_elbow,internal,tama_fpca_pc1,3.5662642072479094,True
HTN,clinic4_tama_fpca_elbow,internal,tama_fpca_pc2,1.1208731950947037,True
HTN,clinic4_tama_fpca_elbow,external,sex_M,3.226622418424174,False
HTN,clinic4_tama_fpca_elbow,external,age,1.235573404409309,False
HTN,clinic4_tama_fpca_elbow,external,height,3.011809051702108,False
HTN,clinic4_tama_fpca_elbow,external,weight,2.1431550236558903,False
HTN,clinic4_tama_fpca_elbow,external,tama_fpca_pc1,2.709950372872742,True
HTN,clinic4_tama_fpca_elbow,external,tama_fpca_pc2,1.227414873177154,True
HTN,clinic4_tama_uplow_ratio,internal,sex_M,2.917535806467579,False
HTN,clinic4_tama_uplow_ratio,internal,age,1.3868418600190822,False
HTN,clinic4_tama_uplow_ratio,internal,height,2.8000834380505917,False
HTN,clinic4_tama_uplow_ratio,internal,weight,1.8274521038624354,False
HTN,clinic4_tama_uplow_ratio,internal,TAMA_uplow_ratio,1.5339087323494578,True
HTN,clinic4_tama_uplow_ratio,external,sex_M,2.640631154264098,False
HTN,clinic4_tama_uplow_ratio,external,age,1.216327353140813,False
HTN,clinic4_tama_uplow_ratio,external,height,2.9816811304909097,False
HTN,clinic4_tama_uplow_ratio,external,weight,1.7646962052416986,False
HTN,clinic4_tama_uplow_ratio,external,TAMA_uplow_ratio,1.239260246242029,True
HTN,clinic4_aec_slope,internal,sex_M,2.8386202151838638,False
HTN,clinic4_aec_slope,internal,age,1.297864083712938,False
HTN,clinic4_aec_slope,internal,height,2.8843084547216753,False
HTN,clinic4_aec_slope,internal,weight,1.8900807569290676,False
HTN,clinic4_aec_slope,internal,AEC_slope,1.5901761162798846,True
HTN,clinic4_aec_slope,external,sex_M,2.632159400253602,False
