feature,model,cohort,n,n_pos,prevalence,auc,auc_std,auc_ci_lower,auc_ci_upper,threshold,sensitivity,specificity,accuracy,sensitivity_std,specificity_std,accuracy_std
HTN,clinic4_lama,internal,1259,386,0.30659253375694995,0.8053900166609524,0.011221208078773656,,,0.26414582978367035,0.7852813852813854,0.6678752052545156,0.7037469170935307,0.059520267505791244,0.0327490767237246,0.016332292470613234
HTN,clinic4_lama,external,1123,507,0.4514692787177204,0.735463254694024,,0.7068655330474788,0.7643657761023148,0.26414582978367035,0.8106508875739645,0.525974025974026,0.6544968833481746,,,
HTN,clinic4_tama,internal,1259,386,0.30659253375694995,0.7972418528379119,0.016231334339692104,,,0.26414582978367035,0.8085248085248086,0.6495435139573071,0.6981723898058559,0.048175378110937445,0.036792970330767207,0.018104403212550496
HTN,clinic4_tama,external,1123,507,0.4514692787177204,0.7182336893875355,,0.6882349338664925,0.748899015975392,0.26414582978367035,0.7810650887573964,0.5535714285714286,0.6562778272484416,,,
HTN,clinic4_vat_sat_ratio,internal,1259,386,0.30659253375694995,0.8016995112167526,0.02237508225882003,,,0.26414582978367035,0.8033300033300034,0.6644269293924466,0.7068899007146019,0.052921956785668994,0.044983199592246115,0.021060437137644456
HTN,clinic4_vat_sat_ratio,external,1123,507,0.4514692787177204,0.7351462639924178,,0.7058334475073866,0.7647854909218545,0.26414582978367035,0.7869822485207101,0.5746753246753247,0.6705253784505788,,,
HTN,clinic4_lama_tama_ratio,internal,1259,386,0.30659253375694995,0.8087554580066895,0.014338227792583794,,,0.26414582978367035,0.7956043956043957,0.6724729064039409,0.7101024473534434,0.053807495867493504,0.03807644290324937,0.016961633337780575
HTN,clinic4_lama_tama_ratio,external,1123,507,0.4514692787177204,0.7361868900330439,,0.7078297392394409,0.7652439458037864,0.26414582978367035,0.8461538461538461,0.46915584415584416,0.6393588601959038,,,
HTN,clinic4_imata_tama_ratio,internal,1259,386,0.30659253375694995,0.8080394646404498,0.017524384587856174,,,0.26414582978367035,0.7878454878454878,0.6793169129720853,0.7124833997343958,0.058591254818674506,0.031870457782318264,0.01338362736439013
HTN,clinic4_imata_tama_ratio,external,1123,507,0.4514692787177204,0.7307308076538845,,0.7013674595879548,0.7601017200143978,0.26414582978367035,0.7593688362919132,0.5405844155844156,0.6393588601959038,,,
HTN,clinic4_aec_fpca_elbow,internal,1259,386,0.30659253375694995,0.807848403375497,0.02497759979329553,,,0.26414582978367035,0.7956043956043956,0.6552577996715928,0.6981565800290899,0.06916839366624455,0.028778470344513626,0.012206545888350887
HTN,clinic4_aec_fpca_elbow,external,1123,507,0.4514692787177204,0.7302024898178745,,0.7025178517572187,0.7619564861049689,0.26414582978367035,0.7238658777120316,0.6428571428571429,0.6794300979519146,,,
HTN,clinic4_aec_uplow_ratio,internal,1259,386,0.30659253375694995,0.8023378755891072,0.024678781401487677,,,0.26414582978367035,0.7929736929736929,0.6495106732348113,0.6933820274457724,0.05384251893318875,0.038060873464707004,0.021747669175794543
HTN,clinic4_aec_uplow_ratio,external,1123,507,0.4514692787177204,0.7279099106022182,,0.6990389059337999,0.7597735171978264,0.26414582978367035,0.777120315581854,0.538961038961039,0.6464826357969724,,,
HTN,clinic4_vat_fpca_elbow,internal,1259,386,0.30659253375694995,0.8136903064095182,0.02284871929598376,,,0.26414582978367035,0.7879120879120879,0.6804597701149425,0.7132485929298678,0.08253804050987305,0.03693931123235473,0.0211340956462501
HTN,clinic4_vat_fpca_elbow,external,1123,507,0.4514692787177204,0.7316177412331258,,0.7036415938698791,0.760461313093355,0.26414582978367035,0.7731755424063116,0.586038961038961,0.6705253784505788,,,
HTN,clinic4_vat_uplow_ratio,internal,1259,386,0.30659253375694995,0.8023282245942344,0.014188038110886385,,,0.26414582978367035,0.7929403929403929,0.657543513957307,0.69896920255486,0.04449033997418678,0.03219250178485838,0.018646009162428468
HTN,clinic4_vat_uplow_ratio,external,1123,507,0.4514692787177204,0.7314064140987219,,0.7033553244975292,0.7619513577409257,0.26414582978367035,0.7751479289940828,0.5584415584415584,0.6562778272484416,,,
HTN,clinic4_sat_fpca_elbow,internal,1259,386,0.30659253375694995,0.7998748049979577,0.01842550187530647,,,0.26414582978367035,0.7982017982017982,0.6506666666666666,0.6957882754695504,0.06149498314872623,0.027799964694193238,0.01988255276805871
HTN,clinic4_sat_fpca_elbow,external,1123,507,0.4514692787177204,0.7188484592330746,,0.6899474431398815,0.7492441045807344,0.26414582978367035,0.7514792899408284,0.547077922077922,0.6393588601959038,,,
HTN,clinic4_sat_uplow_ratio,internal,1259,386,0.30659253375694995,0.796626007818126,0.018662378683871786,,,0.26414582978367035,0.7981351981351982,0.6392052545155993,0.6878391197116297,0.05499302641519998,0.027855270834344005,0.020143125830583662
HTN,clinic4_sat_uplow_ratio,external,1123,507,0.4514692787177204,0.7218902891979816,,0.6934216833896742,0.7525128734690174,0.26414582978367035,0.7613412228796844,0.5568181818181818,0.649154051647373,,,
