feature,model,cohort,scanner,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
SAT(피하지방)_SUM,clinic4_aec_shape_all,external,iCT 256,135,0.5679694776934396,0.3687262645812925,0.6832827459079189,6233.919839302038,4702.98582040899,0.7781363405437216,1.2119293277921727e-28
SAT(피하지방)_SUM,clinic4_aec_shape_all,external,Revolution EVO,149,0.1435128804819361,-0.0800804044589413,0.29993930024630655,8263.650691220855,6585.857763596229,0.6962498173777352,6.370887500554277e-23
SAT(피하지방)_SUM,clinic4_aec_shape_all,external,SOMATOM Definition AS+,166,0.6574066398615623,0.5745207757355691,0.7232020422643501,5829.045101817958,4272.565640167508,0.8530187866922377,3.49573875487474e-48
SAT(피하지방)_SUM,clinic4_aec_shape_all,external,SOMATOM Force,123,0.6138215417157615,0.48578313575992205,0.6951529666900044,5182.620693753816,3978.1594185906747,0.8159974142740497,1.3948434690869787e-30
SAT(피하지방)_SUM,clinic4_aec_shape_all,external,LightSpeed VCT,50,0.43793537646010416,0.08283336498749079,0.6424778914537994,5243.92926923784,4355.540599815385,0.8287131763311812,1.0905454639714267e-13
SAT(피하지방)_SUM,clinic4_aec_shape_all,external,SOMATOM Definition Flash,228,0.6228621921466027,0.5478361493943984,0.6815144716198441,5273.44827534024,3848.3859902957756,0.841537976964015,2.2673274435570234e-62
SAT(피하지방)_SUM,clinic4_aec_shape_all,external,Sensation 64,48,0.6913724723404706,0.4454567855968835,0.8201126179929048,4222.302905441799,3459.519324768955,0.8352723156564057,1.560546734354703e-13
Total Fat_SUM,clinic4,internal,SOMATOM Definition AS+,182,0.44442936759221974,0.34315854901773446,0.5524671375721745,10653.853886485647,7159.407583098114,0.6694956075910194,5.0546298082835605e-25
Total Fat_SUM,clinic4,internal,Ingenuity Core 128,202,0.5131142290778787,0.35928011454853553,0.6304270364988341,5583.960078734016,4300.807970038804,0.7634493051822997,7.857732670427246e-40
Total Fat_SUM,clinic4,internal,Revolution CT,317,0.5121455181960937,0.41471674664416003,0.5890901163861235,8128.495331567917,6165.212870634815,0.7947021626034954,2.8561424726481597e-70
Total Fat_SUM,clinic4,internal,Sensation 64,380,0.3987470539777661,0.27411300746717426,0.5049874653665106,7585.269761947199,5778.385888666215,0.6903949584341018,4.21742675657952e-55
Total Fat_SUM,clinic4,external,iCT 256,135,0.4475217391946156,0.16533390251382366,0.6272594604527362,9243.673400634676,6895.940020443218,0.6792646538403886,1.3572732762290532e-19
Total Fat_SUM,clinic4,external,Revolution EVO,149,-0.005733235972303241,-0.3041093992889092,0.205248241360333,12547.104925301748,9807.136388766588,0.5629932265940245,7.81078751269074e-14
Total Fat_SUM,clinic4,external,SOMATOM Definition AS+,166,0.6638721947364621,0.589845626585393,0.7206095601151551,7710.095836832593,6020.72335973939,0.8248449244690574,1.8090717816185744e-42
Total Fat_SUM,clinic4,external,SOMATOM Force,123,0.6185483730793819,0.49023004753480404,0.7094592592498429,7735.381322835383,5918.577626918946,0.7934279457980976,7.375583218449678e-28
Total Fat_SUM,clinic4,external,LightSpeed VCT,50,0.3280125762084367,-0.18273988136963196,0.5976448212912897,7452.418014246316,6310.6339621243815,0.766463455717634,8.703365746232273e-11
Total Fat_SUM,clinic4,external,SOMATOM Definition Flash,228,0.6475828721239042,0.5610400783816472,0.7155881989792149,6949.6881853607165,5453.523613633665,0.8084042882536262,6.306102419019052e-54
Total Fat_SUM,clinic4,external,Sensation 64,48,0.5685325375112127,0.2920260551005959,0.7442769079619695,7087.540349392913,5439.184666693142,0.7697880142444854,1.610421899922572e-10
Total Fat_SUM,clinic4_aec_fpca,internal,SOMATOM Definition AS+,182,0.5643156416593116,0.467869482548161,0.6432853752323865,9434.591051951986,6547.126410068853,0.7582171867826604,2.8640138572166426e-35
Total Fat_SUM,clinic4_aec_fpca,internal,Ingenuity Core 128,202,0.5789874917954767,0.4057651470748188,0.7012522704145193,5192.497102284337,3827.1428579303047,0.7952475826386869,2.4236941727510073e-45
Total Fat_SUM,clinic4_aec_fpca,internal,Revolution CT,317,0.5377716406909874,0.44602023300315885,0.610477045445317,7912.128004961986,6191.507588036921,0.8216968768668816,6.600767637404116e-79
Total Fat_SUM,clinic4_aec_fpca,internal,Sensation 64,380,0.5100558451163322,0.41221823480875236,0.5943329718801297,6847.242553042771,5339.743322577734,0.7756568524457005,1.4923255143803614e-77
Total Fat_SUM,clinic4_aec_fpca,external,iCT 256,135,0.49742979183391656,0.2675087667217174,0.6489066564776165,8816.279820308839,6702.900273399126,0.7397609518251291,1.20867527751153e-24
Total Fat_SUM,clinic4_aec_fpca,external,Revolution EVO,149,0.08886227244109102,-0.16717040969807356,0.2696396469940631,11942.469576767173,9663.196938202986,0.6616086183883254,4.1157982464814354e-20
Total Fat_SUM,clinic4_aec_fpca,external,SOMATOM Definition AS+,166,0.6138347311536804,0.5125936244882014,0.6922753804597704,8264.073330001112,6229.010205680357,0.8318964244118697,8.468671535040791e-44
Total Fat_SUM,clinic4_aec_fpca,external,SOMATOM Force,123,0.6548189477509199,0.544651402144262,0.7332747819808673,7358.435135049928,5717.382972143132,0.8428456874992902,2.3566665530682157e-34
