feature,model,cohort,scanner,n,n_pos,auc,sensitivity,specificity,accuracy
CKD,clinic4_meanmAs_aec,internal,Siemens,688,74,0.7514085746984769,0.9054054054054054,0.5342019543973942,0.5741279069767442
CKD,clinic4_meanmAs_aec,internal,Philips,236,18,0.6760958205912334,0.6666666666666666,0.5458715596330275,0.5550847457627118
CKD,clinic4_meanmAs_aec,internal,GE,329,13,0.8607594936708862,0.7692307692307693,0.75,0.7507598784194529
CKD,clinic4_vatsat,external,GE,217,49,0.6185617103984451,0.5102040816326531,0.6726190476190477,0.6359447004608295
CKD,clinic4_vatsat,external,Siemens,654,109,0.5947310832421513,0.5871559633027523,0.5431192660550459,0.5504587155963303
CKD,clinic4_vatsat,external,Philips,228,29,0.7312424189915092,0.7241379310344828,0.5678391959798995,0.5877192982456141
CKD,clinic4_vatsat,external,Other,24,1,0.34782608695652173,0.0,0.391304347826087,0.375
CKD,clinic4_vatsat,internal,Siemens,688,74,0.7606963641165596,0.8108108108108109,0.6416938110749185,0.6598837209302325
CKD,clinic4_vatsat,internal,Philips,236,18,0.7023445463812437,0.7222222222222222,0.5871559633027523,0.597457627118644
CKD,clinic4_vatsat,internal,GE,329,13,0.8259493670886076,0.7692307692307693,0.7658227848101266,0.7659574468085106
CKD,clinic4_vatsat_aec,external,GE,217,49,0.6335034013605442,0.6326530612244898,0.5178571428571429,0.543778801843318
CKD,clinic4_vatsat_aec,external,Siemens,654,109,0.5975254608197964,0.6422018348623854,0.46788990825688076,0.4969418960244648
CKD,clinic4_vatsat_aec,external,Philips,228,29,0.7444117137411194,0.8620689655172413,0.49748743718592964,0.543859649122807
CKD,clinic4_vatsat_aec,external,Other,24,1,0.34782608695652173,1.0,0.2608695652173913,0.2916666666666667
CKD,clinic4_vatsat_aec,internal,Siemens,688,74,0.7648560612729994,0.8783783783783784,0.5781758957654723,0.6104651162790697
CKD,clinic4_vatsat_aec,internal,Philips,236,18,0.6745667686034659,0.6111111111111112,0.591743119266055,0.5932203389830508
CKD,clinic4_vatsat_aec,internal,GE,329,13,0.8351996105160662,0.7692307692307693,0.7215189873417721,0.723404255319149
DM,clinic4,external,GE,217,69,0.7122013317665491,0.6956521739130435,0.6081081081081081,0.6359447004608295
DM,clinic4,external,Siemens,654,187,0.651163989052892,0.7807486631016043,0.3875802997858672,0.5
DM,clinic4,external,Philips,228,73,0.6866106937693328,0.7945205479452054,0.47096774193548385,0.5745614035087719
DM,clinic4,external,Other,24,6,0.6481481481481481,0.8333333333333334,0.05555555555555555,0.25
DM,clinic4,internal,Siemens,688,138,0.7383399209486166,0.855072463768116,0.49454545454545457,0.5668604651162791
DM,clinic4,internal,Philips,236,46,0.6440503432494279,0.8043478260869565,0.4631578947368421,0.5296610169491526
DM,clinic4,internal,GE,329,48,0.7279062870699882,0.7916666666666666,0.6334519572953736,0.6565349544072948
DM,clinic4_meanmAs,external,GE,217,69,0.7119075597336467,0.6666666666666666,0.668918918918919,0.6682027649769585
DM,clinic4_meanmAs,external,Siemens,654,187,0.6512498711768142,0.7486631016042781,0.46466809421841543,0.5458715596330275
DM,clinic4_meanmAs,external,Philips,228,73,0.6864339372514361,0.726027397260274,0.5290322580645161,0.5921052631578947
DM,clinic4_meanmAs,external,Other,24,6,0.6481481481481481,0.6666666666666666,0.2222222222222222,0.3333333333333333
DM,clinic4_meanmAs,internal,Siemens,688,138,0.7375098814229248,0.8188405797101449,0.5454545454545454,0.6002906976744186
DM,clinic4_meanmAs,internal,Philips,236,46,0.6451945080091533,0.7608695652173914,0.5473684210526316,0.5889830508474576
DM,clinic4_meanmAs,internal,GE,329,48,0.7262010676156584,0.7083333333333334,0.6832740213523132,0.6869300911854104
DM,clinic4_meanmAs_aec,external,GE,217,69,0.7218958088523306,0.8115942028985508,0.46621621621621623,0.576036866359447
DM,clinic4_meanmAs_aec,external,Siemens,654,187,0.666181909789417,0.8449197860962567,0.32762312633832974,0.47553516819571867
DM,clinic4_meanmAs_aec,external,Philips,228,73,0.7102076889085285,0.8493150684931506,0.3935483870967742,0.5394736842105263
DM,clinic4_meanmAs_aec,external,Other,24,6,0.5555555555555556,0.8333333333333334,0.05555555555555555,0.25
DM,clinic4_meanmAs_aec,internal,Siemens,688,138,0.7522134387351779,0.8768115942028986,0.48727272727272725,0.565406976744186
DM,clinic4_meanmAs_aec,internal,Philips,236,46,0.6994279176201373,0.7608695652173914,0.6,0.6313559322033898
