feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold_youden,sensitivity_youden,specificity_youden,accuracy_youden,threshold_se90,sensitivity_se90,specificity_se90,accuracy_se90
VAT_TAMA_ratio,clinic4_aec_best,internal,692,120,0.17341040462427745,0.9043560606060606,0.8778855617926331,0.9281152535523144,0.14835430992886006,0.9083333333333333,0.7884615384615384,0.8092485549132948,0.14835430992886006,0.9083333333333333,0.7884615384615384,0.8092485549132948
VAT_TAMA_ratio,clinic4_aec_best,external,497,130,0.26156941649899396,0.8629637392580172,0.8245343774982276,0.8982421986774719,0.14835430992886006,0.8,0.7656675749318801,0.7746478873239436,0.14835430992886006,0.8,0.7656675749318801,0.7746478873239436
TotalFat_TAMA_ratio,clinic4,internal,692,110,0.15895953757225434,0.7988128709778195,0.7517238502862192,0.8431679322564032,0.14749277861390786,0.8090909090909091,0.6855670103092784,0.7052023121387283,0.07486326685267863,0.9,0.4587628865979381,0.5289017341040463
TotalFat_TAMA_ratio,clinic4,external,497,127,0.25553319919517103,0.7748669929772292,0.7278223120879529,0.821807665708297,0.14749277861390786,0.7401574803149606,0.6918918918918919,0.704225352112676,0.07486326685267863,0.8582677165354331,0.4756756756756757,0.5734406438631791
TotalFat_TAMA_ratio,clinic4_aec_best,internal,692,110,0.15895953757225434,0.8312089971883787,0.7882112751108417,0.8706557881773399,0.15101191295089805,0.7636363636363637,0.7628865979381443,0.7630057803468208,0.06387642906897142,0.9,0.5360824742268041,0.5939306358381503
TotalFat_TAMA_ratio,clinic4_aec_best,external,497,127,0.25553319919517103,0.8266652479250904,0.7852435197570512,0.8661287205366877,0.15101191295089805,0.4566929133858268,0.9297297297297298,0.8088531187122736,0.06387642906897142,0.7401574803149606,0.7189189189189189,0.7243460764587525
SAT_TotalFat_ratio,clinic4,internal,692,108,0.15606936416184972,0.7981988838153222,0.7548913290769048,0.840940572255837,0.14697968815395482,0.7685185185185185,0.714041095890411,0.7225433526011561,0.0827801359309802,0.9074074074074074,0.4965753424657534,0.5606936416184971
SAT_TotalFat_ratio,clinic4,external,497,51,0.10261569416498995,0.7927987338433131,0.7363997358444934,0.8439849996124589,0.14697968815395482,0.6862745098039216,0.7399103139013453,0.7344064386317908,0.0827801359309802,0.9019607843137255,0.57847533632287,0.6116700201207244
SAT_TotalFat_ratio,clinic4_aec_best,internal,692,108,0.15606936416184972,0.8242643328259768,0.7845441607018202,0.8628348214285715,0.1744946302822526,0.7592592592592593,0.7688356164383562,0.7673410404624278,0.08258796675506978,0.9166666666666666,0.5513698630136986,0.6083815028901735
SAT_TotalFat_ratio,clinic4_aec_best,external,497,51,0.10261569416498995,0.8087136199771389,0.7519416213515905,0.8576662420423882,0.1744946302822526,0.8235294117647058,0.7152466367713004,0.7263581488933601,0.08258796675506978,0.9607843137254902,0.47757847533632286,0.5271629778672032
SAT_TAMA_ratio,clinic4,internal,692,105,0.15173410404624277,0.7456477650685487,0.692277597889341,0.7934954266149856,0.14570229679848531,0.6952380952380952,0.6780238500851788,0.680635838150289,0.06919884200979008,0.9047619047619048,0.3390119250425894,0.42485549132947975
SAT_TAMA_ratio,clinic4,external,497,110,0.22132796780684105,0.7509396288466056,0.6986595958835099,0.8024970443772514,0.14570229679848531,0.6818181818181818,0.7183462532299741,0.710261569416499,0.06919884200979008,0.8909090909090909,0.3979328165374677,0.5070422535211268
SAT_TAMA_ratio,clinic4_aec_best,internal,692,105,0.15173410404624277,0.7872961791190071,0.7384897629975139,0.8324044564454878,0.17223863604916076,0.6666666666666666,0.7887563884156729,0.7702312138728323,0.06559744474452872,0.9142857142857143,0.43270868824531517,0.5057803468208093
SAT_TAMA_ratio,clinic4_aec_best,external,497,110,0.22132796780684105,0.7884660559079164,0.7391661962706183,0.8356321292666911,0.17223863604916076,0.35454545454545455,0.9560723514211886,0.8229376257545271,0.06559744474452872,0.6636363636363637,0.7338501291989664,0.7183098591549296
