feature,model,section,n,n_pos,prevalence,auc,threshold,tn,fp,fn,tp,sensitivity,specificity,accuracy
HTN,clinic4,baseline,3130,601,0.19201277955271565,0.6700539959432317,0.20684422406477437,1700,829,251,350,0.5823627287853578,0.6722024515618822,0.6549520766773163
HTN,clinic4_bmi,scalar,3130,601,0.19201277955271565,0.6685986648060535,0.20684422406477437,1693,836,256,345,0.5740432612312812,0.6694345591142744,0.6511182108626198
HTN,clinic4_smi,scalar,3130,601,0.19201277955271565,0.6715307096581485,0.20684422406477437,1702,827,263,338,0.562396006655574,0.6729932779754844,0.6517571884984026
HTN,clinic4_vat,scalar,3130,601,0.19201277955271565,0.6702852567455453,0.20684422406477437,1707,822,254,347,0.5773710482529119,0.67497034400949,0.6562300319488817
HTN,clinic4_sat,scalar,3130,601,0.19201277955271565,0.6698786588057732,0.20684422406477437,1695,834,256,345,0.5740432612312812,0.6702253855278766,0.6517571884984026
HTN,clinic4_imata,scalar,3130,601,0.19201277955271565,0.6692759990762727,0.20684422406477437,1691,838,256,345,0.5740432612312812,0.6686437327006722,0.6504792332268371
HTN,clinic4_nama,scalar,3130,601,0.19201277955271565,0.6730327535036176,0.20684422406477437,1707,822,262,339,0.5640599001663894,0.67497034400949,0.6536741214057508
HTN,clinic4_lama,scalar,3130,601,0.19201277955271565,0.6686404430733277,0.20684422406477437,1703,826,257,344,0.5723793677204659,0.6733886911822855,0.6539936102236422
HTN,clinic4_tama,scalar,3130,601,0.19201277955271565,0.6715774223664395,0.20684422406477437,1704,825,261,340,0.5657237936772047,0.6737841043890866,0.6530351437699681
HTN,clinic4_vat_sat_ratio,inter_var_ratio,3130,601,0.19201277955271565,0.6780468035020057,0.20684422406477437,1709,820,250,351,0.5840266222961731,0.6757611704230921,0.65814696485623
HTN,clinic4_lama_tama_ratio,inter_var_ratio,3130,601,0.19201277955271565,0.6721596864064044,0.20684422406477437,1708,821,263,338,0.562396006655574,0.675365757216291,0.6536741214057508
HTN,clinic4_imata_tama_ratio,inter_var_ratio,3130,601,0.19201277955271565,0.6701516978753612,0.20684422406477437,1703,826,254,347,0.5773710482529119,0.6733886911822855,0.6549520766773163
HTN,clinic4_aec_fpca_elbow,curve_fpca_elbow,3130,601,0.19201277955271565,0.6726840530051076,0.20684422406477437,1711,818,259,342,0.5690515806988353,0.6765519968366943,0.6559105431309904
HTN,clinic4_aec_uplow_ratio,curve_uplow_ratio,3130,601,0.19201277955271565,0.6701832782978678,0.20684422406477437,1694,835,253,348,0.5790349417637272,0.6698299723210756,0.6523961661341853
HTN,clinic4_vat_fpca_elbow,curve_fpca_elbow,3130,601,0.19201277955271565,0.6743150502424784,0.20684422406477437,1715,814,266,335,0.5574043261231281,0.6781336496638988,0.6549520766773163
HTN,clinic4_vat_uplow_ratio,curve_uplow_ratio,3130,601,0.19201277955271565,0.6704174997647916,0.20684422406477437,1697,832,251,350,0.5823627287853578,0.6710162119414789,0.6539936102236422
HTN,clinic4_sat_fpca_elbow,curve_fpca_elbow,3130,601,0.19201277955271565,0.6685647816444058,0.20684422406477437,1686,843,255,346,0.5757071547420965,0.6666666666666666,0.6492012779552716
HTN,clinic4_sat_uplow_ratio,curve_uplow_ratio,3130,601,0.19201277955271565,0.6694819297480341,0.20684422406477437,1693,836,254,347,0.5773710482529119,0.6694345591142744,0.6517571884984026
HTN,clinic4_imata_fpca_elbow,curve_fpca_elbow,3130,601,0.19201277955271565,0.6734215874557299,0.20684422406477437,1709,820,265,336,0.5590682196339434,0.6757611704230921,0.6533546325878594
HTN,clinic4_imata_uplow_ratio,curve_uplow_ratio,3130,601,0.19201277955271565,0.670029981663617,0.20684422406477437,1697,832,259,342,0.5690515806988353,0.6710162119414789,0.6514376996805111
HTN,clinic4_nama_fpca_elbow,curve_fpca_elbow,3130,601,0.19201277955271565,0.671906385100883,0.20684422406477437,1698,831,260,341,0.56738768718802,0.6714116251482799,0.6514376996805111
HTN,clinic4_nama_uplow_ratio,curve_uplow_ratio,3130,601,0.19201277955271565,0.670048403576746,0.20684422406477437,1696,833,255,346,0.5757071547420965,0.6706207987346777,0.6523961661341853
HTN,clinic4_lama_fpca_elbow,curve_fpca_elbow,3130,601,0.19201277955271565,0.6725603630169568,0.20684422406477437,1707,822,264,337,0.5607321131447587,0.67497034400949,0.6530351437699681
HTN,clinic4_lama_uplow_ratio,curve_uplow_ratio,3130,601,0.19201277955271565,0.669116123187333,0.20684422406477437,1695,834,254,347,0.5773710482529119,0.6702253855278766,0.6523961661341853
HTN,clinic4_tama_fpca_elbow,curve_fpca_elbow,3130,601,0.19201277955271565,0.6703707870565005,0.20684422406477437,1709,820,255,346,0.5757071547420965,0.6757611704230921,0.6565495207667732
HTN,clinic4_tama_uplow_ratio,curve_uplow_ratio,3130,601,0.19201277955271565,0.6701957788817767,0.20684422406477437,1686,843,257,344,0.5723793677204659,0.6666666666666666,0.6485623003194888
HTN,clinic4_aec_slope,curve_slope,3130,601,0.19201277955271565,0.670322100571803,0.20684422406477437,1695,834,255,346,0.5757071547420965,0.6702253855278766,0.6520766773162939
HTN,clinic4_vat_slope,curve_slope,3130,601,0.19201277955271565,0.6708267294064394,0.20684422406477437,1703,826,257,344,0.5723793677204659,0.6733886911822855,0.6539936102236422
HTN,clinic4_sat_slope,curve_slope,3130,601,0.19201277955271565,0.6706254042129598,0.20684422406477437,1694,835,257,344,0.5723793677204659,0.6698299723210756,0.6511182108626198
HTN,clinic4_imata_slope,curve_slope,3130,601,0.19201277955271565,0.6695615387297696,0.20684422406477437,1691,838,255,346,0.5757071547420965,0.6686437327006722,0.6507987220447284
HTN,clinic4_nama_slope,curve_slope,3130,601,0.19201277955271565,0.6706069822998311,0.20684422406477437,1704,825,258,343,0.5707154742096506,0.6737841043890866,0.6539936102236422
HTN,clinic4_lama_slope,curve_slope,3130,601,0.19201277955271565,0.6711629293210407,0.20684422406477437,1716,813,259,342,0.5690515806988353,0.6785290628706999,0.6575079872204472
HTN,clinic4_tama_slope,curve_slope,3130,601,0.19201277955271565,0.6697806279109091,0.20684422406477437,1690,839,257,344,0.5723793677204659,0.6682483194938711,0.6498402555910543
DL,clinic4,baseline,3130,616,0.19680511182108626,0.5475047526061846,0.19059199871379848,1211,1303,250,366,0.5941558441558441,0.4817024661893397,0.5038338658146965
DL,clinic4_bmi,scalar,3130,616,0.19680511182108626,0.5478489291138455,0.19059199871379848,1147,1367,243,373,0.6055194805194806,0.45624502784407317,0.48562300319488816
DL,clinic4_smi,scalar,3130,616,0.19680511182108626,0.5694855562098998,0.19059199871379848,1297,1217,259,357,0.5795454545454546,0.5159108989657916,0.5284345047923322
DL,clinic4_vat,scalar,3130,616,0.19680511182108626,0.5486141245389455,0.19059199871379848,1249,1265,258,358,0.5811688311688312,0.4968178202068417,0.5134185303514377
DL,clinic4_sat,scalar,3130,616,0.19680511182108626,0.5531872165225388,0.19059199871379848,1219,1295,258,358,0.5811688311688312,0.48488464598249803,0.5038338658146965
DL,clinic4_imata,scalar,3130,616,0.19680511182108626,0.557224348841294,0.19059199871379848,1194,1320,248,368,0.5974025974025974,0.47494033412887826,0.49904153354632586
DL,clinic4_nama,scalar,3130,616,0.19680511182108626,0.5674430978726921,0.19059199871379848,1315,1199,253,363,0.5892857142857143,0.5230708035003978,0.5361022364217253
DL,clinic4_lama,scalar,3130,616,0.19680511182108626,0.551743999834692,0.19059199871379848,1210,1304,254,362,0.5876623376623377,0.4813046937151949,0.5022364217252396
DL,clinic4_tama,scalar,3130,616,0.19680511182108626,0.5694016107202264,0.19059199871379848,1324,1190,263,353,0.573051948051948,0.5266507557677009,0.5357827476038338
DL,clinic4_vat_sat_ratio,inter_var_ratio,3130,616,0.19680511182108626,0.5743589147527095,0.19059199871379848,1318,1196,259,357,0.5795454545454546,0.5242641209228321,0.5351437699680511
DL,clinic4_lama_tama_ratio,inter_var_ratio,3130,616,0.19680511182108626,0.5409008255070308,0.19059199871379848,1195,1319,253,363,0.5892857142857143,0.47533810660302306,0.49776357827476037
DL,clinic4_imata_tama_ratio,inter_var_ratio,3130,616,0.19680511182108626,0.5471960914980009,0.19059199871379848,1207,1307,253,363,0.5892857142857143,0.4801113762927605,0.5015974440894568
DL,clinic4_aec_fpca_elbow,curve_fpca_elbow,3130,616,0.19680511182108626,0.5529515234169171,0.19059199871379848,1269,1245,276,340,0.551948051948052,0.5047732696897375,0.5140575079872205
DL,clinic4_aec_uplow_ratio,curve_uplow_ratio,3130,616,0.19680511182108626,0.5463546993976589,0.19059199871379848,1211,1303,259,357,0.5795454545454546,0.4817024661893397,0.5009584664536741
