feature,model,section,n,auc_baseline,auc_extended,auc_diff,z,p_value,q_value_bh
HTN,clinic4_bmi,scalar,3130,0.6700539959432316,0.6685986648060535,-0.0014553311371781064,-3.004675209163289,0.002658645830579252,0.07494870056113191
HTN,clinic4_smi,scalar,3130,0.6700539959432316,0.6715307096581485,0.0014767137149169773,0.911124187313206,0.3622299435576648,0.6871469037227237
HTN,clinic4_vat,scalar,3130,0.6700539959432316,0.6702852567455454,0.0002312608023138374,0.26534986153003853,0.7907399567406842,0.9518053628538443
HTN,clinic4_sat,scalar,3130,0.6700539959432316,0.6698786588057731,-0.00017533713745843116,-0.11627000048580029,0.9074385604735812,0.9844766692601569
HTN,clinic4_imata,scalar,3130,0.6700539959432316,0.6692759990762727,-0.0007779968669588966,-1.2794840691695748,0.20072664604959323,0.5023895200588309
HTN,clinic4_nama,scalar,3130,0.6700539959432316,0.6730327535036176,0.002978757560386014,1.3343985547391162,0.1820732734512689,0.4855287292033837
HTN,clinic4_lama,scalar,3130,0.6700539959432316,0.6686404430733278,-0.0014135528699037447,-1.8755384454652422,0.06071868559761274,0.2989227598651704
HTN,clinic4_tama,scalar,3130,0.6700539959432316,0.6715774223664395,0.0015234264232079076,0.9254543234546752,0.354729632679329,0.6810808947443117
HTN,clinic4_vat_sat_ratio,inter_var_ratio,3130,0.6700539959432316,0.6780468035020057,0.007992807558774184,2.5740440465760326,0.010051747576544834,0.10161706683783826
HTN,clinic4_lama_tama_ratio,inter_var_ratio,3130,0.6700539959432316,0.6721596864064046,0.0021056904631729934,0.9846791659243533,0.3247816895709815,0.649563379141963
HTN,clinic4_imata_tama_ratio,inter_var_ratio,3130,0.6700539959432316,0.6701516978753613,9.770193212976785e-05,0.4743315144293883,0.6352635218550602,0.8774863035695796
HTN,clinic4_aec_fpca_elbow,curve_fpca_elbow,3130,0.6700539959432316,0.6726840530051075,0.0026300570618759123,1.0006029138562424,0.31701882081527033,0.6407117220687569
HTN,clinic4_aec_uplow_ratio,curve_uplow_ratio,3130,0.6700539959432316,0.6701832782978678,0.00012928235463627313,0.22770204292521726,0.81987788413306,0.9657457285493712
HTN,clinic4_vat_fpca_elbow,curve_fpca_elbow,3130,0.6700539959432316,0.6743150502424784,0.004261054299246836,1.3218073812798048,0.1862322997982967,0.48981645974346527
HTN,clinic4_vat_uplow_ratio,curve_uplow_ratio,3130,0.6700539959432316,0.6704174997647917,0.0003635038215601405,0.5213351398548867,0.6021333258452354,0.8576012728599646
HTN,clinic4_sat_fpca_elbow,curve_fpca_elbow,3130,0.6700539959432316,0.6685647816444058,-0.0014892142988257584,-1.595372837695771,0.11062888633644043,0.37929903886779576
HTN,clinic4_sat_uplow_ratio,curve_uplow_ratio,3130,0.6700539959432316,0.6694819297480343,-0.0005720661951972295,-1.6850283211314738,0.09198310750434535,0.3396299354006598
HTN,clinic4_imata_fpca_elbow,curve_fpca_elbow,3130,0.6700539959432316,0.6734215874557299,0.0033675915124983247,1.050836622240411,0.2933336326721463,0.6328096345286751
HTN,clinic4_imata_uplow_ratio,curve_uplow_ratio,3130,0.6700539959432316,0.6700299816636172,-2.4014279614403833e-05,-0.02516859531711371,0.979920486323823,0.9932918551178367
HTN,clinic4_nama_fpca_elbow,curve_fpca_elbow,3130,0.6700539959432316,0.671906385100883,0.0018523891576514018,0.6137342411603754,0.5393909575554673,0.7966389526973054
HTN,clinic4_nama_uplow_ratio,curve_uplow_ratio,3130,0.6700539959432316,0.670048403576746,-5.5923664855628274e-06,-0.008407511864181386,0.9932918551178367,0.9932918551178367
HTN,clinic4_lama_fpca_elbow,curve_fpca_elbow,3130,0.6700539959432316,0.6725603630169568,0.002506367073725202,1.0170132524849311,0.30914712504544595,0.6407117220687569
HTN,clinic4_lama_uplow_ratio,curve_uplow_ratio,3130,0.6700539959432316,0.6691161231873332,-0.0009378727558984057,-1.8903713000765723,0.05870831901983179,0.2989227598651704
HTN,clinic4_tama_fpca_elbow,curve_fpca_elbow,3130,0.6700539959432316,0.6703707870565007,0.00031679111326909926,0.14105920525521198,0.8878231708317116,0.9844766692601569
HTN,clinic4_tama_uplow_ratio,curve_uplow_ratio,3130,0.6700539959432316,0.6701957788817767,0.00014178293854516522,0.12049526457228356,0.9040908306396707,0.9844766692601569
HTN,clinic4_aec_slope,curve_slope,3130,0.6700539959432316,0.6703221005718031,0.0002681046285715194,0.27302003222808663,0.784837816863092,0.9518053628538443
HTN,clinic4_vat_slope,curve_slope,3130,0.6700539959432316,0.6708267294064394,0.0007727334632078309,0.8603633189623703,0.38958879912197286,0.6990752283310168
HTN,clinic4_sat_slope,curve_slope,3130,0.6700539959432316,0.6706254042129599,0.0005714082697283462,0.3413752296106846,0.732821120231229,0.9443064099623891
HTN,clinic4_imata_slope,curve_slope,3130,0.6700539959432316,0.6695615387297696,-0.0004924572134619165,-0.9660549158219788,0.3340167024872802,0.6544000701791612
HTN,clinic4_nama_slope,curve_slope,3130,0.6700539959432316,0.6706069822998312,0.0005529863565996163,0.29248583520428395,0.7699151884967442,0.9518053628538443
HTN,clinic4_lama_slope,curve_slope,3130,0.6700539959432316,0.6711629293210407,0.0011089333778091515,0.6522328426982469,0.5142509759869877,0.7940557852863649
HTN,clinic4_tama_slope,curve_slope,3130,0.6700539959432316,0.669780627910909,-0.0002733680323225851,-0.23005650065861746,0.8180478657593574,0.9657457285493712
DL,clinic4_bmi,scalar,3130,0.5475047526061846,0.5478489291138455,0.00034417650766094265,0.3224171228503871,0.7471367140957561,0.9500016497111601
DL,clinic4_smi,scalar,3130,0.5475047526061846,0.5694855562098998,0.021980803603715238,2.1442818465563116,0.032010310470740135,0.1980593595164133
DL,clinic4_vat,scalar,3130,0.5475047526061846,0.5486141245389455,0.0011093719327609497,0.35672340847346323,0.7212988795431339,0.9380375880137763
DL,clinic4_sat,scalar,3130,0.5475047526061846,0.5531872165225387,0.005682463916354075,0.8393708119673948,0.401261257680367,0.7068088208681693
DL,clinic4_imata,scalar,3130,0.5475047526061846,0.5572243488412939,0.009719596235109318,1.2820097909801147,0.19983921162173013,0.5023895200588309
DL,clinic4_nama,scalar,3130,0.5475047526061846,0.5674430978726921,0.019938345266507507,1.9827035407666322,0.04740055386072877,0.2600258954645692
DL,clinic4_lama,scalar,3130,0.5475047526061846,0.5517439998346919,0.004239247228507326,0.6282389768209483,0.5298474005206424,0.7940557852863649
DL,clinic4_tama,scalar,3130,0.5475047526061846,0.5694016107202264,0.02189685811404185,2.165198858774741,0.03037245970918642,0.1980593595164133
DL,clinic4_vat_sat_ratio,inter_var_ratio,3130,0.5475047526061846,0.5743589147527095,0.026854162146524918,3.636862975838671,0.0002759786452275971,0.013246974970924662
DL,clinic4_lama_tama_ratio,inter_var_ratio,3130,0.5475047526061846,0.5409008255070308,-0.006603927099153806,-2.698317906985407,0.006969085283983828,0.08362902340780592
DL,clinic4_imata_tama_ratio,inter_var_ratio,3130,0.5475047526061846,0.5471960914980007,-0.00030866110818383863,-0.1120144324345202,0.910811963162709,0.9844766692601569
DL,clinic4_aec_fpca_elbow,curve_fpca_elbow,3130,0.5475047526061846,0.5529515234169172,0.005446770810732637,0.6607268028507127,0.5087875317772407,0.7940557852863649
DL,clinic4_aec_uplow_ratio,curve_uplow_ratio,3130,0.5475047526061846,0.5463546993976588,-0.001150053208525792,-0.4422888991994598,0.658280162790886,0.8963814982684404
DL,clinic4_vat_fpca_elbow,curve_fpca_elbow,3130,0.5475047526061846,0.5783708634245627,0.03086611081837809,2.9963300875284697,0.002732504707957934,0.07494870056113191
DL,clinic4_vat_uplow_ratio,curve_uplow_ratio,3130,0.5475047526061846,0.547576429139675,7.16765334903835e-05,0.013536545595235403,0.989199729100758,0.9932918551178367
DL,clinic4_sat_fpca_elbow,curve_fpca_elbow,3130,0.5475047526061846,0.538463177633822,-0.009041574972362576,-2.505523824181743,0.012227016078776827,0.11707872147621856
