model,disease,term,coefficient,std_err,p_value,odds_ratio
clinic4_lama_fpca,HTN,lama_fpca_pc2,-0.039353,0.109981,0.720478,0.961411
clinic4_lama_fpca,DM,intercept,-0.422077,0.206572,0.041029,0.655684
clinic4_lama_fpca,DM,sex_M,0.935041,0.375123,0.01268,2.547318
clinic4_lama_fpca,DM,age,0.45607,0.14376,0.001512,1.577861
clinic4_lama_fpca,DM,height,-0.637535,0.204402,0.001814,0.528594
clinic4_lama_fpca,DM,weight,0.539215,0.195853,0.005902,1.71466
clinic4_lama_fpca,DM,lama_fpca_pc1,0.431887,0.174501,0.013324,1.540161
clinic4_lama_fpca,DM,lama_fpca_pc2,-0.076076,0.129418,0.556645,0.926746
clinic4_lama_fpca,CKD,intercept,-0.755586,0.379694,0.046592,0.469735
clinic4_lama_fpca,CKD,sex_M,1.402496,0.596893,0.01879,4.065336
clinic4_lama_fpca,CKD,age,0.519704,0.229986,0.023839,1.68153
clinic4_lama_fpca,CKD,height,-0.030845,0.315338,0.922078,0.969626
clinic4_lama_fpca,CKD,weight,0.094462,0.273462,0.729771,1.099068
clinic4_lama_fpca,CKD,lama_fpca_pc1,0.654458,0.251544,0.009275,1.924099
clinic4_lama_fpca,CKD,lama_fpca_pc2,0.217359,0.223939,0.331738,1.242791
clinic4_tama_uplow_ratio,HTN,intercept,-0.620756,0.161067,0.000116,0.537538
clinic4_tama_uplow_ratio,HTN,sex_M,0.896224,0.319211,0.004991,2.450334
clinic4_tama_uplow_ratio,HTN,age,1.048383,0.129718,0.0,2.853033
clinic4_tama_uplow_ratio,HTN,height,-0.361261,0.160968,0.024813,0.696797
clinic4_tama_uplow_ratio,HTN,weight,0.568725,0.129781,1.2e-05,1.766013
clinic4_tama_uplow_ratio,HTN,tama_uplow_ratio,0.200307,0.125817,0.111373,1.221778
clinic4_tama_uplow_ratio,DM,intercept,-0.534276,0.203477,0.008646,0.586093
clinic4_tama_uplow_ratio,DM,sex_M,0.799444,0.409197,0.050738,2.224303
clinic4_tama_uplow_ratio,DM,age,0.640329,0.144535,9e-06,1.897104
clinic4_tama_uplow_ratio,DM,height,-0.715566,0.198682,0.000316,0.488915
clinic4_tama_uplow_ratio,DM,weight,0.755598,0.15914,2e-06,2.128885
clinic4_tama_uplow_ratio,DM,tama_uplow_ratio,0.139667,0.15593,0.370412,1.149891
clinic4_tama_uplow_ratio,CKD,intercept,-1.002027,0.333985,0.002698,0.367135
clinic4_tama_uplow_ratio,CKD,sex_M,0.998141,0.590388,0.090903,2.713233
clinic4_tama_uplow_ratio,CKD,age,0.814996,0.227921,0.000349,2.259167
clinic4_tama_uplow_ratio,CKD,height,-0.026795,0.29806,0.928368,0.973561
clinic4_tama_uplow_ratio,CKD,weight,0.425252,0.242303,0.079252,1.529976
clinic4_tama_uplow_ratio,CKD,tama_uplow_ratio,0.090084,0.224373,0.688058,1.094266
clinic4_tama_fpca,HTN,intercept,-0.733062,0.172125,2.1e-05,0.480435
