rank,original_feature_index,feature
202,1938,smooth_norm__norm_curv_097_112_min
203,2855,smooth_norm__ratio_tail_120_128_over_troughcore_070_085
204,1109,smooth_norm__log_slope_103_114_sd
205,10574,smooth_visual__visual_mid_flatness__early_049_064__mid_069_084__tail_109_120
206,12910,smooth_visual__visual_norm_curv_100_113_sd
207,1933,smooth_norm__norm_curv_094_109_sd
208,1621,smooth_norm__norm_curv_097_104_sd
209,2073,smooth_norm__norm_curv_088_111_sd
210,13194,smooth_visual__visual_norm_curv_088_111_sd
211,12297,smooth_visual__visual_norm_abs_slope_082_105_mean
212,493,smooth_norm__norm_slope_103_106_sd
213,1459,smooth_norm__norm_curv_097_100_max
214,10984,smooth_visual__visual_norm_slope_109_118_max
215,11848,smooth_visual__visual_norm_abs_slope_088_097_max
216,12906,smooth_visual__visual_norm_curv_097_110_sd
217,10782,smooth_visual__visual_norm_slope_082_087_sd
218,12455,smooth_visual__visual_norm_abs_slope_094_125_min
219,12590,smooth_visual__visual_norm_curv_100_105_sd
220,2863,smooth_norm__ratio_tail_120_128_over_recover_075_090
221,1929,smooth_norm__norm_curv_091_106_sd
222,1257,smooth_norm__log_slope_094_117_sd
223,1625,smooth_norm__norm_curv_100_107_sd
224,12429,smooth_visual__visual_norm_abs_slope_076_107_mean
225,2993,smooth_norm__slope_pos_fraction_tail_114_127
226,12902,smooth_visual__visual_norm_curv_094_107_sd
227,13050,smooth_visual__visual_norm_curv_091_108_sd
228,1789,smooth_norm__norm_curv_103_114_sd
229,13202,smooth_visual__visual_norm_curv_094_117_sd
230,2081,smooth_norm__norm_curv_094_117_sd
231,12754,smooth_visual__visual_norm_curv_100_109_sd
232,10502,smooth_visual__visual_mid_flatness__early_049_064__mid_061_076__tail_109_120
233,11122,smooth_visual__visual_norm_slope_094_107_sd
234,10448,smooth_visual__visual_mid_flatness__early_049_064__mid_053_084__tail_097_124
235,12432,smooth_visual__visual_norm_abs_slope_076_107_max
236,2845,smooth_norm__ratio_tail_120_128_over_trough_060_095
237,12596,smooth_visual__visual_norm_curv_103_108_max
238,13038,smooth_visual__visual_norm_curv_082_099_sd
239,9664,smooth_visual__visual_mid_flatness__early_041_056__mid_057_080__tail_113_124
240,1945,smooth_norm__norm_curv_103_118_sd
241,8896,smooth_visual__visual_mid_flatness__early_033_064__mid_061_092__tail_113_124
242,1921,smooth_norm__norm_curv_085_100_sd
243,2867,smooth_norm__ratio_tail_114_128_over_recover_081_113
244,1785,smooth_norm__norm_curv_100_111_sd
245,1253,smooth_norm__log_slope_088_111_sd
246,1942,smooth_norm__norm_curv_100_115_min
247,10974,smooth_visual__visual_norm_slope_103_112_sd
248,12758,smooth_visual__visual_norm_curv_103_112_sd
249,12015,smooth_visual__visual_norm_abs_slope_094_107_min
250,9280,smooth_visual__visual_mid_flatness__early_037_060__mid_061_076__tail_113_124
251,581,smooth_norm__norm_slope_109_116_sd
252,13046,smooth_visual__visual_norm_curv_088_105_sd
253,11703,smooth_visual__visual_norm_abs_slope_103_108_min
254,659,smooth_norm__norm_slope_106_117_sd
