feature,model,cohort,n,r2,r2_ci_lower,r2_ci_upper,rmse,mae,pearson_r,p_value
VAT(내장지방)_SUM,clinic4_aec_shape_all,internal,1079,0.6123613180339451,0.5727458437606605,0.6482362524704889,3234.5130331321398,2365.9020341574,0.7826025133581789,6.256771895125679e-224
VAT(내장지방)_SUM,clinic4_aec_shape_all,external,922,0.49102520454547294,0.4456196734312591,0.5304224396275828,3815.8969049674074,2947.5181811551056,0.7370937175771941,9.531224705203142e-159
SAT(피하지방)_SUM,clinic4,internal,1079,0.5203569470327835,0.47222345327304205,0.5687649892189861,5615.111090311756,4122.350382989672,0.7213777350614514,4.870127168481355e-174
SAT(피하지방)_SUM,clinic4,external,922,0.5648373333709712,0.5075075970659472,0.6125668397860842,5895.332819371088,4391.22663520575,0.7588196357012149,1.654014523331995e-173
SAT(피하지방)_SUM,clinic4_aec_sd,internal,1079,0.5205254011037002,0.47106700984880107,0.5694210385413307,5614.12497013214,4117.700723815898,0.7215048543269256,3.9628651282425923e-174
SAT(피하지방)_SUM,clinic4_aec_sd,external,922,0.5664854770523107,0.5092008292017611,0.6129889221564299,5884.158178571071,4396.614837673909,0.756970110563791,3.432163217933492e-172
SAT(피하지방)_SUM,clinic4_aec_skew,internal,1079,0.5245460384436943,0.4750785674053312,0.5720928831054307,5590.536775726523,4107.262399696206,0.7242802944329192,4.272770531968248e-176
SAT(피하지방)_SUM,clinic4_aec_skew,external,922,0.5623410668747736,0.5053555369277082,0.6096875638086691,5912.217628859918,4397.615543081883,0.762289208965752,5.1935684437197435e-176
SAT(피하지방)_SUM,clinic4_aec_shape_no_fpca,internal,1079,0.5264650612486023,0.4780932469798068,0.5724188362865881,5579.243132420644,4110.798019379701,0.7256161239068004,4.733786593987861e-177
SAT(피하지방)_SUM,clinic4_aec_shape_no_fpca,external,922,0.5695573452995346,0.5155320979984273,0.6156576551033502,5863.273649911803,4356.738659201504,0.76870179783699,9.423385137635225e-181
SAT(피하지방)_SUM,clinic4_aec_fpca,internal,1079,0.5621939817020274,0.5188176717603918,0.6026338876755268,5364.634486983981,4060.542459509906,0.7498206977136421,2.0934082756185155e-195
SAT(피하지방)_SUM,clinic4_aec_fpca,external,922,0.5363801155133041,0.4841639428385704,0.583050584474628,6085.0414459463755,4570.118351614945,0.7863744376603083,1.1798782660494445e-194
SAT(피하지방)_SUM,clinic4_aec_shape_all,internal,1079,0.5650974039289781,0.521886414685935,0.6066039717288184,5346.816425945189,4031.8237521652377,0.7517827206021483,5.50143818996907e-197
SAT(피하지방)_SUM,clinic4_aec_shape_all,external,922,0.534128100841943,0.4829430735885402,0.5797275347305688,6099.802462667279,4575.063809427881,0.7862176107268032,1.588509504737736e-194
Total Fat_SUM,clinic4,internal,1079,0.49584344057008156,0.44498466217681665,0.5440179378812683,8060.456540630121,5873.907803231239,0.7041936268184548,2.229111039127064e-162
Total Fat_SUM,clinic4,external,922,0.4929649433546984,0.4275522927788272,0.5490924529451415,8778.949803955165,6659.691169271719,0.7143842729398812,8.223934241318106e-145
Total Fat_SUM,clinic4_aec_sd,internal,1079,0.5025026009067661,0.4510087538982802,0.5522724917402246,8007.046249251925,5819.939795812238,0.7089175899842555,1.689105720968795e-165
Total Fat_SUM,clinic4_aec_sd,external,922,0.5010980339332736,0.43811108999470494,0.5562029928324104,8708.255839722762,6628.498477785014,0.7106528028483827,1.1888871809699036e-142
Total Fat_SUM,clinic4_aec_skew,internal,1079,0.5048084755888476,0.4542059138926925,0.5534520938196603,7988.4685752492915,5838.4491964769595,0.7105462189014913,1.3716900131630726e-166
Total Fat_SUM,clinic4_aec_skew,external,922,0.48743802888511734,0.4227422145833923,0.5426715469332958,8826.667408398143,6729.263505115904,0.7202293206992386,2.8890246540574807e-148
Total Fat_SUM,clinic4_aec_shape_no_fpca,internal,1079,0.5206710996174136,0.47226410396236135,0.565541171972361,7859.4786251750265,5755.360741549205,0.7216241277275042,3.2655679646552814e-174
Total Fat_SUM,clinic4_aec_shape_no_fpca,external,922,0.5205228688463341,0.46159238676436737,0.5713764346216976,8537.044025149664,6500.83733525819,0.7416293018674839,1.0492723741762012e-161
Total Fat_SUM,clinic4_aec_fpca,internal,1079,0.5726527800904727,0.5298222851458967,0.6121355579727017,7421.084406627573,5515.036793101251,0.756770189682338,4.5239457065950764e-201
