curve_prep,channels,kernel_sizes,dropout,embed_dim,augment_std,lr,weight_decay,batch_size,internal_oof_auc,delta_vs_clinic4
raw,"(128, 256, 128)","(5, 3, 3)",0.4,8,0.1,0.0005,0.001,64,0.7003659805929556,-0.018196202531645556
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.2,64,0.02,0.002,0.0001,64,0.7096456031964543,-0.008916579928146873
raw,"(128, 256, 128)","(5, 3, 3)",0.2,8,0.1,0.0003,1e-05,128,0.6868809387905853,-0.03168124433401587
patient_zscore,"(64, 128, 64)","(11, 9, 7)",0.1,16,0.1,0.002,0.0001,32,0.7071735553839439,-0.011388627740657298
raw,"(64, 128, 64)","(7, 5, 3)",0.6,64,0.05,0.0005,0.0001,32,0.7026995265755631,-0.015862656549038068
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.2,16,0.1,0.0003,1e-05,32,0.7278145250646342,0.009252341940032993
raw,"(64, 128, 64)","(15, 11, 7)",0.1,32,0.1,0.003,1e-05,32,0.6875482657892086,-0.031013917335392605
raw,"(32, 64, 32)","(7, 5, 3)",0.1,64,0.02,0.003,1e-05,64,0.6983514085216397,-0.0202107746029615
patient_zscore,"(16, 32, 16)","(7, 5, 3)",0.2,8,0.05,0.0003,0.001,64,0.6972895611590505,-0.021272621965550687
patient_zscore,"(32, 64, 32)","(15, 11, 7)",0.4,32,0.1,0.001,1e-05,64,0.7008822146862305,-0.01767996843837072
patient_zscore,"(32, 64, 32)","(7, 5, 3)",0.6,64,0.1,0.003,0.001,32,0.7074799382197898,-0.011082244904811356
raw,"(32, 64, 32)","(5, 3, 3)",0.2,32,0.02,0.003,1e-05,32,0.6986284121814459,-0.019933770943155293
raw,"(128, 256, 128)","(7, 5, 3)",0.2,64,0.02,0.0005,0.0001,32,0.6696605446059832,-0.04890163851861795
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.6,64,0.1,0.0005,0.001,64,0.7184887351845012,-7.344794010000211e-05
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.1,32,0.05,0.0003,1e-05,128,0.7214434408890977,0.0028812577644965476
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.6,64,0.02,0.0003,0.001,64,0.6906288822482624,-0.02793330087633883
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.1,8,0.02,0.001,0.001,128,0.7175486015512205,-0.0010135815733807174
patient_zscore,"(64, 128, 64)","(11, 9, 7)",0.2,8,0.0,0.002,0.0001,32,0.7133725615283887,-0.005189621596212501
patient_zscore,"(128, 256, 128)","(5, 3, 3)",0.4,64,0.0,0.003,0.001,32,0.71336836450324,-0.005193818621361146
raw,"(16, 32, 16)","(5, 3, 3)",0.4,64,0.1,0.0005,0.001,128,0.6968446764933016,-0.021717506631299566
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.1,64,0.02,0.003,0.001,128,0.7092217036564483,-0.009340479468152862
raw,"(128, 256, 128)","(7, 5, 3)",0.4,16,0.0,0.002,0.0001,64,0.6982632709935197,-0.02029891213108148
raw,"(32, 64, 32)","(11, 9, 7)",0.1,16,0.1,0.002,1e-05,128,0.7014635026693079,-0.01709868045529328
raw,"(128, 256, 128)","(15, 11, 7)",0.2,16,0.05,0.001,0.001,128,0.7002022966121613,-0.018359886512439916
raw,"(128, 256, 128)","(7, 5, 3)",0.4,64,0.05,0.002,0.001,32,0.7095196924419972,-0.009042490682603987
patient_zscore,"(32, 64, 32)","(15, 11, 7)",0.4,64,0.0,0.0003,1e-05,64,0.7187615418191586,0.00019935869455744992
raw,"(64, 128, 64)","(15, 11, 7)",0.1,16,0.0,0.0005,0.001,32,0.6891431353456671,-0.029419047778934115
raw,"(64, 128, 64)","(5, 3, 3)",0.2,16,0.0,0.001,1e-05,128,0.7045588087163819,-0.014003374408219305
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.6,8,0.02,0.0003,0.001,128,0.6946496323405971,-0.023912550784004116
patient_zscore,"(16, 32, 16)","(5, 3, 3)",0.1,8,0.0,0.003,0.0001,128,0.7150052043111843,-0.003556978813416878
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.1,16,0.1,0.0005,0.0001,128,0.7139181747977035,-0.004644008326897708
raw,"(128, 256, 128)","(7, 5, 3)",0.1,16,0.02,0.0003,0.001,64,0.7102751569687406,-0.008287026155860633
raw,"(16, 32, 16)","(15, 11, 7)",0.6,8,0.05,0.003,1e-05,64,0.6872544740288082,-0.031307709095792946
raw,"(16, 32, 16)","(15, 11, 7)",0.6,32,0.1,0.001,0.0001,32,0.7052974851425309,-0.013264697982070306
raw,"(32, 64, 32)","(11, 9, 7)",0.1,16,0.02,0.002,1e-05,32,0.7094357519390255,-0.009126431185575656
patient_zscore,"(64, 128, 64)","(11, 9, 7)",0.2,32,0.05,0.0005,1e-05,128,0.6897559010173587,-0.028806282107242454
raw,"(64, 128, 64)","(15, 11, 7)",0.4,64,0.05,0.003,1e-05,64,0.7097127555988316,-0.00884942752576956
patient_zscore,"(128, 256, 128)","(15, 11, 7)",0.6,8,0.1,0.002,1e-05,128,0.7085501796326764,-0.01001200349192477
patient_zscore,"(32, 64, 32)","(15, 11, 7)",0.1,32,0.02,0.003,0.001,128,0.716646241144277,-0.0019159419803241873
patient_zscore,"(64, 128, 64)","(11, 9, 7)",0.2,32,0.05,0.003,1e-05,64,0.6949476211261458,-0.023614561998455352
raw,"(64, 128, 64)","(15, 11, 7)",0.4,64,0.02,0.002,0.001,32,0.7059606151160058,-0.012601568008595354
raw,"(32, 64, 32)","(15, 11, 7)",0.2,32,0.05,0.003,1e-05,128,0.7034088238256724,-0.015153359298928804
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.4,32,0.05,0.001,1e-05,128,0.7057255817076856,-0.01283660141691556
raw,"(128, 256, 128)","(11, 9, 7)",0.6,8,0.0,0.003,0.001,32,0.7037068126112211,-0.01485537051338004
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.6,32,0.02,0.0003,0.0001,128,0.7137377027163146,-0.004824480408286536
raw,"(16, 32, 16)","(15, 11, 7)",0.4,16,0.0,0.003,1e-05,32,0.6928029412752241,-0.025759241849377057
patient_zscore,"(16, 32, 16)","(7, 5, 3)",0.1,64,0.0,0.002,0.001,128,0.6959507101366551,-0.02261147298794608
raw,"(128, 256, 128)","(11, 9, 7)",0.4,8,0.0,0.0003,0.0001,128,0.6725229157573113,-0.046039267367289916
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.1,16,0.05,0.0003,0.0001,128,0.7127010375046168,-0.005861145619984409
raw,"(128, 256, 128)","(7, 5, 3)",0.2,64,0.05,0.0005,1e-05,32,0.691816640365309,-0.026745542759292196
raw,"(64, 128, 64)","(11, 9, 7)",0.4,64,0.1,0.003,0.0001,32,0.7074421649934525,-0.011120018131148712
patient_zscore,"(32, 64, 32)","(15, 11, 7)",0.1,8,0.1,0.0003,1e-05,32,0.6729132390961287,-0.04564894402847253
raw,"(64, 128, 64)","(7, 5, 3)",0.1,16,0.02,0.002,0.001,128,0.6517644293724607,-0.06679775375214048
patient_zscore,"(64, 128, 64)","(11, 9, 7)",0.4,8,0.02,0.0003,0.0001,64,0.6828517946479535,-0.03571038847664765
raw,"(32, 64, 32)","(15, 11, 7)",0.4,64,0.02,0.0005,0.0001,32,0.6823523486552732,-0.03620983446932802
patient_zscore,"(128, 256, 128)","(7, 5, 3)",0.2,16,0.1,0.001,1e-05,128,0.7107787999865696,-0.007783383138031619
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.2,64,0.02,0.003,0.0001,64,0.7057675519591713,-0.012794631165429893
patient_zscore,"(64, 128, 64)","(15, 11, 7)",0.1,8,0.1,0.0005,0.0001,32,0.7157312896618876,-0.0028308934627135907
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.6,64,0.05,0.0005,1e-05,64,0.7117210321324245,-0.006841150992176637
raw,"(128, 256, 128)","(11, 9, 7)",0.1,32,0.05,0.0005,0.0001,32,0.6770892791189606,-0.04147290400564063
patient_zscore,"(128, 256, 128)","(7, 5, 3)",0.1,8,0.05,0.0005,0.0001,32,0.7264672799919417,0.007905096867340533
patient_zscore,"(16, 32, 16)","(11, 9, 7)",0.1,16,0.05,0.003,0.001,128,0.7066111540140348,-0.011951029110566336
patient_zscore,"(32, 64, 32)","(11, 9, 7)",0.6,32,0.05,0.003,1e-05,64,0.7053520464694625,-0.013210136655138704
patient_zscore,"(64, 128, 64)","(7, 5, 3)",0.2,16,0.1,0.001,1e-05,64,0.711790283047376,-0.006771900077225168
patient_zscore,"(64, 128, 64)","(15, 11, 7)",0.1,32,0.0,0.002,0.001,32,0.6721871537454251,-0.046375029379176036
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.4,16,0.1,0.001,0.0001,128,0.6911493133666857,-0.02741286975791546
raw,"(64, 128, 64)","(5, 3, 3)",0.4,32,0.02,0.0003,0.001,128,0.6579634355169056,-0.06059874760769557
patient_zscore,"(16, 32, 16)","(15, 11, 7)",0.2,32,0.05,0.003,0.0001,128,0.7164154047611054,-0.0021467783634957494
raw,"(64, 128, 64)","(11, 9, 7)",0.1,8,0.02,0.0003,1e-05,64,0.6650102407413625,-0.05355194238323868
patient_zscore,"(128, 256, 128)","(11, 9, 7)",0.2,32,0.02,0.002,0.0001,32,0.7109592720679582,-0.007602911056643014
