feature,model,cohort,scanner,n,n_pos,auc,sensitivity,specificity,accuracy
CKD,clinic4_meanmAs,internal,SOMATOM Definition AS+,180,31,0.6523056938731328,0.6451612903225806,0.5771812080536913,0.5888888888888889
CKD,clinic4_meanmAs,internal,Ingenuity Core 128,202,14,0.6911094224924013,0.6428571428571429,0.5851063829787234,0.5891089108910891
CKD,clinic4_meanmAs,internal,Revolution CT,317,15,0.9273730684326711,0.9333333333333333,0.8344370860927153,0.8391167192429022
CKD,clinic4_meanmAs,internal,Sensation 64,380,23,0.8502009499451955,0.9565217391304348,0.6834733893557423,0.7
CKD,clinic4_meanmAs_aec,external,iCT 256,135,20,0.7034782608695652,0.6,0.6347826086956522,0.6296296296296297
CKD,clinic4_meanmAs_aec,external,Revolution EVO,149,39,0.5902097902097901,0.6666666666666666,0.41818181818181815,0.48322147651006714
CKD,clinic4_meanmAs_aec,external,SOMATOM Definition AS+,165,18,0.5748299319727891,0.5,0.5578231292517006,0.5515151515151515
CKD,clinic4_meanmAs_aec,external,SOMATOM Force,123,24,0.6123737373737373,0.5,0.5454545454545454,0.5365853658536586
CKD,clinic4_meanmAs_aec,external,LightSpeed VCT,50,4,0.7771739130434783,0.75,0.5869565217391305,0.6
CKD,clinic4_meanmAs_aec,external,SOMATOM Definition Flash,228,44,0.6524209486166008,0.6818181818181818,0.5815217391304348,0.6008771929824561
CKD,clinic4_meanmAs_aec,external,Sensation 64,48,10,0.618421052631579,0.8,0.3157894736842105,0.4166666666666667
CKD,clinic4_meanmAs_aec,internal,SOMATOM Definition AS+,180,31,0.6499242260229487,0.9032258064516129,0.3691275167785235,0.46111111111111114
CKD,clinic4_meanmAs_aec,internal,Ingenuity Core 128,202,14,0.648176291793313,0.7857142857142857,0.526595744680851,0.5445544554455446
CKD,clinic4_meanmAs_aec,internal,Revolution CT,317,15,0.9366445916114791,0.9333333333333333,0.7516556291390728,0.7602523659305994
CKD,clinic4_meanmAs_aec,internal,Sensation 64,380,23,0.8553160394592619,0.9565217391304348,0.6050420168067226,0.6263157894736842
CKD,clinic4_vatsat,external,iCT 256,135,20,0.7017391304347825,0.7,0.5826086956521739,0.6
CKD,clinic4_vatsat,external,Revolution EVO,149,39,0.5498834498834498,0.5897435897435898,0.43636363636363634,0.47651006711409394
CKD,clinic4_vatsat,external,SOMATOM Definition AS+,165,18,0.5657596371882087,0.7222222222222222,0.46258503401360546,0.4909090909090909
CKD,clinic4_vatsat,external,SOMATOM Force,123,24,0.5867003367003367,0.5833333333333334,0.46464646464646464,0.4878048780487805
CKD,clinic4_vatsat,external,LightSpeed VCT,50,4,0.7880434782608695,0.75,0.6304347826086957,0.64
CKD,clinic4_vatsat,external,SOMATOM Definition Flash,228,44,0.6304347826086957,0.75,0.4673913043478261,0.5219298245614035
CKD,clinic4_vatsat,external,Sensation 64,48,10,0.6605263157894737,0.8,0.42105263157894735,0.5
CKD,clinic4_vatsat,internal,SOMATOM Definition AS+,180,31,0.7220177527603377,0.8387096774193549,0.4899328859060403,0.55
CKD,clinic4_vatsat,internal,Ingenuity Core 128,202,14,0.7082066869300911,0.7142857142857143,0.5691489361702128,0.5792079207920792
