feature,model,section,n,n_pos,prevalence,auc,threshold,tn,fp,fn,tp,sensitivity,specificity,accuracy
HTN,clinic4_aec_fpca_elbow,curve_fpca_elbow,3130,601,0.19201277955271565,0.6728689300618647,0.5262448045695725,1723,806,259,342,0.5690515806988353,0.6812969553183076,0.6597444089456869
HTN,clinic4_aec_uplow_ratio,curve_uplow_ratio,3130,601,0.19201277955271565,0.6704957928955892,0.5262448045695725,1704,825,253,348,0.5790349417637272,0.6737841043890866,0.655591054313099
HTN,clinic4_vat_fpca_elbow,curve_fpca_elbow,3130,601,0.19201277955271565,0.6745170333614268,0.5262448045695725,1726,803,266,335,0.5574043261231281,0.6824831949387109,0.6584664536741214
HTN,clinic4_vat_uplow_ratio,curve_uplow_ratio,3130,601,0.19201277955271565,0.6711024001779031,0.5262448045695725,1699,830,252,349,0.5806988352745425,0.671807038355081,0.6543130990415336
HTN,clinic4_sat_fpca_elbow,curve_fpca_elbow,3130,601,0.19201277955271565,0.6685614920170613,0.5262448045695725,1697,832,259,342,0.5690515806988353,0.6710162119414789,0.6514376996805111
HTN,clinic4_sat_uplow_ratio,curve_uplow_ratio,3130,601,0.19201277955271565,0.6697549688176223,0.5262448045695725,1711,818,257,344,0.5723793677204659,0.6765519968366943,0.6565495207667732
HTN,clinic4_imata_fpca_elbow,curve_fpca_elbow,3130,601,0.19201277955271565,0.6741920181797967,0.5262448045695725,1724,805,271,330,0.5490848585690515,0.6816923685251087,0.6562300319488817
HTN,clinic4_imata_uplow_ratio,curve_uplow_ratio,3130,601,0.19201277955271565,0.6703668395036873,0.5262448045695725,1713,816,258,343,0.5707154742096506,0.6773428232502966,0.6568690095846645
HTN,clinic4_nama_fpca_elbow,curve_fpca_elbow,3130,601,0.19201277955271565,0.672453779090997,0.5262448045695725,1714,815,261,340,0.5657237936772047,0.6777382364570976,0.6562300319488817
HTN,clinic4_nama_uplow_ratio,curve_uplow_ratio,3130,601,0.19201277955271565,0.670409604659165,0.5262448045695725,1702,827,255,346,0.5757071547420965,0.6729932779754844,0.6543130990415336
HTN,clinic4_lama_fpca_elbow,curve_fpca_elbow,3130,601,0.19201277955271565,0.6727827418254405,0.5262448045695725,1717,812,265,336,0.5590682196339434,0.678924476077501,0.6559105431309904
HTN,clinic4_lama_uplow_ratio,curve_uplow_ratio,3130,601,0.19201277955271565,0.6694141634247389,0.5262448045695725,1703,826,259,342,0.5690515806988353,0.6733886911822855,0.6533546325878594
HTN,clinic4_tama_fpca_elbow,curve_fpca_elbow,3130,601,0.19201277955271565,0.671061608798832,0.5262448045695725,1720,809,258,343,0.5707154742096506,0.6801107156979043,0.6591054313099042
HTN,clinic4_tama_uplow_ratio,curve_uplow_ratio,3130,601,0.19201277955271565,0.6706076402253001,0.5262448045695725,1694,835,259,342,0.5690515806988353,0.6698299723210756,0.6504792332268371
HTN,clinic4_aec_slope,curve_slope,3130,601,0.19201277955271565,0.6707227771823552,0.5262448045695725,1700,829,255,346,0.5757071547420965,0.6722024515618822,0.6536741214057508
HTN,clinic4_vat_slope,curve_slope,3130,601,0.19201277955271565,0.6713234631354491,0.5262448045695725,1714,815,255,346,0.5757071547420965,0.6777382364570976,0.65814696485623
HTN,clinic4_sat_slope,curve_slope,3130,601,0.19201277955271565,0.6708188343008128,0.5262448045695725,1700,829,260,341,0.56738768718802,0.6722024515618822,0.6520766773162939
HTN,clinic4_imata_slope,curve_slope,3130,601,0.19201277955271565,0.6700905108067547,0.5262448045695725,1707,822,256,345,0.5740432612312812,0.67497034400949,0.655591054313099
HTN,clinic4_nama_slope,curve_slope,3130,601,0.19201277955271565,0.6713326740920135,0.5262448045695725,1712,817,259,342,0.5690515806988353,0.6769474100434955,0.6562300319488817
HTN,clinic4_lama_slope,curve_slope,3130,601,0.19201277955271565,0.6713333320174824,0.5262448045695725,1723,806,262,339,0.5640599001663894,0.6812969553183076,0.6587859424920128
HTN,clinic4_tama_slope,curve_slope,3130,601,0.19201277955271565,0.6702786774908565,0.5262448045695725,1700,829,257,344,0.5723793677204659,0.6722024515618822,0.6530351437699681
DL,clinic4,baseline,3130,616,0.19680511182108626,0.5472012573742885,0.4995580992737647,1388,1126,291,325,0.5275974025974026,0.5521081941129674,0.5472843450479233
DL,clinic4_bmi,scalar,3130,616,0.19680511182108626,0.5474375962144459,0.4995580992737647,1317,1197,273,343,0.5568181818181818,0.5238663484486874,0.5303514376996805
DL,clinic4_smi,scalar,3130,616,0.19680511182108626,0.5696043713645146,0.4995580992737647,1415,1099,284,332,0.538961038961039,0.5628480509148767,0.55814696485623
DL,clinic4_vat,scalar,3130,616,0.19680511182108626,0.5485237217039127,0.4995580992737647,1416,1098,299,317,0.5146103896103896,0.5632458233890215,0.5536741214057508
DL,clinic4_sat,scalar,3130,616,0.19680511182108626,0.5530064108524728,0.4995580992737647,1383,1131,287,329,0.5340909090909091,0.5501193317422435,0.546964856230032
DL,clinic4_imata,scalar,3130,616,0.19680511182108626,0.5572075597433592,0.4995580992737647,1351,1163,289,327,0.5308441558441559,0.5373906125696102,0.5361022364217253
DL,clinic4_nama,scalar,3130,616,0.19680511182108626,0.5675276890969014,0.4995580992737647,1448,1066,291,325,0.5275974025974026,0.5759745425616547,0.5664536741214058
DL,clinic4_lama,scalar,3130,616,0.19680511182108626,0.5518402142805484,0.4995580992737647,1376,1138,296,320,0.5194805194805194,0.54733492442323,0.5418530351437699
DL,clinic4_tama,scalar,3130,616,0.19680511182108626,0.5695133227949457,0.4995580992737647,1433,1081,292,324,0.525974025974026,0.5700079554494829,0.5613418530351437
DL,clinic4_vat_sat_ratio,inter_var_ratio,3130,616,0.19680511182108626,0.5778039085019991,0.4995580992737647,1501,1013,297,319,0.5178571428571429,0.5970564836913286,0.5814696485623003
DL,clinic4_lama_tama_ratio,inter_var_ratio,3130,616,0.19680511182108626,0.540770387130769,0.4995580992737647,1375,1139,289,327,0.5308441558441559,0.5469371519490851,0.5437699680511182
DL,clinic4_imata_tama_ratio,inter_var_ratio,3130,616,0.19680511182108626,0.546964272799595,0.4995580992737647,1373,1141,289,327,0.5308441558441559,0.5461416070007955,0.5431309904153354
DL,clinic4_aec_fpca_elbow,curve_fpca_elbow,3130,616,0.19680511182108626,0.5520274772959738,0.4995580992737647,1433,1081,308,308,0.5,0.5700079554494829,0.5562300319488818
DL,clinic4_aec_uplow_ratio,curve_uplow_ratio,3130,616,0.19680511182108626,0.5458710442302328,0.4995580992737647,1388,1126,296,320,0.5194805194805194,0.5521081941129674,0.5456869009584665
DL,clinic4_vat_fpca_elbow,curve_fpca_elbow,3130,616,0.19680511182108626,0.5782707745714906,0.4995580992737647,1530,984,307,309,0.5016233766233766,0.6085918854415274,0.5875399361022364
DL,clinic4_vat_uplow_ratio,curve_uplow_ratio,3130,616,0.19680511182108626,0.5472542076062362,0.4995580992737647,1409,1105,293,323,0.5243506493506493,0.560461416070008,0.5533546325878594
DL,clinic4_sat_fpca_elbow,curve_fpca_elbow,3130,616,0.19680511182108626,0.538042804450919,0.4995580992737647,1344,1170,296,320,0.5194805194805194,0.5346062052505967,0.531629392971246
DL,clinic4_sat_uplow_ratio,curve_uplow_ratio,3130,616,0.19680511182108626,0.5396784500304787,0.4995580992737647,1366,1148,304,312,0.5064935064935064,0.543357199681782,0.5361022364217253
DL,clinic4_imata_fpca_elbow,curve_fpca_elbow,3130,616,0.19680511182108626,0.5491597702218227,0.4995580992737647,1375,1139,294,322,0.5227272727272727,0.5469371519490851,0.5421725239616614
DL,clinic4_imata_uplow_ratio,curve_uplow_ratio,3130,616,0.19680511182108626,0.5562783477461282,0.4995580992737647,1379,1135,278,338,0.5487012987012987,0.5485282418456643,0.5485623003194888
DL,clinic4_nama_fpca_elbow,curve_fpca_elbow,3130,616,0.19680511182108626,0.540388758020023,0.4995580992737647,1390,1124,306,310,0.5032467532467533,0.552903739061257,0.5431309904153354
DL,clinic4_nama_uplow_ratio,curve_uplow_ratio,3130,616,0.19680511182108626,0.544824954281995,0.4995580992737647,1394,1120,296,320,0.5194805194805194,0.5544948289578361,0.5476038338658147
DL,clinic4_lama_fpca_elbow,curve_fpca_elbow,3130,616,0.19680511182108626,0.5291955955738772,0.4995580992737647,1398,1116,311,305,0.49512987012987014,0.5560859188544153,0.5440894568690096
DL,clinic4_lama_uplow_ratio,curve_uplow_ratio,3130,616,0.19680511182108626,0.5362495996445877,0.4995580992737647,1382,1132,301,315,0.5113636363636364,0.5497215592680986,0.5421725239616614
DL,clinic4_tama_fpca_elbow,curve_fpca_elbow,3130,616,0.19680511182108626,0.5431996404550103,0.4995580992737647,1351,1163,303,313,0.5081168831168831,0.5373906125696102,0.531629392971246
DL,clinic4_tama_uplow_ratio,curve_uplow_ratio,3130,616,0.19680511182108626,0.542528076537623,0.4995580992737647,1391,1123,301,315,0.5113636363636364,0.5533015115354017,0.5450479233226837
DL,clinic4_aec_slope,curve_slope,3130,616,0.19680511182108626,0.5455184731736045,0.4995580992737647,1366,1148,297,319,0.5178571428571429,0.543357199681782,0.5383386581469649
DL,clinic4_vat_slope,curve_slope,3130,616,0.19680511182108626,0.5674921736974243,0.4995580992737647,1575,939,333,283,0.4594155844155844,0.6264916467780429,0.5936102236421725
DL,clinic4_sat_slope,curve_slope,3130,616,0.19680511182108626,0.5413883550816725,0.4995580992737647,1362,1152,298,318,0.5162337662337663,0.5417661097852029,0.536741214057508
DL,clinic4_imata_slope,curve_slope,3130,616,0.19680511182108626,0.5450593559185445,0.4995580992737647,1383,1131,300,316,0.512987012987013,0.5501193317422435,0.5428115015974441
DL,clinic4_nama_slope,curve_slope,3130,616,0.19680511182108626,0.5466510915496596,0.4995580992737647,1432,1082,305,311,0.5048701298701299,0.569610182975338,0.5568690095846646
DL,clinic4_lama_slope,curve_slope,3130,616,0.19680511182108626,0.5345939362944137,0.4995580992737647,1396,1118,308,308,0.5,0.5552903739061257,0.544408945686901
DL,clinic4_tama_slope,curve_slope,3130,616,0.19680511182108626,0.5478967134695059,0.4995580992737647,1415,1099,311,305,0.49512987012987014,0.5628480509148767,0.549520766773163
Osteoporosis,clinic4,baseline,3130,159,0.050798722044728434,0.7686906342018972,0.5358665820894507,2063,908,40,119,0.7484276729559748,0.6943789969707169,0.6971246006389776
Osteoporosis,clinic4_bmi,scalar,3130,159,0.050798722044728434,0.7695691474610968,0.5358665820894507,2085,886,42,117,0.7358490566037735,0.70178391114103,0.7035143769968051
Osteoporosis,clinic4_smi,scalar,3130,159,0.050798722044728434,0.7694590686912692,0.5358665820894507,2064,907,42,117,0.7358490566037735,0.6947155839784585,0.6968051118210863
Osteoporosis,clinic4_vat,scalar,3130,159,0.050798722044728434,0.7679221997125251,0.5358665820894507,2061,910,43,116,0.7295597484276729,0.693705822955234,0.6955271565495208
Osteoporosis,clinic4_sat,scalar,3130,159,0.050798722044728434,0.768070382671908,0.5358665820894507,2054,917,42,117,0.7358490566037735,0.6913497139010434,0.6936102236421725
Osteoporosis,clinic4_imata,scalar,3130,159,0.050798722044728434,0.7679497194049819,0.5358665820894507,2052,919,42,117,0.7358490566037735,0.6906765398855604,0.6929712460063898
Osteoporosis,clinic4_nama,scalar,3130,159,0.050798722044728434,0.7703502833469873,0.5358665820894507,2057,914,42,117,0.7358490566037735,0.692359474924268,0.6945686900958467
