exp,feature,model,cohort,base_r2,base_ci,new_r2,new_ci,delta,dir,ci_overlap,significant
shape,LAMA_SUM,clinic4_aec_sd,external,-0.035,"[-0.130,0.045]",0.031,"[-0.053,0.105]",0.067,up,True,False
shape,LAMA_SUM,clinic4_aec_skew,internal,0.419,"[0.373,0.468]",0.418,"[0.372,0.467]",-0.002,down,True,False
shape,LAMA_SUM,clinic4_aec_skew,external,-0.035,"[-0.130,0.045]",-0.035,"[-0.129,0.045]",0.001,up,True,False
shape,LAMA_SUM,clinic4_aec_uplow_ratio,internal,0.419,"[0.373,0.468]",0.437,"[0.395,0.484]",0.018,up,True,False
shape,LAMA_SUM,clinic4_aec_uplow_ratio,external,-0.035,"[-0.130,0.045]",0.026,"[-0.058,0.099]",0.061,up,True,False
shape,LAMA_SUM,clinic4_aec_shape_all,internal,0.419,"[0.373,0.468]",0.434,"[0.391,0.482]",0.015,up,True,False
shape,LAMA_SUM,clinic4_aec_shape_all,external,-0.035,"[-0.130,0.045]",0.013,"[-0.075,0.089]",0.048,up,True,False
shape,TAMA_SUM,clinic4_aec_sd,internal,0.646,"[0.605,0.683]",0.649,"[0.607,0.687]",0.003,up,True,False
shape,TAMA_SUM,clinic4_aec_sd,external,0.711,"[0.673,0.743]",0.707,"[0.669,0.740]",-0.004,down,True,False
shape,TAMA_SUM,clinic4_aec_skew,internal,0.646,"[0.605,0.683]",0.644,"[0.603,0.682]",-0.002,down,True,False
shape,TAMA_SUM,clinic4_aec_skew,external,0.711,"[0.673,0.743]",0.71,"[0.672,0.742]",-0.001,down,True,False
shape,TAMA_SUM,clinic4_aec_uplow_ratio,internal,0.646,"[0.605,0.683]",0.645,"[0.604,0.683]",-0.0,down,True,False
shape,TAMA_SUM,clinic4_aec_uplow_ratio,external,0.711,"[0.673,0.743]",0.708,"[0.670,0.740]",-0.003,down,True,False
shape,TAMA_SUM,clinic4_aec_shape_all,internal,0.646,"[0.605,0.683]",0.65,"[0.609,0.689]",0.004,up,True,False
shape,TAMA_SUM,clinic4_aec_shape_all,external,0.711,"[0.673,0.743]",0.672,"[0.629,0.708]",-0.039,down,True,False
shape,SAT(피하지방)_SUM,clinic4_aec_sd,internal,0.528,"[0.478,0.573]",0.528,"[0.477,0.574]",0.0,up,True,False
shape,SAT(피하지방)_SUM,clinic4_aec_sd,external,0.565,"[0.511,0.613]",0.566,"[0.512,0.614]",0.002,up,True,False
shape,SAT(피하지방)_SUM,clinic4_aec_skew,internal,0.528,"[0.478,0.573]",0.532,"[0.482,0.577]",0.004,up,True,False
shape,SAT(피하지방)_SUM,clinic4_aec_skew,external,0.565,"[0.511,0.613]",0.562,"[0.508,0.610]",-0.002,down,True,False
shape,SAT(피하지방)_SUM,clinic4_aec_uplow_ratio,internal,0.528,"[0.478,0.573]",0.53,"[0.480,0.575]",0.002,up,True,False
shape,SAT(피하지방)_SUM,clinic4_aec_uplow_ratio,external,0.565,"[0.511,0.613]",0.575,"[0.522,0.622]",0.01,up,True,False
shape,SAT(피하지방)_SUM,clinic4_aec_shape_all,internal,0.528,"[0.478,0.573]",0.533,"[0.484,0.578]",0.005,up,True,False
shape,SAT(피하지방)_SUM,clinic4_aec_shape_all,external,0.565,"[0.511,0.613]",0.569,"[0.517,0.615]",0.005,up,True,False
shape,VAT(내장지방)_SUM,clinic4_aec_sd,internal,0.523,"[0.483,0.562]",0.542,"[0.501,0.581]",0.019,up,True,False
shape,VAT(내장지방)_SUM,clinic4_aec_sd,external,0.418,"[0.359,0.471]",0.438,"[0.382,0.486]",0.019,up,True,False
shape,VAT(내장지방)_SUM,clinic4_aec_skew,internal,0.523,"[0.483,0.562]",0.536,"[0.494,0.577]",0.013,up,True,False
shape,VAT(내장지방)_SUM,clinic4_aec_skew,external,0.418,"[0.359,0.471]",0.41,"[0.356,0.460]",-0.008,down,True,False
shape,VAT(내장지방)_SUM,clinic4_aec_uplow_ratio,internal,0.523,"[0.483,0.562]",0.566,"[0.531,0.601]",0.043,up,True,False
shape,VAT(내장지방)_SUM,clinic4_aec_uplow_ratio,external,0.418,"[0.359,0.471]",0.503,"[0.459,0.545]",0.085,up,True,False
shape,VAT(내장지방)_SUM,clinic4_aec_shape_all,internal,0.523,"[0.483,0.562]",0.573,"[0.537,0.610]",0.05,up,True,False
shape,VAT(내장지방)_SUM,clinic4_aec_shape_all,external,0.418,"[0.359,0.471]",0.485,"[0.442,0.526]",0.067,up,True,False
shape,Total Fat_SUM,clinic4_aec_sd,internal,0.502,"[0.452,0.548]",0.508,"[0.457,0.555]",0.006,up,True,False
shape,Total Fat_SUM,clinic4_aec_sd,external,0.492,"[0.428,0.550]",0.501,"[0.439,0.557]",0.008,up,True,False
shape,Total Fat_SUM,clinic4_aec_skew,internal,0.502,"[0.452,0.548]",0.512,"[0.460,0.557]",0.009,up,True,False
shape,Total Fat_SUM,clinic4_aec_skew,external,0.492,"[0.428,0.550]",0.487,"[0.425,0.542]",-0.006,down,True,False
shape,Total Fat_SUM,clinic4_aec_uplow_ratio,internal,0.502,"[0.452,0.548]",0.52,"[0.470,0.565]",0.018,up,True,False
shape,Total Fat_SUM,clinic4_aec_uplow_ratio,external,0.492,"[0.428,0.550]",0.533,"[0.477,0.584]",0.041,up,True,False
shape,Total Fat_SUM,clinic4_aec_shape_all,internal,0.502,"[0.452,0.548]",0.526,"[0.475,0.570]",0.024,up,True,False
shape,Total Fat_SUM,clinic4_aec_shape_all,external,0.492,"[0.428,0.550]",0.52,"[0.463,0.572]",0.028,up,True,False
