feature,model,cohort,scanner,n,n_pos,auc
VAT_TAMA_ratio,clinic4_aec_best,internal,SOMATOM Definition AS+,180,38,0.8654558932542625
VAT_TAMA_ratio,clinic4_aec_best,internal,Ingenuity Core 128,202,24,0.8665730337078652
VAT_TAMA_ratio,clinic4_aec_best,external,Revolution EVO,149,38,0.8506401137980085
VAT_TAMA_ratio,clinic4_aec_best,external,LightSpeed VCT,50,10,0.89
VAT_TAMA_ratio,clinic4_aec_best,external,SOMATOM Definition Flash,228,46,0.8524844720496895
VAT_TAMA_ratio,clinic4_aec_best,external,Sensation 64,48,16,0.853515625
VAT_TAMA_ratio,clinic4_aec_best,external,SOMATOM Force,123,30,0.9215053763440859
VAT_TAMA_ratio,clinic4_aec_best,external,SOMATOM Definition AS+,165,26,0.8065855008301052
VAT_TAMA_ratio,clinic4_aec_best,external,iCT 256,135,30,0.8225396825396826
TotalFat_TAMA_ratio,clinic4,internal,Revolution CT,317,51,0.8659885006634234
TotalFat_TAMA_ratio,clinic4,internal,Sensation 64,380,44,0.7962662337662338
TotalFat_TAMA_ratio,clinic4,internal,SOMATOM Definition AS+,180,23,0.7468845195236776
TotalFat_TAMA_ratio,clinic4,internal,Ingenuity Core 128,202,9,0.8261370178468623
TotalFat_TAMA_ratio,clinic4,external,Revolution EVO,149,30,0.726890756302521
TotalFat_TAMA_ratio,clinic4,external,LightSpeed VCT,50,6,0.6553030303030303
TotalFat_TAMA_ratio,clinic4,external,SOMATOM Definition Flash,228,34,0.8920557913887204
TotalFat_TAMA_ratio,clinic4,external,Sensation 64,48,11,0.7592137592137592
TotalFat_TAMA_ratio,clinic4,external,SOMATOM Force,123,20,0.8800970873786407
TotalFat_TAMA_ratio,clinic4,external,SOMATOM Definition AS+,165,23,0.8824249846907533
TotalFat_TAMA_ratio,clinic4,external,iCT 256,135,27,0.7753772290809328
TotalFat_TAMA_ratio,clinic4_aec_best,internal,Revolution CT,317,51,0.8682736252395696
TotalFat_TAMA_ratio,clinic4_aec_best,internal,Sensation 64,380,44,0.8521374458874459
TotalFat_TAMA_ratio,clinic4_aec_best,internal,SOMATOM Definition AS+,180,23,0.8130711714206591
TotalFat_TAMA_ratio,clinic4_aec_best,internal,Ingenuity Core 128,202,9,0.8399539435808866
TotalFat_TAMA_ratio,clinic4_aec_best,external,Revolution EVO,149,30,0.7952380952380953
TotalFat_TAMA_ratio,clinic4_aec_best,external,LightSpeed VCT,50,6,0.7840909090909091
TotalFat_TAMA_ratio,clinic4_aec_best,external,SOMATOM Definition Flash,228,34,0.9066100667070952
TotalFat_TAMA_ratio,clinic4_aec_best,external,Sensation 64,48,11,0.7444717444717445
TotalFat_TAMA_ratio,clinic4_aec_best,external,SOMATOM Force,123,20,0.8946601941747573
TotalFat_TAMA_ratio,clinic4_aec_best,external,SOMATOM Definition AS+,165,23,0.8879363135333741
TotalFat_TAMA_ratio,clinic4_aec_best,external,iCT 256,135,27,0.8775720164609053
SAT_TotalFat_ratio,clinic4,internal,Revolution CT,317,66,0.8215622359048654
SAT_TotalFat_ratio,clinic4,internal,Sensation 64,380,53,0.7400611620795107
SAT_TotalFat_ratio,clinic4,internal,SOMATOM Definition AS+,180,28,0.8035714285714286
SAT_TotalFat_ratio,clinic4,internal,Ingenuity Core 128,202,25,0.7159322033898304
SAT_TotalFat_ratio,clinic4,external,Revolution EVO,149,9,0.6761904761904762
SAT_TotalFat_ratio,clinic4,external,LightSpeed VCT,50,9,0.9322493224932249
SAT_TotalFat_ratio,clinic4,external,SOMATOM Definition Flash,228,31,0.70869494023252
SAT_TotalFat_ratio,clinic4,external,Sensation 64,48,5,0.8604651162790699
SAT_TotalFat_ratio,clinic4,external,SOMATOM Force,123,18,0.837037037037037
SAT_TotalFat_ratio,clinic4,external,SOMATOM Definition AS+,165,24,0.7768912529550828
SAT_TotalFat_ratio,clinic4,external,iCT 256,135,19,0.7404718693284936
SAT_TotalFat_ratio,clinic4_aec_best,internal,Revolution CT,317,66,0.8351442713992514
SAT_TotalFat_ratio,clinic4_aec_best,internal,Sensation 64,380,53,0.79879983843979
SAT_TotalFat_ratio,clinic4_aec_best,internal,SOMATOM Definition AS+,180,28,0.8446898496240601
SAT_TotalFat_ratio,clinic4_aec_best,internal,Ingenuity Core 128,202,25,0.7742372881355932
SAT_TotalFat_ratio,clinic4_aec_best,external,Revolution EVO,149,9,0.7198412698412698
SAT_TotalFat_ratio,clinic4_aec_best,external,LightSpeed VCT,50,9,0.9539295392953929
SAT_TotalFat_ratio,clinic4_aec_best,external,SOMATOM Definition Flash,228,31,0.738333060422466
SAT_TotalFat_ratio,clinic4_aec_best,external,Sensation 64,48,5,0.8790697674418604
SAT_TotalFat_ratio,clinic4_aec_best,external,SOMATOM Force,123,18,0.843915343915344
