feature,cohort,predictor_group,predictor,n_seg,segment,r,p_value,n
sat_total_fat,internal,aec_segment,seg4_3,4.0,3.0,-0.4365659777982322,6.13857696452028e-34,700
sat_total_fat,internal,aec_segment,seg4_4,4.0,4.0,-0.4009227800806856,2.059059309654733e-28,700
sat_tama,internal,aec_segment,seg4_1,4.0,1.0,0.3072920255596975,8.966092666837248e-17,700
sat_tama,internal,aec_segment,seg4_2,4.0,2.0,0.4390082589376038,2.425030575710145e-34,700
sat_tama,internal,aec_segment,seg4_3,4.0,3.0,0.5128842613195873,3.19103650710429e-48,700
sat_tama,internal,aec_segment,seg4_4,4.0,4.0,0.4401813261276768,1.5481427136574346e-34,700
total_fat_tama,internal,aec_segment,seg4_1,4.0,1.0,0.285136047892134,1.4630516634522492e-14,700
total_fat_tama,internal,aec_segment,seg4_2,4.0,2.0,0.4710438207367321,6.018076345150836e-40,700
total_fat_tama,internal,aec_segment,seg4_3,4.0,3.0,0.6084755097555319,4.037163143489029e-72,700
total_fat_tama,internal,aec_segment,seg4_4,4.0,4.0,0.5259603570687299,4.712030799494739e-51,700
sat,external,aec_segment,seg4_1,4.0,1.0,0.4714954269706738,6.277762642302492e-29,498
sat,external,aec_segment,seg4_2,4.0,2.0,0.5223957944028615,3.2316572911186176e-36,498
sat,external,aec_segment,seg4_3,4.0,3.0,0.5596175017256597,2.2005863440203382e-42,498
sat,external,aec_segment,seg4_4,4.0,4.0,0.5089158617586829,3.634668343143708e-34,498
vat,external,aec_segment,seg4_1,4.0,1.0,0.24427349914582885,3.364106119471165e-08,498
vat,external,aec_segment,seg4_2,4.0,2.0,0.3734404543325355,6.31010371914668e-18,498
vat,external,aec_segment,seg4_3,4.0,3.0,0.5250597019492164,1.239151790215194e-36,498
vat,external,aec_segment,seg4_4,4.0,4.0,0.4946195110710061,4.3454851791494016e-32,498
total_fat,external,aec_segment,seg4_1,4.0,1.0,0.42974554022412303,8.437344179322677e-24,498
total_fat,external,aec_segment,seg4_2,4.0,2.0,0.5120987021833913,1.214538066526177e-34,498
total_fat,external,aec_segment,seg4_3,4.0,3.0,0.5923176498992917,1.7499602178417785e-48,498
total_fat,external,aec_segment,seg4_4,4.0,4.0,0.5446458962769664,8.241633966189989e-40,498
vat_sat,external,aec_segment,seg4_1,4.0,1.0,-0.13043131986909054,0.0035472647640644307,498
vat_sat,external,aec_segment,seg4_2,4.0,2.0,-0.018043386666600356,0.6879228497585512,498
vat_sat,external,aec_segment,seg4_3,4.0,3.0,0.10757908277966176,0.016320594346129473,498
vat_sat,external,aec_segment,seg4_4,4.0,4.0,0.12094926388613045,0.006887456786801542,498
vat_total_fat,external,aec_segment,seg4_1,4.0,1.0,-0.11790535132111725,0.00844486445100847,498
vat_total_fat,external,aec_segment,seg4_2,4.0,2.0,0.00902785500413815,0.840727773026547,498
vat_total_fat,external,aec_segment,seg4_3,4.0,3.0,0.16130363311344553,0.00030117520118561937,498
vat_total_fat,external,aec_segment,seg4_4,4.0,4.0,0.1700494256502288,0.00013724649976412626,498
vat_tama,external,aec_segment,seg4_1,4.0,1.0,0.10079060234422257,0.02449260811987714,498
vat_tama,external,aec_segment,seg4_2,4.0,2.0,0.23868618579176923,6.997678149137193e-08,498
vat_tama,external,aec_segment,seg4_3,4.0,3.0,0.4099000379673453,1.3345518431986892e-21,498
vat_tama,external,aec_segment,seg4_4,4.0,4.0,0.3671606534338089,2.4418912778395888e-17,498
sat_total_fat,external,aec_segment,seg4_1,4.0,1.0,0.11790535132111721,0.00844486445100847,498
sat_total_fat,external,aec_segment,seg4_2,4.0,2.0,-0.009027855004138219,0.8407277730265436,498
sat_total_fat,external,aec_segment,seg4_3,4.0,3.0,-0.1613036331134456,0.0003011752011856157,498
sat_total_fat,external,aec_segment,seg4_4,4.0,4.0,-0.17004942565022885,0.00013724649976412442,498
sat_tama,external,aec_segment,seg4_1,4.0,1.0,0.32361788615142734,1.3230105615246598e-13,498
sat_tama,external,aec_segment,seg4_2,4.0,2.0,0.37597735089001316,3.622093407241496e-18,498
sat_tama,external,aec_segment,seg4_3,4.0,3.0,0.42927964686756126,9.539443252947531e-24,498
sat_tama,external,aec_segment,seg4_4,4.0,4.0,0.35489968739702255,3.1517350534728365e-16,498
total_fat_tama,external,aec_segment,seg4_1,4.0,1.0,0.27293768709761396,5.883309402462977e-10,498
total_fat_tama,external,aec_segment,seg4_2,4.0,2.0,0.36413700943457133,4.6358351081850795e-17,498
total_fat_tama,external,aec_segment,seg4_3,4.0,3.0,0.4689079551766041,1.3696751875368368e-28,498
total_fat_tama,external,aec_segment,seg4_4,4.0,4.0,0.3986036387510957,2.0563174781928172e-20,498
sat,internal,aec_segment,seg8_1,8.0,1.0,0.3184162528385718,5.8624002557588e-18,700
sat,internal,aec_segment,seg8_2,8.0,2.0,0.375689115692601,6.915647976261025e-25,700
sat,internal,aec_segment,seg8_3,8.0,3.0,0.4387512115253782,2.6750026697339025e-34,700
sat,internal,aec_segment,seg8_4,8.0,4.0,0.5193844151081504,1.2947016265391767e-49,700
sat,internal,aec_segment,seg8_5,8.0,5.0,0.5466368193640447,8.649407963653146e-56,700
sat,internal,aec_segment,seg8_6,8.0,6.0,0.5273624081519526,2.3030685659735608e-51,700
sat,internal,aec_segment,seg8_7,8.0,7.0,0.4971795577739688,5.5612486221981553e-45,700
sat,internal,aec_segment,seg8_8,8.0,8.0,0.44395889061345284,3.605505812363174e-35,700
vat,internal,aec_segment,seg8_1,8.0,1.0,0.19357467460582545,2.453115556993314e-07,700
vat,internal,aec_segment,seg8_2,8.0,2.0,0.2759220555559012,1.0703971456179544e-13,700
vat,internal,aec_segment,seg8_3,8.0,3.0,0.3934933754158222,2.4200027609837576e-27,700
vat,internal,aec_segment,seg8_4,8.0,4.0,0.5220001845154816,3.495864561790347e-50,700
vat,internal,aec_segment,seg8_5,8.0,5.0,0.6341210232334354,5.220726164438388e-80,700
vat,internal,aec_segment,seg8_6,8.0,6.0,0.646819790180045,3.3761827256623506e-84,700
vat,internal,aec_segment,seg8_7,8.0,7.0,0.6038672155338145,8.872595493098883e-71,700
vat,internal,aec_segment,seg8_8,8.0,8.0,0.5271103884220718,2.6199855701484945e-51,700
total_fat,internal,aec_segment,seg8_1,8.0,1.0,0.29951723544213316,5.636337695212283e-16,700
total_fat,internal,aec_segment,seg8_2,8.0,2.0,0.37071693317938326,3.155354574263359e-24,700
total_fat,internal,aec_segment,seg8_3,8.0,3.0,0.4589196459257405,9.356860343723278e-38,700
total_fat,internal,aec_segment,seg8_4,8.0,4.0,0.5637429720269824,5.771366160200656e-60,700
total_fat,internal,aec_segment,seg8_5,8.0,5.0,0.6242103621897838,7.135909259220184e-77,700
total_fat,internal,aec_segment,seg8_6,8.0,6.0,0.6149805227639382,4.7187552998545304e-74,700
total_fat,internal,aec_segment,seg8_7,8.0,7.0,0.5776202788605624,1.5495911983609236e-63,700
total_fat,internal,aec_segment,seg8_8,8.0,8.0,0.5113722044017692,6.658783750129114e-48,700
vat_sat,internal,aec_segment,seg8_1,8.0,1.0,0.0004960543709599079,0.9895472850396367,700
vat_sat,internal,aec_segment,seg8_2,8.0,2.0,0.0638280002856789,0.09152012432678784,700
vat_sat,internal,aec_segment,seg8_3,8.0,3.0,0.1707345299270029,5.558257697654974e-06,700
vat_sat,internal,aec_segment,seg8_4,8.0,4.0,0.27507595947327723,1.2802564989823982e-13,700
vat_sat,internal,aec_segment,seg8_5,8.0,5.0,0.4065956155186091,3.006766063282752e-29,700
vat_sat,internal,aec_segment,seg8_6,8.0,6.0,0.44267663571713484,5.924769673886449e-35,700
vat_sat,internal,aec_segment,seg8_7,8.0,7.0,0.4098366970334299,9.850044076484287e-30,700
vat_sat,internal,aec_segment,seg8_8,8.0,8.0,0.352570793051891,6.446062246383715e-22,700
vat_total_fat,internal,aec_segment,seg8_1,8.0,1.0,0.014238994844594947,0.7068617523022399,700
vat_total_fat,internal,aec_segment,seg8_2,8.0,2.0,0.07633733103300502,0.04348377315163148,700
vat_total_fat,internal,aec_segment,seg8_3,8.0,3.0,0.18395419695539944,9.576432129353675e-07,700
vat_total_fat,internal,aec_segment,seg8_4,8.0,4.0,0.2867580806346502,1.0227183815853782e-14,700
vat_total_fat,internal,aec_segment,seg8_5,8.0,5.0,0.4145486639794972,1.9022841898272915e-30,700
vat_total_fat,internal,aec_segment,seg8_6,8.0,6.0,0.4509755676257841,2.291789773499266e-36,700
vat_total_fat,internal,aec_segment,seg8_7,8.0,7.0,0.420823088070546,2.0441161669670608e-31,700
vat_total_fat,internal,aec_segment,seg8_8,8.0,8.0,0.36812770051567,6.883578347789945e-24,700
vat_tama,internal,aec_segment,seg8_1,8.0,1.0,0.1318604685529331,0.0004692028710773054,700
vat_tama,internal,aec_segment,seg8_2,8.0,2.0,0.2034924827809479,5.597326428350838e-08,700
vat_tama,internal,aec_segment,seg8_3,8.0,3.0,0.3242932565939795,1.3240237659139e-18,700
vat_tama,internal,aec_segment,seg8_4,8.0,4.0,0.4563100993816498,2.700585641454447e-37,700
vat_tama,internal,aec_segment,seg8_5,8.0,5.0,0.5888463930417478,1.4918101719015477e-66,700
vat_tama,internal,aec_segment,seg8_6,8.0,6.0,0.6035847293336345,1.0705355761868387e-70,700
vat_tama,internal,aec_segment,seg8_7,8.0,7.0,0.5512208895923263,6.944037407302748e-57,700
vat_tama,internal,aec_segment,seg8_8,8.0,8.0,0.4816269428250598,6.211333308943085e-42,700
sat_total_fat,internal,aec_segment,seg8_1,8.0,1.0,-0.01423899484459491,0.7068617523022399,700
