feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold_youden,sensitivity_youden,specificity_youden,accuracy_youden,threshold_se90,sensitivity_se90,specificity_se90,accuracy_se90
Total Fat_SUM,clinic4_aec_best,internal,700,113,0.16142857142857142,0.9035744975953928,0.8768019643066735,0.9292793373074364,0.19747346340561048,0.7964601769911505,0.8551959114139693,0.8457142857142858,0.07650400341236376,0.9026548672566371,0.6746166950596252,0.7114285714285714
Total Fat_SUM,clinic4_aec_best,external,498,110,0.22088353413654618,0.8621836925960636,0.818064185082441,0.9021464080940791,0.19747346340561048,0.5545454545454546,0.9690721649484536,0.8775100401606426,0.07650400341236376,0.7090909090909091,0.8505154639175257,0.8192771084337349
VAT_TotalFat_ratio,clinic4,internal,700,114,0.16285714285714287,0.8172714208730016,0.776738952849821,0.8537662578211296,0.1986742841455922,0.6842105263157895,0.7986348122866894,0.78,0.09512010515386299,0.9035087719298246,0.5443686006825939,0.6028571428571429
VAT_TotalFat_ratio,clinic4,external,498,122,0.24497991967871485,0.7257259330310429,0.6749076904754349,0.771572653330984,0.1986742841455922,0.6229508196721312,0.6914893617021277,0.6746987951807228,0.09512010515386299,0.8852459016393442,0.4654255319148936,0.5682730923694779
VAT_TotalFat_ratio,clinic4_aec_best,internal,700,114,0.16285714285714287,0.8503532722591461,0.8148181971649889,0.8842591529023907,0.15732507583310967,0.7894736842105263,0.7610921501706485,0.7657142857142857,0.08885182086128383,0.9122807017543859,0.6177474402730375,0.6657142857142857
VAT_TotalFat_ratio,clinic4_aec_best,external,498,122,0.24497991967871485,0.8191271363794908,0.7768126421888509,0.8585837995521065,0.15732507583310967,0.8442622950819673,0.6462765957446809,0.6947791164658634,0.08885182086128383,0.9344262295081968,0.48138297872340424,0.5923694779116466
VAT_SAT_ratio,clinic4,internal,700,101,0.1442857142857143,0.8291376716970529,0.7893796007477811,0.8664588082038576,0.18494073868264957,0.7029702970297029,0.8163606010016694,0.8,0.08292411440728983,0.900990099009901,0.5642737896494157,0.6128571428571429
VAT_SAT_ratio,clinic4,external,498,111,0.22289156626506024,0.7286938100891589,0.675117055244993,0.776814338365601,0.18494073868264957,0.6216216216216216,0.7260981912144703,0.7028112449799196,0.08292411440728983,0.8468468468468469,0.4728682170542636,0.5562248995983936
VAT_SAT_ratio,clinic4_aec_best,internal,700,101,0.1442857142857143,0.8691218036661763,0.8326823127886084,0.9031314686368539,0.11104618100165206,0.8712871287128713,0.7262103505843072,0.7471428571428571,0.09431952797427708,0.900990099009901,0.674457429048414,0.7071428571428572
VAT_SAT_ratio,clinic4_aec_best,external,498,111,0.22289156626506024,0.818213562399609,0.7727370285031575,0.8586149998503498,0.11104618100165206,0.8738738738738738,0.6175710594315246,0.6746987951807228,0.09431952797427708,0.8738738738738738,0.5658914728682171,0.6345381526104418
VAT_TAMA_ratio,clinic4,internal,700,122,0.1742857142857143,0.8723126666288503,0.8430885838018811,0.8980726944132632,0.1533124357729056,0.8770491803278688,0.7508650519031141,0.7728571428571429,0.11963271464016781,0.9016393442622951,0.6920415224913494,0.7285714285714285
VAT_TAMA_ratio,clinic4,external,498,130,0.26104417670682734,0.8038147993311037,0.7572836124592879,0.8472540098554704,0.1533124357729056,0.7769230769230769,0.6847826086956522,0.7088353413654619,0.11963271464016781,0.823076923076923,0.6141304347826086,0.6686746987951807
VAT_TAMA_ratio,clinic4_aec_best,internal,700,122,0.1742857142857143,0.9037807022519712,0.8777568105125351,0.9258184066751594,0.2587338710709044,0.8278688524590164,0.8650519031141869,0.8585714285714285,0.12458433810295297,0.9016393442622951,0.7439446366782007,0.7714285714285715
VAT_TAMA_ratio,clinic4_aec_best,external,498,130,0.26104417670682734,0.860994983277592,0.8220631610439914,0.8966223956732163,0.2587338710709044,0.6923076923076923,0.8641304347826086,0.8192771084337349,0.12458433810295297,0.823076923076923,0.7010869565217391,0.7329317269076305
TotalFat_TAMA_ratio,clinic4,internal,700,110,0.15714285714285714,0.8000770416024653,0.7561784131243661,0.8424448651900467,0.17991460526817962,0.7181818181818181,0.7677966101694915,0.76,0.0768491880790394,0.9,0.46271186440677964,0.5314285714285715
