exp,feature,model,cohort,base_r2,base_ci,new_r2,new_ci,delta,dir,ci_overlap,significant
segsel,VAT(내장지방)_SUM,top3,internal,0.523,"[0.483,0.562]",0.572,"[0.534,0.611]",0.049,up,True,False
segsel,VAT(내장지방)_SUM,top3,external,0.418,"[0.359,0.471]",0.383,"[0.328,0.434]",-0.035,down,True,False
segsel,VAT(내장지방)_SUM,top4,internal,0.523,"[0.483,0.562]",0.572,"[0.533,0.611]",0.049,up,True,False
segsel,VAT(내장지방)_SUM,top4,external,0.418,"[0.359,0.471]",0.378,"[0.323,0.430]",-0.04,down,True,False
segsel,VAT(내장지방)_SUM,top5,internal,0.523,"[0.483,0.562]",0.593,"[0.554,0.632]",0.071,up,True,False
segsel,VAT(내장지방)_SUM,top5,external,0.418,"[0.359,0.471]",0.455,"[0.406,0.500]",0.036,up,True,False
segsel,VAT(내장지방)_SUM,top6,internal,0.523,"[0.483,0.562]",0.603,"[0.563,0.641]",0.08,up,False,True
segsel,VAT(내장지방)_SUM,top6,external,0.418,"[0.359,0.471]",0.479,"[0.435,0.522]",0.061,up,True,False
segsel,VAT(내장지방)_SUM,top7,internal,0.523,"[0.483,0.562]",0.615,"[0.577,0.652]",0.092,up,False,True
segsel,VAT(내장지방)_SUM,top7,external,0.418,"[0.359,0.471]",0.485,"[0.441,0.527]",0.066,up,True,False
segsel,VAT(내장지방)_SUM,top8,internal,0.523,"[0.483,0.562]",0.619,"[0.580,0.655]",0.096,up,False,True
segsel,VAT(내장지방)_SUM,top8,external,0.418,"[0.359,0.471]",0.509,"[0.466,0.550]",0.09,up,True,False
segsel,Total Fat_SUM,top1,internal,0.502,"[0.452,0.548]",0.542,"[0.496,0.582]",0.04,up,True,False
segsel,Total Fat_SUM,top1,external,0.492,"[0.428,0.550]",0.419,"[0.353,0.479]",-0.073,down,True,False
segsel,Total Fat_SUM,top2,internal,0.502,"[0.452,0.548]",0.542,"[0.496,0.582]",0.04,up,True,False
segsel,Total Fat_SUM,top2,external,0.492,"[0.428,0.550]",0.417,"[0.351,0.478]",-0.075,down,True,False
segsel,Total Fat_SUM,top3,internal,0.502,"[0.452,0.548]",0.547,"[0.502,0.587]",0.045,up,True,False
segsel,Total Fat_SUM,top3,external,0.492,"[0.428,0.550]",0.461,"[0.400,0.516]",-0.031,down,True,False
segsel,Total Fat_SUM,top4,internal,0.502,"[0.452,0.548]",0.552,"[0.508,0.592]",0.05,up,True,False
segsel,Total Fat_SUM,top4,external,0.492,"[0.428,0.550]",0.471,"[0.410,0.526]",-0.021,down,True,False
segsel,Total Fat_SUM,top5,internal,0.502,"[0.452,0.548]",0.554,"[0.510,0.594]",0.052,up,True,False
segsel,Total Fat_SUM,top5,external,0.492,"[0.428,0.550]",0.475,"[0.415,0.530]",-0.017,down,True,False
segsel,Total Fat_SUM,top6,internal,0.502,"[0.452,0.548]",0.562,"[0.518,0.601]",0.06,up,True,False
segsel,Total Fat_SUM,top6,external,0.492,"[0.428,0.550]",0.499,"[0.443,0.550]",0.007,up,True,False
segsel,Total Fat_SUM,top7,internal,0.502,"[0.452,0.548]",0.57,"[0.525,0.609]",0.068,up,True,False
segsel,Total Fat_SUM,top7,external,0.492,"[0.428,0.550]",0.498,"[0.440,0.550]",0.006,up,True,False
segsel,Total Fat_SUM,top8,internal,0.502,"[0.452,0.548]",0.574,"[0.528,0.613]",0.072,up,True,False
segsel,Total Fat_SUM,top8,external,0.492,"[0.428,0.550]",0.524,"[0.470,0.571]",0.032,up,True,False
backhalf,IMATA_SUM,clinic4_aec_front50,internal,0.333,"[0.284,0.382]",0.342,"[0.295,0.389]",0.009,up,True,False
backhalf,IMATA_SUM,clinic4_aec_front50,external,0.282,"[0.212,0.344]",0.224,"[0.154,0.287]",-0.058,down,True,False
backhalf,IMATA_SUM,clinic4_aec_back50,internal,0.333,"[0.284,0.382]",0.368,"[0.324,0.413]",0.035,up,True,False
backhalf,IMATA_SUM,clinic4_aec_back50,external,0.282,"[0.212,0.344]",0.189,"[0.123,0.249]",-0.093,down,True,False
backhalf,NAMA_SUM,clinic4_aec_front50,internal,0.591,"[0.535,0.636]",0.605,"[0.549,0.650]",0.014,up,True,False
backhalf,NAMA_SUM,clinic4_aec_front50,external,0.568,"[0.511,0.614]",0.408,"[0.331,0.473]",-0.16,down,False,True
backhalf,NAMA_SUM,clinic4_aec_back50,internal,0.591,"[0.535,0.636]",0.613,"[0.559,0.657]",0.021,up,True,False
backhalf,NAMA_SUM,clinic4_aec_back50,external,0.568,"[0.511,0.614]",0.387,"[0.309,0.456]",-0.181,down,False,True
backhalf,LAMA_SUM,clinic4_aec_front50,internal,0.419,"[0.373,0.468]",0.419,"[0.374,0.468]",-0.0,down,True,False
backhalf,LAMA_SUM,clinic4_aec_front50,external,-0.035,"[-0.130,0.045]",-0.073,"[-0.169,0.009]",-0.038,down,True,False
backhalf,LAMA_SUM,clinic4_aec_back50,internal,0.419,"[0.373,0.468]",0.437,"[0.392,0.485]",0.018,up,True,False
backhalf,LAMA_SUM,clinic4_aec_back50,external,-0.035,"[-0.130,0.045]",-0.254,"[-0.363,-0.156]",-0.218,down,False,True
backhalf,TAMA_SUM,clinic4_aec_front50,internal,0.646,"[0.605,0.683]",0.651,"[0.610,0.690]",0.005,up,True,False
backhalf,TAMA_SUM,clinic4_aec_front50,external,0.711,"[0.673,0.743]",0.672,"[0.628,0.709]",-0.039,down,True,False
backhalf,TAMA_SUM,clinic4_aec_back50,internal,0.646,"[0.605,0.683]",0.647,"[0.605,0.686]",0.001,up,True,False
backhalf,TAMA_SUM,clinic4_aec_back50,external,0.711,"[0.673,0.743]",0.69,"[0.649,0.724]",-0.021,down,True,False
backhalf,SAT(피하지방)_SUM,clinic4_aec_front50,internal,0.528,"[0.478,0.573]",0.537,"[0.488,0.580]",0.009,up,True,False
backhalf,SAT(피하지방)_SUM,clinic4_aec_front50,external,0.565,"[0.511,0.613]",0.541,"[0.485,0.591]",-0.024,down,True,False
backhalf,SAT(피하지방)_SUM,clinic4_aec_back50,internal,0.528,"[0.478,0.573]",0.543,"[0.497,0.585]",0.016,up,True,False
backhalf,SAT(피하지방)_SUM,clinic4_aec_back50,external,0.565,"[0.511,0.613]",0.544,"[0.490,0.591]",-0.021,down,True,False
backhalf,VAT(내장지방)_SUM,clinic4_aec_front50,internal,0.523,"[0.483,0.562]",0.522,"[0.481,0.560]",-0.001,down,True,False
backhalf,VAT(내장지방)_SUM,clinic4_aec_front50,external,0.418,"[0.359,0.471]",0.41,"[0.351,0.462]",-0.008,down,True,False
backhalf,VAT(내장지방)_SUM,clinic4_aec_back50,internal,0.523,"[0.483,0.562]",0.549,"[0.510,0.588]",0.026,up,True,False
backhalf,VAT(내장지방)_SUM,clinic4_aec_back50,external,0.418,"[0.359,0.471]",0.356,"[0.300,0.405]",-0.063,down,True,False
backhalf,Total Fat_SUM,clinic4_aec_front50,internal,0.502,"[0.452,0.548]",0.508,"[0.458,0.552]",0.006,up,True,False
backhalf,Total Fat_SUM,clinic4_aec_front50,external,0.492,"[0.428,0.550]",0.467,"[0.401,0.525]",-0.025,down,True,False
backhalf,Total Fat_SUM,clinic4_aec_back50,internal,0.502,"[0.452,0.548]",0.53,"[0.482,0.570]",0.028,up,True,False
backhalf,Total Fat_SUM,clinic4_aec_back50,external,0.492,"[0.428,0.550]",0.446,"[0.383,0.503]",-0.046,down,True,False
