disease,cohort,model,n,n_pos,auc,p_value_vs_baseline,significant_p<0.05
DM,sinchon,vat_sat_vsr,670,335,0.6853642236578302,0.7731817240271872,False
DM,sinchon,vsr,670,335,0.6878592114056582,0.4647306475285037,False
HTN,gangnam,baseline,155,77,0.7796370296370296,,False
HTN,gangnam,baseline_unbalanced,252,77,0.7613729128014842,1.0,False
HTN,gangnam,bodycomp,155,77,0.8173493173493175,0.029955824884804416,True
HTN,gangnam,imata,155,77,0.7885447885447886,0.39987945343778253,False
HTN,gangnam,lama,155,77,0.7917082917082917,0.21193622414396052,False
HTN,gangnam,nama,155,77,0.8056943056943057,0.059491319406384274,False
HTN,gangnam,sat,155,77,0.7882117882117883,0.315651536439146,False
HTN,gangnam,vat,155,77,0.8146853146853147,0.026777782727309546,True
HTN,gangnam,vat_sat,155,77,0.8145188145188145,0.028741195291553234,True
HTN,gangnam,vat_sat_vsr,155,77,0.8155178155178155,0.023555593792489348,True
HTN,gangnam,vsr,155,77,0.7975357975357976,0.04292143978506131,True
HTN,new10000,baseline,2700,1350,0.6587561042524006,,False
HTN,new10000,baseline_unbalanced,6909,1350,0.6616071369084501,0.21772127995239499,False
HTN,new10000,bodycomp,2700,1350,0.6817838134430727,6.56240184658444e-06,True
HTN,new10000,imata,2700,1350,0.6645141289437586,0.04132573217468325,True
HTN,new10000,lama,2700,1350,0.6618770919067215,0.33059592807319005,False
HTN,new10000,nama,2700,1350,0.6696301783264746,0.003221913565772134,True
HTN,new10000,sat,2700,1350,0.6635253772290809,0.05623019614812592,False
HTN,new10000,vat,2700,1350,0.6779100137174212,2.019539605490635e-05,True
HTN,new10000,vat_sat,2700,1350,0.679045267489712,9.502419679069974e-06,True
HTN,new10000,vat_sat_vsr,2700,1350,0.679045816186557,9.495423431455637e-06,True
HTN,new10000,vsr,2700,1350,0.6651248285322359,0.03304793847366297,True
HTN,sinchon,baseline,1014,507,0.7220782807947123,,False
HTN,sinchon,baseline_unbalanced,1123,507,0.7151918594226286,0.19072316160628777,False
HTN,sinchon,bodycomp,1014,507,0.7364626977735763,0.08430968110678673,False
HTN,sinchon,imata,1014,507,0.7338095071367716,0.022887327268561856,True
HTN,sinchon,lama,1014,507,0.730767285614805,0.09781525101290808,False
HTN,sinchon,nama,1014,507,0.7204618574668643,0.7674160289437499,False
HTN,sinchon,sat,1014,507,0.7215044602390983,0.8894683508061468,False
HTN,sinchon,vat,1014,507,0.7288454730421048,0.35657050630139353,False
HTN,sinchon,vat_sat,1014,507,0.7309345688954245,0.2424341114793077,False
