feature,model,cohort,n,n_pos,prevalence,auc,auc_ci_lower,auc_ci_upper,threshold,sensitivity,specificity,accuracy
VAT_TAMA_ratio,clinic4,external,498,130,0.26104417670682734,0.8038147993311037,0.7572836124592879,0.8472540098554704,0.1533124357729056,0.7769230769230769,0.6847826086956522,0.7088353413654619
VAT_TAMA_ratio,clinic4_aec_best,internal,700,122,0.1742857142857143,0.9037807022519712,0.8777568105125351,0.9258184066751594,0.2587338710709044,0.8278688524590164,0.8650519031141869,0.8585714285714285
VAT_TAMA_ratio,clinic4_aec_best,external,498,130,0.26104417670682734,0.860994983277592,0.8220631610439914,0.8966223956732163,0.2587338710709044,0.6923076923076923,0.8641304347826086,0.8192771084337349
TotalFat_TAMA_ratio,clinic4,internal,700,110,0.15714285714285714,0.8000770416024653,0.7561784131243661,0.8424448651900467,0.17991460526817962,0.7181818181818181,0.7677966101694915,0.76
TotalFat_TAMA_ratio,clinic4,external,498,127,0.25502008032128515,0.7756223868242884,0.7271316994563201,0.8201965433855026,0.17991460526817962,0.6377952755905512,0.7681940700808625,0.7349397590361446
TotalFat_TAMA_ratio,clinic4_aec_best,internal,700,110,0.15714285714285714,0.8328967642526964,0.7930900058756478,0.8701143678001867,0.18671386437845605,0.7181818181818181,0.811864406779661,0.7971428571428572
TotalFat_TAMA_ratio,clinic4_aec_best,external,498,127,0.25502008032128515,0.8277267228388904,0.7862669548738519,0.8665406799774941,0.18671386437845605,0.41732283464566927,0.9514824797843666,0.8152610441767069
SAT_TotalFat_ratio,clinic4,internal,700,106,0.15142857142857144,0.7989962518264405,0.7526120499783284,0.840964917192238,0.1359544896726975,0.7735849056603774,0.6851851851851852,0.6985714285714286
SAT_TotalFat_ratio,clinic4,external,498,51,0.10240963855421686,0.7914637890950563,0.7326316144087011,0.8430498434613986,0.1359544896726975,0.7058823529411765,0.7225950782997763,0.7208835341365462
SAT_TotalFat_ratio,clinic4_aec_best,internal,700,106,0.15142857142857144,0.8246299472714567,0.7831017184273034,0.8622740721729059,0.14525544864675885,0.7830188679245284,0.7323232323232324,0.74
SAT_TotalFat_ratio,clinic4_aec_best,external,498,51,0.10240963855421686,0.808966092029653,0.7527444425471786,0.8599628386791537,0.14525544864675885,0.8627450980392157,0.6711409395973155,0.6907630522088354
SAT_TAMA_ratio,clinic4,internal,700,108,0.15428571428571428,0.7673141891891891,0.720363181558293,0.813950965719456,0.1569002781415223,0.7037037037037037,0.7077702702702703,0.7071428571428572
SAT_TAMA_ratio,clinic4,external,498,108,0.21686746987951808,0.7487179487179486,0.6930649387407103,0.8003801931042885,0.1569002781415223,0.6574074074074074,0.7333333333333333,0.7168674698795181
SAT_TAMA_ratio,clinic4_aec_best,internal,700,108,0.15428571428571428,0.8038663663663664,0.7614164159093209,0.8426043738505714,0.09610393001181007,0.8703703703703703,0.606418918918919,0.6471428571428571
SAT_TAMA_ratio,clinic4_aec_best,external,498,108,0.21686746987951808,0.7893399810066477,0.7398459177562329,0.8353844581965846,0.09610393001181007,0.5648148148148148,0.823076923076923,0.7670682730923695
