config,threshold_R1,threshold_R2,threshold_R3,threshold_R4,pattern_mask,patterns,n_patterns,survives_internal_constraints,internal_selection_score,internal_min_p_loss,internal_max_sens_loss,internal_min_spec_gain,internal_mean_spec_gain,internal_max_fisher_p,internal_min_deesc_n,internal_mean_event_rate
direct_vote_guarded,0.65,0.65,0.65,0.55,5376,"---+,-+-+,--++",3,True,0.12127406000426558,0.0625,0.03875968992248058,0.03954214360041619,0.04391259105098855,0.02616458089456945,43,0.07612690646057685
direct_vote_guarded,0.55,0.75,0.55,0.75,148,"-+--,--+-,+++-",3,True,0.12056254102605973,0.0625,0.03875968992248058,0.03954214360041619,0.04287200832466178,0.04085558842597249,41,0.07238667159398868
direct_vote_guarded,0.75,0.75,0.65,0.65,20,"-+--,--+-",2,True,0.11971329337811071,0.125,0.03100775193798444,0.037460978147762725,0.039750260145681574,0.02736010821264167,38,0.06356320138449881
direct_vote_guarded,0.75,0.75,0.65,0.65,28,"-+--,++--,--+-",3,True,0.11971329337811071,0.125,0.03100775193798444,0.037460978147762725,0.039750260145681574,0.02736010821264167,38,0.06356320138449881
direct_vote_guarded,0.75,0.75,0.65,0.65,148,"-+--,--+-,+++-",3,True,0.11971329337811071,0.125,0.03100775193798444,0.037460978147762725,0.039750260145681574,0.02736010821264167,38,0.06356320138449881
direct_vote_guarded,0.75,0.75,0.75,0.75,28,"-+--,++--,--+-",3,True,0.11950290776364174,0.125,0.03100775193798444,0.036420395421435936,0.04016649323621228,0.018648838439492346,37,0.05477906477906478
direct_vote_guarded,0.55,0.75,0.65,0.55,2320,"--+-,---+,++-+",3,True,0.11946777071077622,0.0625,0.03875968992248069,0.03850156087408951,0.04370447450572319,0.025414457600413012,39,0.0698428747467663
direct_vote_guarded,0.65,0.65,0.55,0.75,1092,"-+--,-++-,-+-+",3,True,0.11924282610255589,0.0625,0.03875968992248058,0.037460978147762725,0.044328824141519264,0.037751004519118794,40,0.060515354816369826
direct_vote_guarded,0.55,0.55,0.55,0.55,1040,"--+-,-+-+",2,True,0.11912255395140985,0.125,0.03100775193798455,0.03642039542143605,0.04224765868886575,0.014755186332989079,37,0.06743403255031162
direct_vote_guarded,0.65,0.75,0.55,0.75,1048,"++--,--+-,-+-+",3,True,0.11890206252360835,0.0625,0.03875968992248058,0.037460978147762725,0.04765868886576481,0.017456760322141007,40,0.08081724523399499
direct_vote_guarded,0.7,0.7,0.7,0.7,20,"-+--,--+-",2,True,0.11887414822612448,0.0625,0.03875968992248069,0.0385015608740894,0.04308012486992716,0.04024213668310421,40,0.06778453225261737
direct_vote_guarded,0.65,0.55,0.65,0.55,148,"-+--,--+-,+++-",3,True,0.11878625242545555,0.0625,0.03875968992248069,0.03850156087408951,0.04516129032258065,0.018248117604955368,40,0.0807176973353444
direct_vote_guarded,0.75,0.75,0.75,0.75,20,"-+--,--+-",2,True,0.11878193865604363,0.125,0.03100775193798444,0.036420395421435936,0.039750260145681594,0.019969260262020994,37,0.0553928953928954
