config,threshold_R1,threshold_R2,threshold_R3,threshold_R4,pattern_mask,patterns,n_patterns,survives_internal_constraints,internal_selection_score,internal_min_p_loss,internal_max_sens_loss,internal_min_spec_gain,internal_mean_spec_gain,internal_max_fisher_p,internal_min_deesc_n,internal_mean_event_rate
direct_vote_balanced,0.65,0.65,0.55,0.65,1168,"--+-,+++-,-+-+",3,True,0.16154723913182378,0.0625,0.03875968992248069,0.04786680541103017,0.0522372528616025,0.0033408570566661445,49,0.06004427099993602
direct_vote_balanced,0.65,0.55,0.55,0.65,1104,"--+-,-++-,-+-+",3,True,0.16134001906381804,0.0625,0.03875968992248069,0.04786680541103017,0.05431841831425597,0.003620977086905712,51,0.07167280202333792
direct_vote_balanced,0.75,0.55,0.65,0.65,1104,"--+-,-++-,-+-+",3,True,0.16110353818560344,0.0625,0.03875968992248069,0.04682622268470349,0.05619146722164414,0.005309118000988759,50,0.06973653586556813
direct_vote_balanced,0.5,0.5,0.5,0.5,33824,"+-+-,-+-+,++++",3,True,0.16091910343193447,0.125,0.03100775193798455,0.043704474505723234,0.054110301768990635,0.0028282412042470403,45,0.050296683266608064
direct_vote_balanced,0.75,0.65,0.65,0.65,84,"-+--,--+-,-++-",3,True,0.16049531729345687,0.0625,0.03875968992248058,0.04786680541103017,0.05431841831425599,0.005041839850057161,51,0.07493794008373116
direct_vote_guarded,0.65,0.55,0.65,0.55,33808,"--+-,-+-+,++++",3,True,0.16016877623086453,0.0625,0.03875968992248069,0.04786680541103017,0.054110301768990635,0.00345392413905277,51,0.07528893155560043
direct_vote_guarded,0.65,0.65,0.65,0.55,5136,"--+-,-+-+,--++",3,True,0.15928387058768617,0.0625,0.03875968992248058,0.04786680541103017,0.050780437044745066,0.005452568992066769,49,0.06135336597399634
direct_vote_balanced,0.75,0.75,0.65,0.75,532,"-+--,--+-,+--+",3,True,0.15902247598470934,0.0625,0.03875968992248069,0.04682622268470349,0.05431841831425599,0.005309118000988759,50,0.06832093035072623
direct_vote_guarded,0.55,0.75,0.55,0.55,2320,"--+-,---+,++-+",3,True,0.15780605880251455,0.0625,0.03875968992248069,0.04786680541103017,0.05265348595213319,0.009093811582935797,49,0.07671316802583103
direct_vote_balanced,0.55,0.55,0.55,0.55,1044,"-+--,--+-,-+-+",3,True,0.15721135103739728,0.0625,0.03875968992248069,0.04682622268470349,0.05202913631633717,0.005562204581228155,47,0.0636409168243773
direct_vote_balanced,0.55,0.55,0.55,0.75,132,"-+--,+++-",2,True,0.15704466798048763,0.25,0.023255813953488413,0.042663891779396446,0.04745057232049945,0.0009502346682302802,43,0.04673405649138713
direct_vote_guarded,0.55,0.75,0.55,0.55,1296,"--+-,---+,-+-+",3,True,0.15571581725822756,0.0625,0.03875968992248069,0.04786680541103017,0.05140478668054112,0.009058961157600968,49,0.07858368602472696
direct_vote_guarded,0.5,0.5,0.5,0.5,1296,"--+-,---+,-+-+",3,True,0.155667087441506,0.125,0.03100775193798444,0.04474505723204991,0.04953173777315294,0.017456760322141007,45,0.05881292563645505
direct_vote_balanced,0.65,0.55,0.55,0.75,1104,"--+-,-++-,-+-+",3,True,0.15563699357137697,0.125,0.03100775193798455,0.0457856399583767,0.04807492195629552,0.005575289993629949,47,0.0647953692115144
direct_vote_balanced,0.55,0.55,0.55,0.55,33808,"--+-,-+-+,++++",3,True,0.1555282656402243,0.0625,0.03875968992248069,0.0457856399583767,0.05161290322580645,0.007616063010177399,46,0.05555754495207212
direct_vote_balanced,0.75,0.75,0.65,0.55,1104,"--+-,-++-,-+-+",3,True,0.15515452447498854,0.0625,0.03875968992248069,0.04682622268470349,0.051196670135275735,0.0036122162716956804,48,0.06769539799725559
direct_vote_balanced,0.75,0.75,0.75,0.65,1044,"-+--,--+-,-+-+",3,True,0.15508205930142815,0.0625,0.03875968992248069,0.04474505723204991,0.05535900104058271,0.005575289993629949,47,0.06449834806949548
direct_vote_balanced,0.65,0.75,0.55,0.75,1104,"--+-,-++-,-+-+",3,True,0.1549705776625732,0.125,0.03100775193798455,0.0457856399583767,0.04765868886576483,0.005575289993629949,47,0.06529662077596995
direct_vote_guarded,0.75,0.75,0.65,0.55,1040,"--+-,-+-+",2,True,0.1543093258880817,0.125,0.03100775193798455,0.0457856399583767,0.04786680541103017,0.017456760322141007,46,0.06807331628303495
direct_vote_guarded,0.75,0.75,0.65,0.55,1048,"++--,--+-,-+-+",3,True,0.1543093258880817,0.125,0.03100775193798455,0.0457856399583767,0.04786680541103017,0.017456760322141007,46,0.06807331628303495
direct_vote_guarded,0.75,0.75,0.65,0.55,1168,"--+-,+++-,-+-+",3,True,0.1543093258880817,0.125,0.03100775193798455,0.0457856399583767,0.04786680541103017,0.017456760322141007,46,0.06807331628303495
direct_vote_balanced,0.75,0.75,0.65,0.75,20,"-+--,--+-",2,True,0.15423520299067414,0.0625,0.03875968992248069,0.0457856399583767,0.05327783558792922,0.0052007492955931465,49,0.06958066893047787
direct_vote_balanced,0.75,0.75,0.65,0.65,1104,"--+-,-++-,-+-+",3,True,0.15407143617537608,0.125,0.03100775193798455,0.043704474505723234,0.05036420395421435,0.002370811328113521,45,0.05824423804609562
direct_vote_balanced,0.75,0.65,0.65,0.65,1104,"--+-,-++-,-+-+",3,True,0.15363233347392552,0.0625,0.03875968992248069,0.04474505723204991,0.05431841831425599,0.0023545305296042386,47,0.06514388195972934
direct_vote_guarded,0.65,0.55,0.65,0.55,1040,"--+-,-+-+",2,True,0.15357160755785784,0.0625,0.03875968992248069,0.04682622268470349,0.05202913631633714,0.007750014746943813,50,0.0780248659292777
direct_vote_guarded,0.65,0.65,0.65,0.55,1040,"--+-,-+-+",2,True,0.15347797596995538,0.0625,0.03875968992248058,0.04682622268470349,0.04911550468262229,0.008082297895453684,48,0.06322192513368984
direct_vote_balanced,0.45,0.45,0.45,0.45,37888,"-+-+,--++,++++",3,True,0.1532466187113924,0.125,0.03100775193798455,0.042663891779396446,0.051821019771071786,0.005981396843943101,45,0.05634311059250128
direct_vote_guarded,0.55,0.55,0.55,0.75,132,"-+--,+++-",2,True,0.15273126353867553,0.125,0.03100775193798455,0.043704474505723234,0.04807492195629555,0.009955406157542167,44,0.051093894617365646
direct_vote_guarded,0.55,0.55,0.55,0.75,388,"-+--,+++-,---+",3,True,0.15273126353867553,0.125,0.03100775193798455,0.043704474505723234,0.04807492195629555,0.009955406157542167,44,0.051093894617365646
direct_vote_guarded,0.55,0.65,0.55,0.75,1044,"-+--,--+-,-+-+",3,True,0.152701209273574,0.0625,0.03875968992248058,0.04474505723204991,0.05244536940686786,0.002661247395018164,45,0.05910398709348434
direct_vote_balanced,0.65,0.75,0.55,0.75,208,"--+-,-++-,+++-",3,True,0.15214068406197426,0.125,0.03100775193798455,0.04474505723204991,0.04786680541103017,0.007790749267136602,46,0.06503417175594353
direct_vote_balanced,0.65,0.75,0.75,0.55,1296,"--+-,---+,-+-+",3,True,0.15209033502829739,0.0625,0.03875968992248069,0.04474505723204991,0.05702393340270551,0.007929214659778841,48,0.08493457947176533
direct_vote_guarded,0.55,0.65,0.55,0.65,1044,"-+--,--+-,-+-+",3,True,0.15200970361492644,0.0625,0.03875968992248058,0.04474505723204991,0.05202913631633714,0.004073638582857173,45,0.05959260636228756
direct_vote_balanced,0.75,0.75,0.65,0.55,9232,"--+-,-+-+,+-++",3,True,0.15166289774403116,0.0625,0.03875968992248069,0.0457856399583767,0.0509885535900104,0.0036122162716956804,47,0.06809270616978366
direct_vote_balanced,0.55,0.55,0.55,0.55,33796,"-+--,-+-+,++++",3,True,0.1515758915779963,0.5,0.015503875968992276,0.03850156087408951,0.04682622268470345,0.0008473630040650108,39,0.04332977960884937
direct_vote_balanced,0.65,0.55,0.55,0.55,32788,"-+--,--+-,++++",3,True,0.15154758407297556,0.0625,0.03875968992248058,0.04682622268470349,0.050780437044745066,0.009058961157600968,49,0.07952300794367587
direct_vote_guarded,0.75,0.65,0.65,0.65,1168,"--+-,+++-,-+-+",3,True,0.15141324245611643,0.0625,0.03875968992248069,0.04682622268470349,0.04973985431841832,0.017456760322141007,48,0.07397752030104972
direct_vote_balanced,0.55,0.55,0.75,0.75,2084,"-+--,+-+-,++-+",3,True,0.15137446223163636,0.0625,0.03875968992248069,0.0457856399583767,0.051821019771071807,0.008289974300574057,48,0.07320105171857194
direct_vote_guarded,0.55,0.65,0.55,0.55,1044,"-+--,--+-,-+-+",3,True,0.1507383315170114,0.0625,0.03875968992248058,0.04474505723204991,0.051196670135275735,0.004073638582857173,45,0.06034927061242852
direct_vote_guarded,0.65,0.75,0.65,0.75,28,"-+--,++--,--+-",3,True,0.15071196317835533,0.0625,0.03875968992248058,0.0457856399583767,0.04828303850156088,0.012763174183998978,47,0.0570956893395656
direct_vote_balanced,0.65,0.75,0.55,0.65,1168,"--+-,+++-,-+-+",3,True,0.1505251886643182,0.0625,0.03875968992248069,0.0457856399583767,0.0497398543184183,0.0036122162716956804,48,0.0661503062763567
direct_vote_balanced,0.75,0.75,0.75,0.75,84,"-+--,--+-,-++-",3,True,0.1504193498846744,0.125,0.03100775193798455,0.042663891779396446,0.04953173777315294,0.003661637858612253,45,0.05593350022902164
direct_vote_guarded,0.65,0.75,0.65,0.55,4368,"--+-,---+,--++",3,True,0.15033275129206147,0.0625,0.03875968992248069,0.04682622268470338,0.05015608740894899,0.016695535199818534,49,0.08052479503781336
direct_vote_guarded,0.55,0.65,0.55,0.75,532,"-+--,--+-,+--+",3,True,0.1502160618773859,0.0625,0.03875968992248058,0.04474505723204991,0.0509885535900104,0.006083891269629112,45,0.06119532292060901
direct_vote_balanced,0.6,0.6,0.6,0.6,3076,"-+--,-+-+,++-+",3,True,0.1501301374418863,0.0625,0.03875968992248069,0.04474505723204991,0.05286160249739853,0.007929214659778841,48,0.07113124910981342
direct_vote_balanced,0.75,0.65,0.75,0.55,5136,"--+-,-+-+,--++",3,True,0.1500742050012741,0.0625,0.03875968992248069,0.043704474505723234,0.05473465140478666,0.003759227862536837,46,0.06894143941853957
direct_vote_guarded,0.65,0.65,0.65,0.65,148,"-+--,--+-,+++-",3,True,0.14974928666776158,0.0625,0.03875968992248058,0.0457856399583767,0.049323621227887623,0.005309118000988759,48,0.06695375005348052
direct_vote_guarded,0.65,0.65,0.55,0.65,1168,"--+-,+++-,-+-+",3,True,0.14947742868577318,0.0625,0.03875968992248069,0.04474505723204991,0.05390218522372527,0.007929214659778841,48,0.07915311431116487
direct_vote_guarded,0.65,0.75,0.65,0.65,1044,"-+--,--+-,-+-+",3,True,0.1492448618170356,0.0625,0.03875968992248058,0.0457856399583767,0.04807492195629552,0.025997667906047846,48,0.06082312925170068
direct_vote_balanced,0.75,0.65,0.55,0.65,208,"--+-,-++-,+++-",3,True,0.14865118642373745,0.0625,0.03875968992248069,0.0457856399583767,0.04911550468262229,0.005575289993629949,46,0.0702426512347856
direct_vote_balanced,0.75,0.75,0.65,0.65,1552,"--+-,+--+,-+-+",3,True,0.14860659161766535,0.125,0.03100775193798455,0.042663891779396446,0.048907388137356914,0.005575289993629949,44,0.05978482302011714
direct_vote_balanced,0.75,0.65,0.65,0.65,148,"-+--,--+-,+++-",3,True,0.14850762544548718,0.0625,0.03875968992248058,0.0457856399583767,0.050780437044745066,0.0052007492955931465,49,0.07950450668666853
direct_vote_balanced,0.8,0.8,0.8,0.8,52,"-+--,--+-,+-+-",3,True,0.148358221516684,0.25,0.023255813953488302,0.04058272632674298,0.044328824141519264,0.0018211297494895205,40,0.04020309477756286
direct_vote_balanced,0.55,0.55,0.55,0.75,20,"-+--,--+-",2,True,0.14821146176340444,0.0625,0.03875968992248069,0.04474505723205002,0.05036420395421437,0.008429201567741525,47,0.06577948044654747
direct_vote_balanced,0.8,0.8,0.8,0.8,84,"-+--,--+-,-++-",3,True,0.14809089373446702,0.25,0.023255813953488302,0.04058272632674298,0.0441207075962539,0.0018211297494895205,40,0.040190199871050936
direct_vote_guarded,0.55,0.55,0.55,0.65,1156,"-+--,+++-,-+-+",3,True,0.14773785111620338,0.125,0.03100775193798455,0.04162330905306977,0.0486992715920916,0.003935553273894837,42,0.049821765212243914
direct_vote_balanced,0.55,0.55,0.65,0.75,100,"-+--,+-+-,-++-",3,True,0.1470780499489196,0.125,0.03100775193798455,0.042663891779396446,0.04828303850156088,0.005981396843943101,45,0.06261988304093567
direct_vote_guarded,0.75,0.75,0.65,0.65,1040,"--+-,-+-+",2,True,0.1468137114529518,0.125,0.03100775193798455,0.043704474505723234,0.045993756503642035,0.025414457600413012,44,0.06270531849103278
direct_vote_guarded,0.75,0.75,0.65,0.65,1048,"++--,--+-,-+-+",3,True,0.1468137114529518,0.125,0.03100775193798455,0.043704474505723234,0.045993756503642035,0.025414457600413012,44,0.06270531849103278
direct_vote_guarded,0.75,0.75,0.65,0.65,1168,"--+-,+++-,-+-+",3,True,0.1468137114529518,0.125,0.03100775193798455,0.043704474505723234,0.045993756503642035,0.025414457600413012,44,0.06270531849103278
direct_vote_balanced,0.75,0.75,0.65,0.55,1040,"--+-,-+-+",2,True,0.14616513708459558,0.0625,0.03875968992248069,0.04474505723204991,0.04953173777315294,0.005476674231073956,46,0.06987215720719556
direct_vote_guarded,0.55,0.65,0.55,0.75,20,"-+--,--+-",2,True,0.1453820945059557,0.0625,0.03875968992248058,0.043704474505723234,0.049947970863683654,0.009058961157600968,44,0.06239516392247276
direct_vote_balanced,0.75,0.65,0.55,0.75,196,"-+--,-++-,+++-",3,True,0.14533149865156525,0.0625,0.03875968992248058,0.042663891779396446,0.05244536940686786,0.011800660238295471,46,0.06287769112221547
direct_vote_balanced,0.55,0.55,0.55,0.65,32900,"-+--,+++-,++++",3,True,0.1449378107607964,0.25,0.023255813953488413,0.03954214360041619,0.04495317377731527,0.0023741446627014258,39,0.04460012199827355
direct_vote_balanced,0.55,0.65,0.65,0.75,164,"-+--,+-+-,+++-",3,True,0.1449311253075758,0.25,0.023255813953488413,0.03850156087408951,0.04786680541103017,0.0038039684165801215,40,0.04717636969024316
direct_vote_guarded,0.55,0.55,0.55,0.55,33808,"--+-,-+-+,++++",3,True,0.14484124079966815,0.0625,0.03875968992248058,0.043704474505723234,0.0493236212278876,0.007750014746943813,44,0.061416676354336196
direct_vote_balanced,0.55,0.65,0.55,0.65,148,"-+--,--+-,+++-",3,True,0.1447940388418265,0.125,0.03100775193798455,0.04162330905306977,0.04786680541103017,0.007459044267421465,41,0.05698631088874991
direct_vote_balanced,0.6,0.6,0.6,0.6,32788,"-+--,--+-,++++",3,True,0.14461403209480791,0.125,0.03100775193798444,0.04162330905306977,0.04765868886576481,0.011913722102435343,41,0.05626775761464371
direct_vote_balanced,0.65,0.65,0.65,0.75,20,"-+--,--+-",2,True,0.14453591838626964,0.0625,0.03875968992248069,0.042663891779396446,0.054734651404786686,0.0069476948924345906,45,0.07835251580024434
direct_vote_balanced,0.65,0.75,0.55,0.75,1168,"--+-,+++-,-+-+",3,True,0.14443193935117046,0.125,0.03100775193798455,0.042663891779396446,0.04640998959417275,0.012763174183998978,44,0.06292192892630939
direct_vote_balanced,0.65,0.55,0.55,0.65,17424,"--+-,-+-+,-+++",3,True,0.14421937397944204,0.0625,0.03875968992248058,0.043704474505723234,0.04973985431841832,0.011052525898023191,46,0.06580435481391415
