rule,dataset,operating_point,pattern_code,pattern,n,events,event_rate
direct_vote_balanced_pattern_gate,sdata_external,S90,4,--+-,27,2,0.07407407407407407
direct_vote_balanced_pattern_gate,sdata_external,S90,5,+-+-,4,0,0.0
direct_vote_balanced_pattern_gate,sdata_external,S90,6,-++-,13,2,0.15384615384615385
direct_vote_balanced_pattern_gate,sdata_external,S90,7,+++-,4,0,0.0
direct_vote_balanced_pattern_gate,sdata_external,S90,8,---+,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S90,9,+--+,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S90,10,-+-+,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S90,11,++-+,2,0,0.0
direct_vote_balanced_pattern_gate,sdata_external,S90,12,--++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S90,13,+-++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S90,14,-+++,0,0,
direct_vote_balanced_pattern_gate,sdata_external,S90,15,++++,0,0,
