model,group,n,events,prevalence,auc,threshold,tp,fn,tn,fp,sensitivity,specificity,ppv,npv,pred_positive_rate,partition_k,partition_id
clinical,5part_4,184,27,0.14673913043478262,0.8129275772587875,-0.17615786612778003,23,4,87,70,0.8518518518518519,0.554140127388535,0.24731182795698925,0.9560439560439561,0.5054347826086957,5,4
aec_boundary_gate,5part_4,184,27,0.14673913043478262,0.8360462373201226,0.46205567465486497,22,5,109,48,0.8148148148148148,0.6942675159235668,0.3142857142857143,0.956140350877193,0.3804347826086957,5,4
clinical,5part_5,184,27,0.14673913043478262,0.8369898560981364,-0.17615786612778003,26,1,88,69,0.9629629629629629,0.5605095541401274,0.2736842105263158,0.9887640449438202,0.5163043478260869,5,5
aec_boundary_gate,5part_5,184,27,0.14673913043478262,0.8478414720452937,0.46205567465486497,26,1,104,53,0.9629629629629629,0.6624203821656051,0.3291139240506329,0.9904761904761905,0.42934782608695654,5,5
clinical,10part_1,94,15,0.1595744680851064,0.8886075949367088,-0.17615786612778003,15,0,51,28,1.0,0.6455696202531646,0.3488372093023256,1.0,0.4574468085106383,10,1
aec_boundary_gate,10part_1,94,15,0.1595744680851064,0.9122362869198313,0.46205567465486497,15,0,63,16,1.0,0.7974683544303798,0.4838709677419355,1.0,0.32978723404255317,10,1
clinical,10part_2,94,15,0.1595744680851064,0.7434599156118143,-0.17615786612778003,12,3,43,36,0.8,0.5443037974683544,0.25,0.9347826086956522,0.5106382978723404,10,2
aec_boundary_gate,10part_2,94,15,0.1595744680851064,0.7518987341772152,0.46205567465486497,11,4,48,31,0.7333333333333333,0.6075949367088608,0.2619047619047619,0.9230769230769231,0.44680851063829785,10,2
clinical,10part_3,94,15,0.1595744680851064,0.810126582278481,-0.17615786612778003,12,3,46,33,0.8,0.5822784810126582,0.26666666666666666,0.9387755102040817,0.4787234042553192,10,3
aec_boundary_gate,10part_3,94,15,0.1595744680851064,0.8236286919831224,0.46205567465486497,12,3,54,25,0.8,0.6835443037974683,0.32432432432432434,0.9473684210526315,0.39361702127659576,10,3
clinical,10part_4,93,14,0.15053763440860216,0.8743218806509946,-0.17615786612778003,13,1,41,38,0.9285714285714286,0.5189873417721519,0.2549019607843137,0.9761904761904762,0.5483870967741935,10,4
aec_boundary_gate,10part_4,93,14,0.15053763440860216,0.8698010849909584,0.46205567465486497,12,2,51,28,0.8571428571428571,0.6455696202531646,0.3,0.9622641509433962,0.43010752688172044,10,4
clinical,10part_5,93,14,0.15053763440860216,0.8074141048824593,-0.17615786612778003,11,3,42,37,0.7857142857142857,0.5316455696202531,0.22916666666666666,0.9333333333333333,0.5161290322580645,10,5
aec_boundary_gate,10part_5,93,14,0.15053763440860216,0.7920433996383364,0.46205567465486497,11,3,52,27,0.7857142857142857,0.6582278481012658,0.2894736842105263,0.9454545454545454,0.40860215053763443,10,5
clinical,10part_6,92,14,0.15217391304347827,0.8031135531135531,-0.17615786612778003,14,0,35,43,1.0,0.44871794871794873,0.24561403508771928,1.0,0.6195652173913043,10,6
aec_boundary_gate,10part_6,92,14,0.15217391304347827,0.8122710622710623,0.46205567465486497,12,2,46,32,0.8571428571428571,0.5897435897435898,0.2727272727272727,0.9583333333333334,0.4782608695652174,10,6
clinical,10part_7,92,14,0.15217391304347827,0.9203296703296703,-0.17615786612778003,13,1,48,30,0.9285714285714286,0.6153846153846154,0.3023255813953488,0.9795918367346939,0.4673913043478261,10,7
aec_boundary_gate,10part_7,92,14,0.15217391304347827,0.9175824175824175,0.46205567465486497,13,1,56,22,0.9285714285714286,0.717948717948718,0.37142857142857144,0.9824561403508771,0.3804347826086957,10,7
clinical,10part_8,92,14,0.15217391304347827,0.8104395604395604,-0.17615786612778003,13,1,39,39,0.9285714285714286,0.5,0.25,0.975,0.5652173913043478,10,8
aec_boundary_gate,10part_8,92,14,0.15217391304347827,0.8379120879120879,0.46205567465486497,13,1,48,30,0.9285714285714286,0.6153846153846154,0.3023255813953488,0.9795918367346939,0.4673913043478261,10,8
clinical,10part_9,91,13,0.14285714285714285,0.8451676528599605,-0.17615786612778003,11,2,49,29,0.8461538461538461,0.6282051282051282,0.275,0.9607843137254902,0.43956043956043955,10,9
aec_boundary_gate,10part_9,91,13,0.14285714285714285,0.849112426035503,0.46205567465486497,11,2,61,17,0.8461538461538461,0.782051282051282,0.39285714285714285,0.9682539682539683,0.3076923076923077,10,9
clinical,10part_10,91,13,0.14285714285714285,0.8333333333333334,-0.17615786612778003,11,2,47,31,0.8461538461538461,0.6025641025641025,0.2619047619047619,0.9591836734693877,0.46153846153846156,10,10
aec_boundary_gate,10part_10,91,13,0.14285714285714285,0.868836291913215,0.46205567465486497,12,1,56,22,0.9230769230769231,0.717948717948718,0.35294117647058826,0.9824561403508771,0.37362637362637363,10,10
