delta_auc,delta_sens,delta_spec,delta_ppv,delta_npv,delta_fp,delta_tp
0.002941176470588225,-0.05882352941176461,0.1164556962025316,0.04659649122807019,-0.008482863248035266,-92,-8
0.0073397474932002105,-0.0434782608695653,0.142483660130719,0.08131987017670395,-0.005122070911544596,-109,-7
0.010487892204378513,-0.04081632653061218,0.1193838254172015,0.051312698992640515,-0.003575409414387387,-93,-6
-0.0016317879012178738,-0.01948051948051943,0.11787564766839376,0.05887492718648585,0.0016222062004326299,-91,-3
0.017095677513355945,-0.01379310344827589,0.10371318822023046,0.05224703611800385,-0.00021727794194337235,-81,-2
0.010832424572882582,-0.02857142857142847,0.11959287531806606,0.06591370388204532,-0.0030008686725104816,-94,-4
0.00360777898945841,-0.014285714285714346,0.10941475826972014,0.05922396187882911,0.0027178401429492904,-86,-2
0.00962273327311891,-0.027027027027026973,0.11825192802056561,0.06171364548380276,-0.0011554243612521553,-92,-4
0.011688001177076357,-0.03623188405797095,0.1383248730964467,0.06858725761772855,-0.0025861899809666022,-109,-5
0.007296765825697604,-0.012903225806451535,0.11802853437094685,0.06798643560313933,0.0022836681917645096,-91,-2
0.005415526429497386,-0.05343511450381677,0.1232704402515723,0.050219150003270874,-0.00801988634013584,-98,-7
0.011037418820770029,-0.007874015748031593,0.09762202753441795,0.05068215131356413,0.003714264824157265,-78,-1
0.011393732067976114,-0.0434782608695653,0.11548223350253806,0.05652702334003029,-0.004769852750268866,-91,-6
0.00807614901574627,-0.033557046979865834,0.1145431145431145,0.05282100357826408,-0.003347409619940289,-89,-5
0.009408564846937417,0.0,0.1267427122940431,0.06735414344109997,0.008217119782129023,-100,0
0.009072164948453532,-0.020000000000000018,0.11211340206185572,0.055180359129191114,-0.0017441860465116088,-87,-3
0.009407216494845327,-0.033333333333333326,0.10567010309278346,0.05585424133811234,-0.004317442157097728,-82,-5
0.010537222576855076,-0.021897810218978075,0.13434727503168575,0.056195619561956206,0.004109711827186002,-106,-3
0.007486767891912605,-0.05755395683453246,0.12325285895806859,0.05722008486212993,-0.007696782565892568,-97,-8
-0.00030897855325340284,-0.050000000000000044,0.14249363867684484,0.06450139694820545,-0.00770723476059898,-112,-7
0.013727205437049972,-0.025974025974025983,0.11528497409326421,0.05645362108321228,-0.0011351030621984393,-89,-4
0.007257573629255054,0.007407407407407418,0.10619469026548678,0.05936449885415057,0.008138647121697984,-84,1
0.0034308187941927137,-0.032258064516129004,0.1245136186770428,0.0574520212331564,-0.0010116936013664368,-96,-5
0.0005191851265822223,-0.025316455696202556,0.13151041666666663,0.06741980210499782,0.00020946795140341923,-101,-4
0.013689382610553302,-0.0066225165562914245,0.09935483870967743,0.05332095983030627,0.003340612543434318,-77,-1
0.005437055625261422,-0.04651162790697683,0.11543287327478047,0.050829906210242914,-0.005790338911924375,-92,-6
0.009553177338412211,-0.03355704697986572,0.11325611325611318,0.057427157048406896,-0.004643987984086939,-88,-5
0.00031612223393040484,-0.013698630136986356,0.10897435897435892,0.04984062590553462,0.0038816841357257603,-85,-2
0.004992528482461345,-0.04026845637583887,0.11969111969111978,0.05737912752838126,-0.002998913779261092,-93,-6
0.00381969664601578,-0.019867549668874163,0.12774193548387092,0.0638490566037736,0.004862590390421917,-99,-3
0.0050033921302578,-0.007462686567164201,0.10984848484848486,0.060165656875527274,0.005244755244755206,-87,-1
0.011322505031764352,-0.02547770700636942,0.11963589076723014,0.06623686200268963,-0.0004239533651299032,-92,-4
0.010168598524762928,-0.020547945205479423,0.13461538461538458,0.07005541105959517,0.002408787255909539,-105,-3
-0.00018130274261607404,-0.025316455696202445,0.109375,0.05572139303482587,-0.003396596400308094,-84,-4
0.011461151913413126,-0.038461538461538436,0.13190954773869346,0.06840857945153644,-0.0022507274989278514,-105,-5
0.01082549047150827,-0.06666666666666665,0.12895069532237668,0.056499131414620374,-0.011601886866009159,-102,-9
0.003457144939760237,-0.01680672268907557,0.12391573729863692,0.05309396485867077,0.0033574879227052934,-100,-2
0.002886118215402078,-0.01388888888888895,0.11892583120204603,0.06558093322799208,0.00331867679669573,-93,-2
0.002991899543623666,-0.013986013986014068,0.12388250319284799,0.06396976483762601,0.0035476718403547602,-97,-2
0.00990160556976416,-0.02777777777777779,0.1240409207161125,0.06477568641783549,-0.001996269397150474,-97,-4
0.013038074220632634,0.0,0.1151358344113842,0.06610726181771759,0.008671353744465926,-89,0
0.005431001159644344,-0.038461538461538436,0.12185929648241212,0.05882352941176472,-0.0037971872965456566,-97,-5
0.008555379518940032,-0.022900763358778664,0.13459119496855343,0.0628302458028436,0.0025220027809761403,-107,-3
0.007249238121272872,-0.04878048780487809,0.12826899128268998,0.05408670682168368,-0.005539862755377545,-103,-6
0.012130575082500705,-0.014388489208633115,0.12452350698856418,0.06652631578947371,0.0007967774777566383,-98,-2
0.010612079746928571,-0.036231884057971064,0.1383248730964467,0.061283241170422637,0.00030642887785747863,-109,-5
0.004854327001978076,-0.020134228187919434,0.12355212355212364,0.06353565444051384,-0.0013487692480611546,-96,-3
0.009582767978290385,0.0,0.13257575757575757,0.07536239314048421,0.008384754990925614,-105,0
0.011010521164668385,0.0,0.12686567164179108,0.06735721967510047,0.006375585991359456,-102,0
0.0050345328971282965,-0.050000000000000044,0.10050890585241734,0.042988019732205784,-0.00946483349510785,-79,-7
0.005938901944029018,-0.019867549668874163,0.10967741935483866,0.05368615128930898,0.0007415694696277786,-85,-3
0.00625090018723895,0.007633587786259555,0.11194968553459117,0.062200162483025234,0.0075220205716736155,-89,1
0.0066457634400738375,-0.03597122302158273,0.13087674714104192,0.057907113462668997,-0.0010617120106171107,-103,-5
0.0032897128316975444,-0.05714285714285716,0.12213740458015265,0.056098010316875446,-0.01023163279806738,-96,-8
0.0066066997518610115,0.0,0.1364764267990075,0.06790953936831315,0.006038292182764304,-110,0
0.012382427684799913,-0.016260162601625994,0.1120797011207969,0.0560049633712745,0.00028998778998778896,-90,-2
0.011088091972805025,-0.015503875968992165,0.12547051442910917,0.06164871361167987,0.0009172077922077193,-100,-2
0.00971542227662181,-0.026315789473684292,0.12403100775193798,0.06513157894736843,-0.0015768984378849993,-96,-4
0.001658690163016563,-0.02564102564102566,0.10506798516687266,0.04972602827722214,-0.0008024324859214893,-85,-3
0.019114688128772594,-0.021126760563380254,0.11479591836734693,0.05555053896946782,0.0023367845844117774,-90,-3
-0.0023584704123050804,-0.026490066225165587,0.13419354838709685,0.0701015086608307,0.002194804584006227,-104,-4
0.007822685788787531,-0.02515723270440251,0.10821382007822689,0.056619900016126434,-0.0016786889605424626,-83,-4
0.004342388661154772,-0.020270270270270174,0.1246786632390745,0.057999999999999996,0.0018832895981720776,-97,-3
0.003065154174635265,-0.04761904761904767,0.1129653401797176,0.046313131313131306,-0.007441355764734925,-88,-7
0.0047852233676976,-0.013333333333333308,0.13530927835051543,0.0765033666124913,0.00399695320659299,-105,-2
0.012644889357218192,-0.0273972602739726,0.1166666666666667,0.06165646983341355,-0.002357131012263425,-91,-4
